iri	iri label	disease	disease label
http://purl.obolibrary.org/obo/MONDO_0015618	genetic pancreatic disease	http://purl.obolibrary.org/obo/MONDO_0002356	pancreas disease
http://purl.obolibrary.org/obo/MONDO_0015967	monogenic diabetes	http://purl.obolibrary.org/obo/MONDO_0005015	diabetes mellitus (disease)
http://purl.obolibrary.org/obo/MONDO_0015910	rare constitutional hemolytic anemia	http://purl.obolibrary.org/obo/MONDO_0003664	hemolytic anemia
http://purl.obolibrary.org/obo/MONDO_0015184	rare disease involving intestinal motility	http://purl.obolibrary.org/obo/MONDO_0021189	intestinal motility disease
http://purl.obolibrary.org/obo/MONDO_0015971	rare genetic adrenal disease	http://purl.obolibrary.org/obo/MONDO_0005495	adrenal gland disease
http://purl.obolibrary.org/obo/MONDO_0018557	rare genetic autonomic nervous system disorder	http://purl.obolibrary.org/obo/MONDO_0001292	autonomic nervous system disease
http://purl.obolibrary.org/obo/MONDO_0018728	rare genetic capillary malformation	http://purl.obolibrary.org/obo/MONDO_0016231	capillary malformation
http://purl.obolibrary.org/obo/MONDO_0020029	rare genetic cardiac disease	http://purl.obolibrary.org/obo/MONDO_0005267	heart disease
http://purl.obolibrary.org/obo/MONDO_0015973	rare genetic coagulation disorder	http://purl.obolibrary.org/obo/MONDO_0001531	blood coagulation disease
http://purl.obolibrary.org/obo/MONDO_0019291	rare genetic dermis disorder	http://purl.obolibrary.org/obo/MONDO_0021154	dermis disease
http://purl.obolibrary.org/obo/MONDO_0015960	rare genetic developmental defect during embryogenesis	http://purl.obolibrary.org/obo/MONDO_0021147	disorder of development or morphogenesis
http://purl.obolibrary.org/obo/MONDO_0021198	rare genetic disease	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder
http://purl.obolibrary.org/obo/MONDO_0018331	rare genetic dystonia	http://purl.obolibrary.org/obo/MONDO_0003441	dystonic disorder
http://purl.obolibrary.org/obo/MONDO_0015513	rare genetic endocrine disease	http://purl.obolibrary.org/obo/MONDO_0005151	endocrine system disease
http://purl.obolibrary.org/obo/MONDO_0015955	rare genetic epilepsy	http://purl.obolibrary.org/obo/MONDO_0005027	epilepsy
http://purl.obolibrary.org/obo/MONDO_0015107	rare genetic eye disease	http://purl.obolibrary.org/obo/MONDO_0005328	eye disease
http://purl.obolibrary.org/obo/MONDO_0018410	rare genetic female infertility	http://purl.obolibrary.org/obo/MONDO_0021124	female infertility
http://purl.obolibrary.org/obo/MONDO_0015615	rare genetic gastroenterological disease	http://purl.obolibrary.org/obo/MONDO_0004335	digestive system disease
http://purl.obolibrary.org/obo/MONDO_0015980	rare genetic gynecological and obstetrical diseases	http://purl.obolibrary.org/obo/MONDO_0002263	female reproductive system disease
http://purl.obolibrary.org/obo/MONDO_0015954	rare genetic headache disorder	http://purl.obolibrary.org/obo/MONDO_0021146	headache disorder
http://purl.obolibrary.org/obo/MONDO_0015549	rare genetic hematologic disease	http://purl.obolibrary.org/obo/MONDO_0005570	hematological system disease
http://purl.obolibrary.org/obo/MONDO_0015507	rare genetic hepatic disease	http://purl.obolibrary.org/obo/MONDO_0005154	liver disease
http://purl.obolibrary.org/obo/MONDO_0015984	rare genetic immune disease	http://purl.obolibrary.org/obo/MONDO_0005046	immune system disease
http://purl.obolibrary.org/obo/MONDO_0015982	rare genetic intellectual disability	http://purl.obolibrary.org/obo/MONDO_0001071	intellectual disability
http://purl.obolibrary.org/obo/MONDO_0015616	rare genetic intestinal disease	http://purl.obolibrary.org/obo/MONDO_0005020	intestinal disease
http://purl.obolibrary.org/obo/MONDO_0018404	rare genetic male infertility	http://purl.obolibrary.org/obo/MONDO_0005372	male infertility
http://purl.obolibrary.org/obo/MONDO_0015957	rare genetic movement disorder	http://purl.obolibrary.org/obo/MONDO_0005395	movement disorder
http://purl.obolibrary.org/obo/MONDO_0017660	rare genetic parkinsonian disorder	http://purl.obolibrary.org/obo/MONDO_0021095	parkinsonian disorder
http://purl.obolibrary.org/obo/MONDO_0015138	rare genetic primary immunodeficiency	http://purl.obolibrary.org/obo/MONDO_0003778	primary immunodeficiency disease
http://purl.obolibrary.org/obo/MONDO_0020030	rare genetic renal disease	http://purl.obolibrary.org/obo/MONDO_0005240	kidney disease
http://purl.obolibrary.org/obo/MONDO_0015510	rare genetic respiratory disease	http://purl.obolibrary.org/obo/MONDO_0005087	respiratory system disease
http://purl.obolibrary.org/obo/MONDO_0019043	rare genetic skin disease	http://purl.obolibrary.org/obo/MONDO_0005093	skin disease
http://purl.obolibrary.org/obo/MONDO_0015983	rare genetic syndromic intellectual disability	http://purl.obolibrary.org/obo/MONDO_0000508	syndromic intellectual disability
http://purl.obolibrary.org/obo/MONDO_0015969	rare genetic thyroid disease	http://purl.obolibrary.org/obo/MONDO_0003240	thyroid gland disease
http://purl.obolibrary.org/obo/MONDO_0015511	rare genetic urogenital disease	http://purl.obolibrary.org/obo/MONDO_0021145	disease of genitourinary system
http://purl.obolibrary.org/obo/MONDO_0016517	rare genetic vascular disease	http://purl.obolibrary.org/obo/MONDO_0005385	vascular disease
