iri,equivalent_class
TBD:0000213,DC:0000725
TBD:0000214,DC:0000727
TBD:0000215,DC:0000729
TBD:0000216,DC:0000730
TBD:0000217,DC:0000731
TBD:0000218,DC:0000733
TBD:0000219,DC:0000734
TBD:0000220,DC:0000735
TBD:0000221,DC:0000736
TBD:0000222,DOID:0050004
TBD:0000223,DOID:0050012
TBD:0000224,DOID:0050013
TBD:0000225,DOID:0050026
TBD:0000226,DOID:0050032
TBD:0000227,DOID:0050035
TBD:0000228,DOID:0050041
TBD:0000229,DOID:0050042
TBD:0000230,DOID:0050043
TBD:0000231,DOID:0050046
TBD:0000232,DOID:0050047
TBD:0000233,DOID:0050050
TBD:0000234,DOID:0050051
TBD:0000235,DOID:0050052
TBD:0000236,DOID:0050059
TBD:0000237,DOID:0050061
TBD:0000238,DOID:0050068
TBD:0000239,DOID:0050072
TBD:0000240,DOID:0050073
TBD:0000241,DOID:0050083
TBD:0000242,DOID:0050096
TBD:0000243,DOID:0050097
TBD:0000244,DOID:0050105
TBD:0000245,DOID:0050116
TBD:0000246,DOID:0050118
TBD:0000247,DOID:0050120
TBD:0000248,DOID:0050125
TBD:0000249,DOID:0050129
TBD:0000250,DOID:0050130
TBD:0000251,DOID:0050131
TBD:0000252,DOID:0050132
TBD:0000253,DOID:0050133
TBD:0000254,DOID:0050134
TBD:0000255,DOID:0050135
TBD:0000256,DOID:0050136
TBD:0000257,DOID:0050140
TBD:0000258,DOID:0050141
TBD:0000259,DOID:0050143
TBD:0000260,DOID:0050144
TBD:0000261,DOID:0050145
TBD:0000262,DOID:0050147
TBD:0000263,DOID:0050148
TBD:0000264,DOID:0050150
TBD:0000265,DOID:0050152
TBD:0000266,DOID:0050153
TBD:0000267,DOID:0050157
TBD:0000268,DOID:0050159
TBD:0000269,DOID:0050160
TBD:0000270,DOID:0050161
TBD:0000271,DOID:0050166
TBD:0000272,DOID:0050168
TBD:0000273,DOID:0050174
TBD:0000274,DOID:0050175
TBD:0000275,DOID:0050177
TBD:0000276,DOID:0050179
TBD:0000277,DOID:0050194
TBD:0000278,DOID:0050195
TBD:0000279,DOID:0050196
TBD:0000280,DOID:0050197
TBD:0000281,DOID:0050198
TBD:0000282,DOID:0050199
TBD:0000283,DOID:0050200
TBD:0000284,DOID:0050201
TBD:0000285,DOID:0050202
TBD:0000286,DOID:0050204
TBD:0000287,DOID:0050214
TBD:0000288,DOID:0050218
TBD:0000289,DOID:0050222
TBD:0000290,DOID:0050242
TBD:0000291,DOID:0050246
TBD:0000292,DOID:0050250
TBD:0000293,DOID:0050251
TBD:0000294,DOID:0050253
TBD:0000295,DOID:0050254
TBD:0000296,DOID:0050256
TBD:0000297,DOID:0050259
TBD:0000298,DOID:0050260
TBD:0000299,DOID:0050261
TBD:0000300,DOID:0050266
TBD:0000301,DOID:0050268
TBD:0000302,DOID:0050278
TBD:0000303,DOID:0050279
TBD:0000304,DOID:0050288
TBD:0000305,DOID:0050289
TBD:0000306,DOID:0050290
TBD:0000307,DOID:0050291
TBD:0000308,DOID:0050292
TBD:0000309,DOID:0050304
TBD:0000310,DOID:0050308
TBD:0000311,DOID:0050328
TBD:0000312,DOID:0050332
TBD:0000313,DOID:0050336
TBD:0000314,DOID:0050338
TBD:0000315,DOID:0050339
