mondo_id	xref	xref_source	xref_source
ID	A oboInOwl:hasDbXref	>A oboInOwl:source	>A oboInOwl:source
MONDO:0006677	EFO:1000838	MONDO:EFO	MONDO:equivalentTo
MONDO:0006678	EFO:1000839	MONDO:EFO	MONDO:equivalentTo
MONDO:0006026	EFO:1000018	MONDO:EFO	MONDO:equivalentTo
MONDO:0004960	EFO:0000203	MONDO:EFO	MONDO:equivalentTo
MONDO:0006676	EFO:1000837	MONDO:EFO	MONDO:equivalentTo
MONDO:0006873	EFO:1001067	MONDO:EFO	MONDO:equivalentTo
MONDO:0006373	EFO:1000478	MONDO:EFO	MONDO:equivalentTo
MONDO:0005065	EFO:0000588	MONDO:EFO	MONDO:equivalentTo
MONDO:0006671	EFO:1000832	MONDO:EFO	MONDO:equivalentTo
MONDO:0006672	EFO:1000833	MONDO:EFO	MONDO:equivalentTo
MONDO:0005039	EFO:0000512	MONDO:EFO	MONDO:equivalentTo
MONDO:0006680	EFO:1000841	MONDO:EFO	MONDO:equivalentTo
MONDO:0006681	EFO:1000842	MONDO:EFO	MONDO:equivalentTo
MONDO:0006679	EFO:1000840	MONDO:EFO	MONDO:equivalentTo
MONDO:0006686	EFO:1000847	MONDO:EFO	MONDO:equivalentTo
MONDO:0005394	EFO:0004277	MONDO:EFO	MONDO:equivalentTo
MONDO:0006684	EFO:1000845	MONDO:EFO	MONDO:equivalentTo
MONDO:0005560	EFO:0005774	MONDO:EFO	MONDO:equivalentTo
MONDO:0006682	EFO:1000843	MONDO:EFO	MONDO:equivalentTo
MONDO:0006683	EFO:1000844	MONDO:EFO	MONDO:equivalentTo
MONDO:0005071	EFO:0000618	MONDO:EFO	MONDO:equivalentTo
MONDO:0006690	EFO:1000853	MONDO:EFO	MONDO:equivalentTo
MONDO:0005269	EFO:0003781	MONDO:EFO	MONDO:equivalentTo
MONDO:0006687	EFO:1000850	MONDO:EFO	MONDO:equivalentTo
MONDO:0006688	EFO:1000851	MONDO:EFO	MONDO:equivalentTo
MONDO:0006693	EFO:1000859	MONDO:EFO	MONDO:equivalentTo
MONDO:0011057	EFO:0003763	MONDO:EFO	MONDO:equivalentTo
MONDO:0006692	EFO:1000857	MONDO:EFO	MONDO:equivalentTo
MONDO:0021697	EFO:1000863	MONDO:EFO	MONDO:equivalentTo
MONDO:0006698	EFO:1000864	MONDO:EFO	MONDO:equivalentTo
MONDO:0005281	EFO:0003832	MONDO:EFO	MONDO:equivalentTo
MONDO:0005089	EFO:0000691	MONDO:EFO	MONDO:equivalentTo
MONDO:0006694	EFO:1000860	MONDO:EFO	MONDO:equivalentTo
MONDO:0005311	EFO:0003914	MONDO:EFO	MONDO:equivalentTo
MONDO:0006030	EFO:1000023	MONDO:EFO	MONDO:equivalentTo
MONDO:0006701	EFO:1000867	MONDO:EFO	MONDO:equivalentTo
MONDO:0004972	EFO:0000232	MONDO:EFO	MONDO:equivalentTo
MONDO:0006702	EFO:1000868	MONDO:EFO	MONDO:equivalentTo
MONDO:0005559	EFO:0005772	MONDO:EFO	MONDO:equivalentTo
MONDO:0006699	EFO:1000865	MONDO:EFO	MONDO:equivalentTo
MONDO:0005154	EFO:0001421	MONDO:EFO	MONDO:equivalentTo
MONDO:0024388	EFO:1000874	MONDO:EFO	MONDO:equivalentTo
MONDO:0006704	EFO:1000870	MONDO:EFO	MONDO:equivalentTo
MONDO:0006712	EFO:1000879	MONDO:EFO	MONDO:equivalentTo
MONDO:0005328	EFO:0003966	MONDO:EFO	MONDO:equivalentTo
MONDO:0006710	EFO:1000877	MONDO:EFO	MONDO:equivalentTo
MONDO:0005384	EFO:0004263	MONDO:EFO	MONDO:equivalentTo
MONDO:0006717	EFO:1000885	MONDO:EFO	MONDO:equivalentTo
MONDO:0005509	EFO:0005561	MONDO:EFO	MONDO:equivalentTo
MONDO:0005308	EFO:0003900	MONDO:EFO	MONDO:equivalentTo
MONDO:0006716	EFO:1000883	MONDO:EFO	MONDO:equivalentTo
MONDO:0005010	EFO:0001645	MONDO:EFO	MONDO:equivalentTo
MONDO:0006714	EFO:1000881	MONDO:EFO	MONDO:equivalentTo
MONDO:0004995	EFO:0000319	MONDO:EFO	MONDO:equivalentTo
