mondo_id	subset	subset_source	impact
MONDO:0021337	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	128
MONDO:0007621	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	287
MONDO:0040675	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	65
MONDO:0008995	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	117
MONDO:0017779	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	175
MONDO:0000030	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	152
MONDO:0008277	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	169
MONDO:0002872	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	153
MONDO:0017439	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	9
MONDO:0014725	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	47
MONDO:0008582	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	308
MONDO:0013688	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	211
MONDO:0016830	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	6756
MONDO:0008006	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	6927
MONDO:0002013	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	188
MONDO:0019471	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	2734
MONDO:0008087	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	448
MONDO:0002603	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	520
MONDO:0021204	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	172
MONDO:0008673	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	2332
MONDO:0014498	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	518
MONDO:0014608	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	69
MONDO:0011965	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	108
MONDO:0002462	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	4931
MONDO:0018135	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	615
MONDO:0022723	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	508
MONDO:0003916	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	572
MONDO:0003143	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	41
MONDO:0007790	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	277
MONDO:0002732	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	50
MONDO:0018849	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	429
MONDO:0021077	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	159
MONDO:0011694	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	954
MONDO:0016759	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	247
MONDO:0013873	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	260
MONDO:0008961	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	512
MONDO:0041086	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	14
MONDO:0018092	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	771
MONDO:0001437	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	1040
MONDO:0015643	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	104
MONDO:0021054	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	378
MONDO:0007727	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	775
MONDO:0010446	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	263
MONDO:0007029	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	272
MONDO:0008668	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	624
MONDO:0002286	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	41
MONDO:0020771	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	41
MONDO:0015903	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	113
MONDO:0017386	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	114
MONDO:0005149	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	7128
MONDO:0018875	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	5132
MONDO:0018919	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	427
MONDO:0015452	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	2032
MONDO:0005341	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	6136
MONDO:0018998	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	12487
MONDO:0002715	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	1077
MONDO:0013944	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	722
MONDO:0014452	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	253
MONDO:0007158	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	59
MONDO:0012994	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	264
MONDO:0004331	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	66
MONDO:0010857	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	342
MONDO:0000903	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	764
MONDO:0002368	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	176
MONDO:0007669	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	1094
MONDO:0001684	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	489
MONDO:0009071	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	465
MONDO:0000661	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	138
