defined_class	defined_class_label	disease	disease_label	disease_match_property
http://purl.obolibrary.org/obo/MONDO_0004784	allergic asthma	http://purl.obolibrary.org/obo/MONDO_0004979	asthma	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0006526	allergic urticaria	http://purl.obolibrary.org/obo/MONDO_0005492	urticaria	http://www.w3.org/2000/01/rdf-schema#label
