defined_class	defined_class_label	disease	disease_label	disease_match_property
http://purl.obolibrary.org/obo/MONDO_0001902	congenital agammaglobulinemia	http://purl.obolibrary.org/obo/MONDO_0015977	agammaglobulinemia	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0004527	congenital granular cell tumor	http://purl.obolibrary.org/obo/MONDO_0006235	granular cell tumor	http://www.w3.org/2000/01/rdf-schema#label
