defined_class	defined_class_label	location	location_label	location_match_property
http://purl.obolibrary.org/obo/MONDO_0000971	chest wall lipoma	http://purl.obolibrary.org/obo/UBERON_0016435	chest wall	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0000973	external ear lipoma	http://purl.obolibrary.org/obo/UBERON_0001691	external ear	http://www.w3.org/2000/01/rdf-schema#label
