defined_class	defined_class_label	neoplasm	neoplasm_label	neoplasm_match_property
http://purl.obolibrary.org/obo/MONDO_0024666	benign epithelial skin neoplasm	http://purl.obolibrary.org/obo/MONDO_0021634	epithelial skin neoplasm	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0000638	benign glioma	http://purl.obolibrary.org/obo/MONDO_0021042	glioma	http://www.w3.org/2000/01/rdf-schema#label
