defined_class	defined_class_label	location	location_label	location_match_property
http://purl.obolibrary.org/obo/MONDO_0002816	adrenal cortex disease	http://purl.obolibrary.org/obo/UBERON_0001235	adrenal cortex	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0005495	adrenal gland disease	http://purl.obolibrary.org/obo/UBERON_0002369	adrenal gland	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003803	aortic valve disease	http://purl.obolibrary.org/obo/UBERON_0002137	aortic valve	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0005476	atrioventricular node disease	http://purl.obolibrary.org/obo/UBERON_0002352	atrioventricular node	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002409	auditory system disease	http://purl.obolibrary.org/obo/UBERON_0016490	auditory system	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001292	autonomic nervous system disease	http://purl.obolibrary.org/obo/UBERON_0002410	autonomic nervous system	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002887	bile duct disease	http://purl.obolibrary.org/obo/UBERON_0002394	bile duct	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0005497	bone development disease	http://purl.obolibrary.org/obo/GO_0060348	bone development	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002657	breast disease	http://purl.obolibrary.org/obo/UBERON_0000310	breast	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002602	central nervous system disease	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002970	ciliary body disease	http://purl.obolibrary.org/obo/UBERON_0001775	ciliary body	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002886	common bile duct disease	http://purl.obolibrary.org/obo/UBERON_0001174	common bile duct	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003900	connective tissue disease	http://purl.obolibrary.org/obo/UBERON_0002384	connective tissue	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003394	dental pulp disease	http://purl.obolibrary.org/obo/UBERON_0001754	dental pulp	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0005728	diaphragm disease	http://purl.obolibrary.org/obo/UBERON_0001103	diaphragm	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0000470	endocardium disease	http://purl.obolibrary.org/obo/UBERON_0002165	endocardium	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001933	endocrine pancreas disease	http://purl.obolibrary.org/obo/UBERON_0000016	endocrine pancreas	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0005151	endocrine system disease	http://purl.obolibrary.org/obo/UBERON_0000949	endocrine system	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002776	external ear disease	http://purl.obolibrary.org/obo/UBERON_0001691	external ear	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003382	eyelid disease	http://purl.obolibrary.org/obo/UBERON_0001711	eyelid	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002098	facial nerve disease	http://purl.obolibrary.org/obo/UBERON_0001647	facial nerve	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002156	fallopian tube disease	http://purl.obolibrary.org/obo/UBERON_0003889	fallopian tube	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002263	female reproductive system disease	http://purl.obolibrary.org/obo/UBERON_0000474	female reproductive system	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002639	glossopharyngeal nerve disease	http://purl.obolibrary.org/obo/UBERON_0001649	glossopharyngeal nerve	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0005042	head disease	http://purl.obolibrary.org/obo/UBERON_0000033	head	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001810	hypoglossal nerve disease	http://purl.obolibrary.org/obo/UBERON_0001650	hypoglossal nerve	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002289	iris disease	http://purl.obolibrary.org/obo/UBERON_0001769	iris	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0005240	kidney disease	http://purl.obolibrary.org/obo/UBERON_0002113	kidney	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0004748	lip disease	http://purl.obolibrary.org/obo/UBERON_0001833	lip	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0005154	liver disease	http://purl.obolibrary.org/obo/UBERON_0002107	liver	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0000270	lower respiratory tract disease	http://purl.obolibrary.org/obo/UBERON_0001558	lower respiratory tract	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0005275	lung disease	http://purl.obolibrary.org/obo/UBERON_0002048	lung	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003150	male reproductive system disease	http://purl.obolibrary.org/obo/UBERON_0000079	male reproductive system	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003276	middle ear disease	http://purl.obolibrary.org/obo/UBERON_0001756	middle ear	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003767	mitral valve disease	http://purl.obolibrary.org/obo/UBERON_0002135	mitral valve	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0020128	motor neuron disease	http://purl.obolibrary.org/obo/CL_0000100	motor neuron	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0006858	mouth disease	http://purl.obolibrary.org/obo/UBERON_0000165	mouth	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003939	muscle tissue disease	http://purl.obolibrary.org/obo/UBERON_0002385	muscle tissue	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002081	musculoskeletal system disease	http://purl.obolibrary.org/obo/UBERON_0002204	musculoskeletal system	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002884	nail disease	http://purl.obolibrary.org/obo/UBERON_0001705	nail	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002232	nasal cavity disease	http://purl.obolibrary.org/obo/UBERON_0001707	nasal cavity	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002727	olfactory nerve disease	http://purl.obolibrary.org/obo/UBERON_0001579	olfactory nerve	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001898	optic choroid disease	http://purl.obolibrary.org/obo/UBERON_0001776	optic choroid	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001735	paranasal sinus disease	http://purl.obolibrary.org/obo/UBERON_0001825	paranasal sinus	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001223	parathyroid gland disease	http://purl.obolibrary.org/obo/UBERON_0001132	parathyroid gland	http://www.w3.org/2000/01/rdf-schema#label
