defined_class	defined_class_label	disease	disease_label	disease_match_property
http://purl.obolibrary.org/obo/MONDO_0016091	adult Krabbe disease	http://purl.obolibrary.org/obo/MONDO_0009499	Krabbe disease	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0000875	adult acute monocytic leukemia	http://purl.obolibrary.org/obo/MONDO_0007896	acute monocytic leukemia	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0004383	adult central nervous system germinoma	http://purl.obolibrary.org/obo/MONDO_0002999	central nervous system germinoma	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003732	adult central nervous system mature teratoma	http://purl.obolibrary.org/obo/MONDO_0003733	central nervous system mature teratoma	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003260	adult cerebellar neoplasm	http://purl.obolibrary.org/obo/MONDO_0002913	cerebellar neoplasm	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002683	adult choroid plexus neoplasm	http://purl.obolibrary.org/obo/MONDO_0016717	choroid plexus neoplasm	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003660	adult lymphoma	http://purl.obolibrary.org/obo/MONDO_0005062	lymphoma	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0004385	adult xanthogranuloma	http://purl.obolibrary.org/obo/MONDO_0024617	xanthogranuloma	http://www.w3.org/2000/01/rdf-schema#label
