prefix	numberOfClasses
"ENVO"	460
"MAXO"	114
"CHR"	310
"MONDO"	28103
"ECTO"	421
"IAO"	27
"NCIT"	84
"BFO"	18
"MF"	14
"SO"	85
"UBERON"	5348
"RO"	2
"NBO"	116
""	3824
"FOODON"	200
"HsapDv"	86
"HP"	4806
"GO"	4039
"OGMS"	5
"MFOMD"	12
"NCBITaxon"	1818
"CL"	1193
"CHEBI"	1214
"PATO"	397
