cls	replCls	consCls
CHEBI:36684	CHEBI:17792
CL:0000003	CL:0000000
CL:0000161
CL:0000181
CL:0000243
CL:0000337	CL:0000031
CL:0000381	CL:0000165
CL:0000548	CL:0000000
CL:0002371	CL:0000000
CL:0002609	CL:0010012
CL:0008030
CL:0017505	PATO:0040072
CL:1000416	CL:0002324
CL:2000082	CL:2000045
ECTO:9000266	ECTO:0000231
ECTO:9001021	ECTO:9000077
ENVO:00000131
ENVO:00002004
ENVO:00002297
ENVO:00003075
ENVO:01000010
ENVO:01000044
ENVO:01000818	"ENVO:03000144"
FOODON:00001785	FOODON:02021444
FOODON:03000003	NCBITaxon:6690
FOODON:03000004	NCBITaxon:85552
FOODON:03000005	NCBITaxon:29960
FOODON:03400004	http://purl.obolibrary.org/obo/FOODON_00001002
FOODON:03411087	NCBITaxon:9606
FOODON:03411161	NCBITaxon:9913
FOODON:03411215
FOODON:03411335	FOODON:02021446
FOODON:03411347
FOODON:03412846	NCBITaxon:2
FOODON:03420155
FOODON:03420165
FOODON:03420174	PO:0009011
FOODON:03420279	PO:0025281
FOODON:03420310	PO:0009029
FOODON:03460180
GO:0000003	"GO:0022414"
GO:0000229	"GO:0005694"
GO:0000784	GO:0000781
GO:0000789	GO:0000785
GO:0000790	GO:0000785
GO:0000904	"GO:0000902"
GO:0000988
GO:0001012	GO:0000977
GO:0001505
GO:0002818	GO:0006968
GO:0004871
GO:0004872	GO:0038023
GO:0004882	GO:0004879
GO:0004887	GO:0004879
GO:0005578	GO:0031012
GO:0005623
GO:0005719	GO:0000791
GO:0005720	GO:0000792
GO:0005724
GO:0005747	"GO:0045271"
GO:0005887	GO:0005886
GO:0005967	"GO:0045254"
GO:0006073	"GO:0044042"
GO:0006165
GO:0006323	GO:0051276
GO:0006464	GO:0036211
GO:0006725	"GO:0008152"
GO:0006732
GO:0006733
GO:0006757
GO:0006807	"GO:0008152"
GO:0006859
GO:0006875	"GO:0030003"
GO:0006928
GO:0007568
GO:0008144
GO:0008434	GO:0004879
GO:0009108
GO:0009991
GO:0010033
GO:0010259
GO:0010672
GO:0010673
GO:0010674
GO:0010675	"GO:0006109"
GO:0010676	"GO:0045913"
GO:0010677	"GO:0045912"
GO:0010678
GO:0010769	"GO:0022604"
GO:0010822
GO:0010823
GO:0010941
GO:0010942
GO:0015238	GO:0042910
GO:0015672	GO:0098662
GO:0015696	GO:0072488
GO:0015758	GO:1904659
GO:0015893	GO:0042908
GO:0016021	GO:0016020
GO:0017144	GO:0006805
GO:0018130	"GO:0009058"
GO:0019438	"GO:0009058"
GO:0019439	"GO:0009056"
GO:0022610
GO:0022838	GO:0015267
GO:0030104
GO:0031224	"GO:0016020"
GO:0031226	"GO:0005886"
GO:0031300	"GO:0031090"
GO:0031301	"GO:0031090"
GO:0031304	"GO:0005743"
GO:0031305	"GO:0005743"
GO:0031668
GO:0031933
GO:0031975
GO:0032104
GO:0032105
GO:0032106
GO:0032268	GO:0051246
GO:0032269	GO:0051248
GO:0032270	GO:0051247
GO:0032504	"GO:0048609"
GO:0032592	"GO:0031966"
GO:0032990	"GO:0032989"
GO:0033267
GO:0033576	"GO:0006486"
GO:0033578	"GO:0006486"
GO:0033683	"GO:0006289"
GO:0033692	"GO:0000271"
GO:0034613	GO:0008104
GO:0034622	GO:0065003
GO:0034637	"GO:0016051"
GO:0034641	"GO:0008152"
GO:0034645	"GO:0009059"
GO:0034754	GO:0042445
GO:0035636
GO:0035637
GO:0035947
GO:0035948
GO:0035949
GO:0036385
GO:0042133
GO:0042135
GO:0042165
GO:0042493	GO:0009410
GO:0042737	GO:0042178
GO:0043234	GO:0032991
GO:0043471	"GO:0043470"
GO:0043624	GO:0032984
GO:0043900
GO:0043901
GO:0043902
GO:0044106	GO:0009308
GO:0044107	"GO:0006066"
GO:0044108	"GO:0046165"
GO:0044212	GO:0000976
GO:0044247	"GO:0000272"
GO:0044260	"GO:0043170"
GO:0044262	"GO:0005975"
GO:0044264	"GO:0005976"
GO:0044267	GO:0019538
GO:0044270	"GO:0009056"
GO:0044271	"GO:0009058"
GO:0044275	"GO:0016052"
GO:0044420
GO:0044421
GO:0044422
GO:0044424
GO:0044425
GO:0044427
GO:0044428
GO:0044429
GO:0044431
GO:0044433
GO:0044437
GO:0044438
GO:0044439
GO:0044441
GO:0044444
GO:0044445
GO:0044446
GO:0044448
GO:0044449
GO:0044452
GO:0044454
GO:0044455
GO:0044456
GO:0044459
GO:0044463
GO:0044464
GO:0044699	GO:0008150
GO:0044710	GO:0008152
GO:0044763	GO:0009987
GO:0045250	"GO:0045254"
GO:0045272	"GO:0045271"
GO:0046483	"GO:0008152"
GO:0046700	"GO:0009056"
GO:0046916	"GO:0030003"
GO:0046939
GO:0048875
GO:0050880	GO:0097746
GO:0051037
GO:0051038
GO:0051039
GO:0051171	"GO:0019222"
GO:0051172	"GO:0009892"
GO:0051173	"GO:0019222"
GO:0051181
GO:0051186
GO:0051188
GO:0051193
GO:0051194
GO:0051195
GO:0051196
GO:0051197
GO:0051198
GO:0051270
GO:0051271
GO:0051272
GO:0051704
GO:0051705
GO:0055065
GO:0055067	"GO:0055080"
GO:0055069
GO:0055072
GO:0055076
GO:0055114
GO:0060548
GO:0060850
GO:0070011	GO:0008233
GO:0070838	GO:0030001
GO:0071310
