cls	replCls	consCls
CHEBI:36684	CHEBI:17792
GO:0071702
GO:0071704
GO:0072358	GO:0072359
GO:0072361
GO:0072362
GO:0072363
GO:0072364
GO:0072365
GO:0072366
GO:0072367
GO:0072368
GO:0072369
GO:0072503	"GO:0030003"
GO:0072507	"GO:0055080"
GO:0072509	GO:0022890
GO:0072511	GO:0098662
GO:0090283	"GO:0060049"
GO:0090284	"GO:0060050"
GO:0090285	"GO:0060051"
GO:0090305	"GO:0090304"
GO:0097458
GO:0097659
GO:0097689	GO:0005381
GO:0097755
GO:0097756
GO:0098573	"GO:0031966"
GO:0098589	GO:0016020
GO:0098679
GO:0098805	GO:0016020
GO:0098936	"GO:0045211"
GO:0099004
GO:0099055	"GO:0045211"
GO:0099240	"GO:0097060"
GO:0099699	"GO:0097060"
GO:0100002
GO:0100017
GO:0100018
GO:0100020
GO:0100021
GO:0100023
GO:0100024
GO:0100025
GO:0100026	"GO:0006281"
GO:0100032
GO:0100036
GO:0100051
GO:0100070
GO:0120038
GO:0140603	"GO:0016887"
GO:1900387
GO:1900389
GO:1900392
GO:1900393	GO:1900400
GO:1900402
GO:1900403
GO:1900404
GO:1900413
GO:1900418
GO:1901213
GO:1901227
GO:1901228
GO:1901360
GO:1901361
GO:1901362
GO:1901522
GO:1901575
GO:1901576
GO:1902064
GO:1902113
GO:1903506
GO:1903507
GO:1903508
GO:1903649
GO:1903650
GO:1903651
GO:1903759
GO:1903827	GO:0032880
GO:1904081
GO:1904167	GO:0051090
GO:1904168	GO:0043433
GO:1904169	GO:0051091
GO:1905114
GO:1990613	GO:0008053
GO:1990731	"GO:0070914"
GO:2000112	"GO:0010556"
GO:2000113	"GO:0010558"
GO:2000531
GO:2000823	GO:0051090
GO:2000824	GO:0043433
GO:2001020	"GO:0006974"
GO:2001021	"GO:0006974"
GO:2001022	"GO:0006974"
GO:2001273
GO:2001274
GO:2001275
HP:0000735	"HP:0012760"
HP:0001180	"HP:0009380"
HP:0001322	"HP:0006872"
HP:0002459	"HP:0012332"
HP:0002648	"HP:0002683"
HP:0006504	"HP:0000940"
HP:0007435	"HP:0007447"
HP:0008572	"HP:0000377"
HP:0008826	"HP:0002827"
HP:0010985	"HP:0000005"
HP:0011016	"HP:0003076"
HP:0011357	"HP:0011362"
HP:0012369	"HP:0010668"
HP:0012374	"HP:0012372"
HP:0040066	"HP:0040069"
HP:0040077	"HP:0004363"
HP:0040215	"HP:0040214"
HP:0040290
HsapDv:0000080
HsapDv:0000081
HsapDv:0000082
HsapDv:0000083
HsapDv:0000084
HsapDv:0000085
HsapDv:0000086
HsapDv:0000087
HsapDv:0000088
HsapDv:0000089
HsapDv:0000090
HsapDv:0000091
HsapDv:0000092
HsapDv:0000204
MONDO:0000002	"MONDO:0009299"
MONDO:0000003
MONDO:0000006
MONDO:0000007
MONDO:0000008
MONDO:0000010	"MONDO:0008926"
MONDO:0000011
MONDO:0000012
MONDO:0000013	"MONDO:0008982"
MONDO:0000016	"MONDO:0005010"
MONDO:0000017	"MONDO:0011791"
MONDO:0000018	"MONDO:0016107"
MONDO:0000019	"MONDO:0019287"
MONDO:0000020	"MONDO:0017319"
MONDO:0000021	"MONDO:0018770"
MONDO:0000024	"MONDO:0005508"
MONDO:0000025	"MONDO:0018768"
MONDO:0000026	"MONDO:0001083"
MONDO:0000027
MONDO:0000028	"MONDO:0013229"
MONDO:0000029
MONDO:0000031	"MONDO:0013209"
MONDO:0000033	"MONDO:0016643"
MONDO:0000034
MONDO:0000035
MONDO:0000036
MONDO:0000037
MONDO:0000038		"MONDO:0018037"
MONDO:0000039
MONDO:0000040	"MONDO:0016543"
MONDO:0000041	"MONDO:0016596"
MONDO:0000042
MONDO:0000043	"MONDO:0018100"
MONDO:0000046
MONDO:0000047	"MONDO:0003947"
MONDO:0000048	"MONDO:0001341"
MONDO:0000049		"MONDO:0021094"
MONDO:0000051
MONDO:0000052
MONDO:0000053
MONDO:0000054		"MONDO:0020242"
MONDO:0000055	"MONDO:0004985"
MONDO:0000056	"MONDO:0016584"
MONDO:0000057
MONDO:0000058		"MONDO:0024462"
MONDO:0000059	"MONDO:0016826"
MONDO:0000061	"MONDO:0016660"
MONDO:0000063	"MONDO:0020480"
MONDO:0000064	"MONDO:0016073"
MONDO:0000067	"MONDO:0018158"
MONDO:0000068	"MONDO:0019248"
MONDO:0000069	"MONDO:0017169"
MONDO:0000071	"MONDO:0018943"
MONDO:0000072
MONDO:0000073	"MONDO:0019284"
MONDO:0000074	"MONDO:0018307"
MONDO:0000075	"MONDO:0018894"
MONDO:0000076		"MONDO:0015364"
MONDO:0000077	"MONDO:0005712"
MONDO:0000080	"MONDO:0010704"
MONDO:0000081	"MONDO:0009299"
MONDO:0000083	"MONDO:0018306"
MONDO:0000084	"MONDO:0015999"
MONDO:0000085	"MONDO:0013099"
MONDO:0000086	"MONDO:0017425"
MONDO:0000089	"MONDO:0005562"
MONDO:0000091	"MONDO:0019490"
MONDO:0000092	"MONDO:0001560"
MONDO:0000093	"MONDO:0859050"
MONDO:0000094
MONDO:0000095	"MONDO:0016576"
MONDO:0000096	"MONDO:0012580"
MONDO:0000097
MONDO:0000098	"MONDO:0019201"
MONDO:0000099
MONDO:0000100
MONDO:0000101	"MONDO:0018891"
MONDO:0000102
MONDO:0000103	"MONDO:0019004"
MONDO:0000106
MONDO:0000109	"MONDO:0000720"
MONDO:0000112	"MONDO:0015487"
MONDO:0000113
MONDO:0000116	"MONDO:0000904"
MONDO:0000117	"MONDO:0000824"
MONDO:0000120	"MONDO:0015998"
MONDO:0000121	"MONDO:0005024"
MONDO:0000122	"MONDO:0011090"
MONDO:0000123	"MONDO:0018175"
MONDO:0000124	"MONDO:0018363"
MONDO:0000125
MONDO:0000126	"MONDO:0001056"
MONDO:0000130
MONDO:0000131
MONDO:0000132
MONDO:0000134	"MONDO:0000507"
MONDO:0000135	"MONDO:0016516"
MONDO:0000139	"MONDO:0017950"
MONDO:0000140	"MONDO:0016558"
MONDO:0000142	"MONDO:0019042"
MONDO:0000143
MONDO:0000145
MONDO:0000146	"MONDO:0015333"
MONDO:0000149	"MONDO:0005283"
MONDO:0000150	"MONDO:0016763"
MONDO:0000154
MONDO:0000157
MONDO:0000161
MONDO:0000163	"MONDO:0100526"
MONDO:0000164	"MONDO:0005321"
MONDO:0000165	"MONDO:0013311"
MONDO:0000168	"MONDO:0019181"
MONDO:0000174
MONDO:0000175	"MONDO:0011457"
MONDO:0000176	"MONDO:0019375"
MONDO:0000177
MONDO:0000178
MONDO:0000180	"MONDO:0017411"
MONDO:0000183	"MONDO:0016620"
MONDO:0000184	"MONDO:0015722"
MONDO:0000185
MONDO:0000186	"MONDO:0019675"
MONDO:0000187	"MONDO:0010004"
MONDO:0000189
MONDO:0000191
MONDO:0000194	"MONDO:0008163"
MONDO:0000195	"MONDO:0015281"
MONDO:0000196
MONDO:0000197	"MONDO:0008429"
MONDO:0000198
MONDO:0000199	"MONDO:0021055"
MONDO:0000201	"MONDO:0017896"
MONDO:0000202		"MONDO:0100259"
MONDO:0000203	"MONDO:0017910"
MONDO:0000204
MONDO:0000205
MONDO:0000206
MONDO:0000207	"MONDO:0014176"
MONDO:0000215	"MONDO:0020310"
MONDO:0000216
MONDO:0000217	"MONDO:0010593"
MONDO:0000218		"HP:0032479"
MONDO:0000219	"MONDO:0008621"
MONDO:0000220	"MONDO:0019503"
MONDO:0000221
MONDO:0000223	"MONDO:0017941"
MONDO:0000228	"MONDO:0005677"
MONDO:0000235	"MONDO:0019359"
MONDO:0000237	"MONDO:0006752"
MONDO:0000238
MONDO:0000246	"MONDO:0019378"
MONDO:0000247	"MONDO:0015540"
MONDO:0000258	"MONDO:0015805"
MONDO:0000260	"MONDO:0016575"
MONDO:0000264	"MONDO:0020487"
MONDO:0000267	"MONDO:0015264"
MONDO:0000268	"MONDO:0009537"
MONDO:0000269	"MONDO:0016595"
MONDO:0000272	"MONDO:0010012"
MONDO:0000274	"MONDO:0017572"
MONDO:0000275		"MONDO:0003847"
MONDO:0000277	"MONDO:0017874"
MONDO:0000278	"MONDO:0017875"
MONDO:0000279	"MONDO:0017876"
MONDO:0000280	"MONDO:0017877"
MONDO:0000281	"MONDO:0017878"
MONDO:0000285	"MONDO:0017872"
MONDO:0000287	"MONDO:0018556"
MONDO:0000289	"MONDO:0018039"
MONDO:0000296	"MONDO:0019143"
MONDO:0000300	"MONDO:0019498"
MONDO:0000305	"MONDO:0016426"
MONDO:0000311	"MONDO:0018612"
MONDO:0000312	"MONDO:0023069"
MONDO:0000317	"MONDO:0016453"
MONDO:0000318	"MONDO:0015803"
MONDO:0000319	"MONDO:0015804"
MONDO:0000322	"MONDO:0018984"
MONDO:0000323	"MONDO:0008279"
MONDO:0000324	"MONDO:0020088"
MONDO:0000325	"MONDO:0016471"
MONDO:0000326	"MONDO:0018838"
MONDO:0000329	"MONDO:0019362"
MONDO:0000347	"MONDO:0019471"
MONDO:0000348	"HP:0001115"
MONDO:0000349	"MONDO:0019011"
MONDO:0000350	"MONDO:0018778"
MONDO:0000352	"MONDO:0015364"
MONDO:0000353	"MONDO:0019663"
MONDO:0000354	"MONDO:0017959"
MONDO:0000356	"MONDO:0019523"
MONDO:0000357	"MONDO:0018097"
MONDO:0000360	"MONDO:0016001"
MONDO:0000361	"MONDO:0010924"
MONDO:0000362	"MONDO:0009032"
MONDO:0000364	"MONDO:0018542"
MONDO:0000366	"MONDO:0018251"
MONDO:0000370	"MONDO:0006094"
MONDO:0000388		"MONDO:0008798"
MONDO:0000391	"MONDO:0008029"
MONDO:0000392	"MONDO:0016011"
MONDO:0000394	"MONDO:0016011"
MONDO:0000398	"MONDO:0004379"
MONDO:0000399	"MONDO:0022697"
MONDO:0000401	"MONDO:0018841"
MONDO:0000403	"MONDO:0004992"
MONDO:0000404	"MONDO:0004992"
MONDO:0000406	"MONDO:0008891"
MONDO:0000416	"MONDO:0100036"
MONDO:0000417	"MONDO:0010826"
MONDO:0000418	"MONDO:0100062"
MONDO:0000419	"MONDO:0018950"
MONDO:0000420	"MONDO:0013110"
MONDO:0000422	"MONDO:0002412"
MONDO:0000423	"MONDO:0018151"
MONDO:0000427	"MONDO:0006025"
MONDO:0000431	"MONDO:0018876"
MONDO:0000433	"MONDO:0006495"
MONDO:0000434	"MONDO:0000430"
MONDO:0000435	"MONDO:0006431"
MONDO:0000436	"MONDO:0019469"
MONDO:0000438	"MONDO:0018996"
MONDO:0000439	"MONDO:0019262"
MONDO:0000441	"MONDO:0010684"
MONDO:0000442	"MONDO:0007100"
MONDO:0000443	"MONDO:0007068"
MONDO:0000444	"MONDO:0017123"
MONDO:0000445	"MONDO:0016987"
MONDO:0000449	"MONDO:0017138"
MONDO:0000454	"MONDO:0017923"
MONDO:0000464	"MONDO:0019353"
MONDO:0000472	"MONDO:0006955"
MONDO:0000475	"MONDO:0019238"
MONDO:0000484	"MONDO:0019771"
MONDO:0000493	"MONDO:0008633"
MONDO:0000501	"MONDO:0010578"
MONDO:0000504	"MONDO:0018906"
MONDO:0000505	"MONDO:0000402"
MONDO:0000506	"MONDO:0010913"
MONDO:0000511	"MONDO:0006216"
MONDO:0000512	"MONDO:0017795"
MONDO:0000522	"MONDO:0015798"
MONDO:0000523	"MONDO:0006172"
MONDO:0000526	"MONDO:0006091"
MONDO:0000528	"MONDO:0005008"
MONDO:0000529	"MONDO:0005484"
MONDO:0000533	"MONDO:0015867"
MONDO:0000535	"MONDO:0006470"
MONDO:0000537	"MONDO:0006181"
MONDO:0000538	"MONDO:0006466"
MONDO:0000542	"MONDO:0006187"
MONDO:0000546	"MONDO:0006356"
MONDO:0000547	"MONDO:0005211"
MONDO:0000555	"MONDO:0017324"
MONDO:0000556	"MONDO:0015244"
MONDO:0000557	"MONDO:0100309"
MONDO:0000558	"MONDO:0017845"
MONDO:0000559	"MONDO:0016612"
MONDO:0000560	"MONDO:0010847"
MONDO:0000561	"MONDO:0011694"
MONDO:0000562
MONDO:0000564	"MONDO:0009133"
MONDO:0000566	"MONDO:0005567"
MONDO:0000567	"MONDO:0007361"
MONDO:0000570	"MONDO:0011225"
MONDO:0000571	"MONDO:0012426"
MONDO:0000574	"MONDO:0015702"
MONDO:0000575	"MONDO:0015701"
MONDO:0000576	"MONDO:0014280"
MONDO:0000578	"MONDO:0014276"
MONDO:0000579	"MONDO:0014168"
MONDO:0000580	"MONDO:0010626"
MONDO:0000581	"MONDO:0013287"
MONDO:0000582	"MONDO:0000048"
MONDO:0000585	"MONDO:0015696"
MONDO:0000593	"MONDO:0017841"
MONDO:0000601
MONDO:0000604	"MONDO:0001300"
MONDO:0000606
MONDO:0000609	"MONDO:0010524"
MONDO:0000613	"MONDO:0006512"
MONDO:0000614	"MONDO:0006513"
MONDO:0000617	"MONDO:0006244"
MONDO:0000619	"MONDO:0005494"
MONDO:0000622	"MONDO:0005165"
MONDO:0000623	"MONDO:0005165"
MONDO:0000635	"MONDO:0018936"
MONDO:0000641	"MONDO:0007959"
MONDO:0000642	"MONDO:0850302"
MONDO:0000651
MONDO:0000655	"MONDO:0019464"
MONDO:0000656	"MONDO:0015045"
MONDO:0000657	"MONDO:0015046"
MONDO:0000658	"MONDO:0015044"
MONDO:0000689	"MONDO:0009669"
MONDO:0000691	"MONDO:0021668"
MONDO:0000692	"MONDO:0007863"
MONDO:0000695	"MONDO:0009345"
MONDO:0000696	"MONDO:0011876"
MONDO:0000697	"MONDO:0010083"
MONDO:0000699	"MONDO:0009351"
MONDO:0000711	"MONDO:0008458"
MONDO:0000712	"MONDO:0017161"
MONDO:0000713	"MONDO:0016430"
MONDO:0000714	"MONDO:0019563"
MONDO:0000717	"MONDO:0008715"
MONDO:0000718	"MONDO:0007034"
MONDO:0000719	"MONDO:0017579"
MONDO:0000720	"MONDO:0008947"
MONDO:0000725	"MONDO:0010731"
MONDO:0000729	"MONDO:0008340"
MONDO:0000730	"MONDO:0020135"
MONDO:0000731	"MONDO:0019347"
MONDO:0000735	"MONDO:0008111"
MONDO:0000737	"MONDO:0009576"
MONDO:0000738	"MONDO:0020119"
MONDO:0000742	"HP:0008940"
MONDO:0000746		"HP:0000023"
MONDO:0000747		"HP:0001537"
MONDO:0000752	"MONDO:0019773"
MONDO:0000753	"MONDO:0019015"
MONDO:0000759	"MONDO:0007059"
MONDO:0000760	"MONDO:0018237"
MONDO:0000765	"MONDO:0020213"
MONDO:0000767	"MONDO:0005563"
MONDO:0000768	"MONDO:0018661"
MONDO:0000769		"MONDO:0700226"
MONDO:0000770		"MONDO:0700226"
MONDO:0000772
MONDO:0000773
MONDO:0000776
MONDO:0000778		"MONDO:0700226"
MONDO:0000779
MONDO:0000780
MONDO:0000781		"MONDO:0700226"
MONDO:0000782		"MONDO:0700226"
MONDO:0000783		"MONDO:0700226"
MONDO:0000784		"MONDO:0700226"
MONDO:0000785
MONDO:0000786
MONDO:0000787
MONDO:0000788
MONDO:0000789
MONDO:0000790
MONDO:0000791
MONDO:0000792
MONDO:0000793
MONDO:0000794
MONDO:0000795
MONDO:0000796		"HP:0100327"
MONDO:0000797
MONDO:0000798
MONDO:0000799
MONDO:0000800
MONDO:0000801
MONDO:0000802
MONDO:0000803
MONDO:0000804
MONDO:0000805
MONDO:0000806
MONDO:0000808	"MONDO:0006243"
MONDO:0000810	"MONDO:0010542"
MONDO:0000817	"MONDO:0010015"
MONDO:0000818	"MONDO:0013965"
MONDO:0000821	"MONDO:0011305"
MONDO:0000822	"MONDO:0016537"
MONDO:0000823	"MONDO:0012705"
MONDO:0000825	"MONDO:0019046"
MONDO:0000826	"MONDO:0010306"
MONDO:0000829	"MONDO:0017279"
MONDO:0000830	"MONDO:0007926"
MONDO:0000832	"MONDO:0005170"
MONDO:0000834
MONDO:0000835	"MONDO:0005380"
MONDO:0000838	"MONDO:0019040"
MONDO:0000839
MONDO:0000841	"MONDO:0009943"
MONDO:0000842	"MONDO:0007982"
MONDO:0000843	"MONDO:0009833"
MONDO:0000844	"MONDO:0016761"
MONDO:0000846	"MONDO:0009031"
MONDO:0000847	"MONDO:0009940"
MONDO:0000848	"MONDO:0007181"
MONDO:0000850	"MONDO:0007793"
MONDO:0000851	"MONDO:0019648"
MONDO:0000852	"MONDO:0019669"
MONDO:0000853	"MONDO:0007987"
MONDO:0000854	"MONDO:0019354"
MONDO:0000855	"MONDO:0019696"
MONDO:0000856	"MONDO:0019551"
MONDO:0000857
MONDO:0000860	"MONDO:0018075"
MONDO:0000861	"MONDO:0008051"
MONDO:0000862	"MONDO:0019948"
MONDO:0000864	"MONDO:0019952"
MONDO:0000865	"MONDO:0009711"
MONDO:0000867	"MONDO:0017415"
MONDO:0000868		"MONDO:0009747"
MONDO:0000869	"MONDO:0007614"
MONDO:0000876	"MONDO:0015288"
MONDO:0000877	"MONDO:0005723"
MONDO:0000880	"MONDO:0005556"
MONDO:0000881	"MONDO:0015688"
MONDO:0000882	"MONDO:0015689"
MONDO:0000883	"MONDO:0015690"
MONDO:0000885	"MONDO:0009774"
MONDO:0000886	"MONDO:0006852"
MONDO:0000887	"MONDO:0019514"
MONDO:0000896	"MONDO:0006148"
MONDO:0000897	"MONDO:0020311"
MONDO:0000899	"MONDO:0015523"
MONDO:0000900	"MONDO:0017623"
MONDO:0000905	"MONDO:0000193"
MONDO:0000906	"MONDO:0011194"
MONDO:0000907	"MONDO:0008770"
MONDO:0000911
MONDO:0000915	"MONDO:0007930"
MONDO:0000917	"MONDO:0019962"
MONDO:0000932	"MONDO:0005208"
MONDO:0000982	"MONDO:0014624"
MONDO:0000985	"MONDO:0016003"
MONDO:0000991		"HP:0011713"
MONDO:0000998	"MONDO:0005899"
MONDO:0000999	"MONDO:0015926"
MONDO:0001002	"MONDO:0008346"
MONDO:0001010	"MONDO:0019470"
MONDO:0001012		"HP:0010619"
MONDO:0001013	"MONDO:0006118"
MONDO:0001018	"MONDO:0004967"
MONDO:0001026	"MONDO:0005113"
MONDO:0001043	"MONDO:0005728"
MONDO:0001047	"MONDO:0000004"
MONDO:0001058	"MONDO:0004950"
MONDO:0001069	"MONDO:0019046"
MONDO:0001070	"MONDO:0018544"
MONDO:0001077	"MONDO:0015183"
MONDO:0001097	"MONDO:0020367"
MONDO:0001102	"MONDO:0017203"
MONDO:0001107	"MONDO:0020143"
MONDO:0001111	"MONDO:0018896"
MONDO:0001124	"MONDO:0016075"
MONDO:0001131	"MONDO:0006186"
MONDO:0001140	"MONDO:0018071"
MONDO:0001153
MONDO:0001189	"MONDO:0019086"
MONDO:0001193	"HP:0007777"
MONDO:0001194	"MONDO:0019360"
MONDO:0001201	"MONDO:0010811"
MONDO:0001248	"MONDO:0019173"
MONDO:0001253
MONDO:0001254
MONDO:0001264	"MONDO:0017881"
MONDO:0001267	"MONDO:0015306"
MONDO:0001278	"MONDO:0006502"
MONDO:0001289	"MONDO:0006337"
MONDO:0001306		"HP:0000495"
MONDO:0001311	"MONDO:0020369"
MONDO:0001321		"HP:0030854"
MONDO:0001324		"HP:0030088"
MONDO:0001333	"MONDO:0018068"
MONDO:0001344	"MONDO:0016391"
MONDO:0001346	"MONDO:0018949"
MONDO:0001348	"MONDO:0019632"
MONDO:0001354	"MONDO:0017202"
MONDO:0001359	"MONDO:0016086"
MONDO:0001362	"HP:0000555"
MONDO:0001424
MONDO:0001425	"MONDO:0010726"
MONDO:0001432	"MONDO:0020532"
MONDO:0001445		"HP:0000011"
MONDO:0001448	"MONDO:0017282"
MONDO:0001450	"MONDO:0015304"
MONDO:0001467
MONDO:0001477	"MONDO:0019172"
MONDO:0001483	"MONDO:0020501"
MONDO:0001486	"MONDO:0018092"
MONDO:0001489	"MONDO:0019316"
MONDO:0001494
MONDO:0001500
MONDO:0001524	"MONDO:0005328"
MONDO:0001545	"MONDO:0019565"
MONDO:0001550	"MONDO:0007473"
MONDO:0001570	"MONDO:0016567"
MONDO:0001573	"MONDO:0009245"
MONDO:0001578		"HP:0100790"
MONDO:0001581	"MONDO:0018983"
MONDO:0001587	"MONDO:0018938"
MONDO:0001589		"HP:0100672"
MONDO:0001599	"MONDO:0019191"
MONDO:0001605	"MONDO:0003730"
MONDO:0001619	"MONDO:0019633"
MONDO:0001659	"MONDO:0021259"
MONDO:0001662		"HP:0011712"
MONDO:0001669	"MONDO:0008903"
MONDO:0001675	"MONDO:0019142"
MONDO:0001677	"MONDO:0017880"
MONDO:0001679
MONDO:0001693
MONDO:0001696	"MONDO:0020066"
MONDO:0001726	"MONDO:0015681"
MONDO:0001738	"MONDO:0017198"
MONDO:0001755	"MONDO:0006488"
MONDO:0001759	"MONDO:0020439"
MONDO:0001796	"MONDO:0009176"
MONDO:0001807		"MONDO:0001336"
MONDO:0001814	"MONDO:0011827"
MONDO:0001826	"MONDO:0017774"
MONDO:0001839	"MONDO:0018301"
MONDO:0001840	"MONDO:0015254"
MONDO:0001865	"MONDO:0017278"
MONDO:0001872	"HP:0010542"
MONDO:0001891	"MONDO:0006081"
MONDO:0001900	"MONDO:0019134"
MONDO:0001908	"MONDO:0018570"
MONDO:0001932
MONDO:0001934	"MONDO:0016620"
MONDO:0001937	"MONDO:0007893"
MONDO:0001946		"HP:0025132"
MONDO:0001948	"MONDO:0018992"
MONDO:0001958	"MONDO:0020380"
MONDO:0001960	"MONDO:0008758"
MONDO:0001961	"MONDO:0016372"
MONDO:0001963	"MONDO:0005559"
MONDO:0001968	"MONDO:0010765"
MONDO:0001970	"MONDO:0008223"
MONDO:0001980	"MONDO:0019148"
MONDO:0001981	"MONDO:0019149"
MONDO:0002001	"MONDO:0005070"
MONDO:0002003	"MONDO:0006879"
MONDO:0002005	"MONDO:0019797"
MONDO:0002007	"MONDO:0008642"
MONDO:0002011	"MONDO:0019623"
MONDO:0002015	"MONDO:0009242"
MONDO:0002016	"MONDO:0016027"
MONDO:0002018	"MONDO:0018998"
MONDO:0002019	"MONDO:0016535"
MONDO:0002020	"MONDO:0017194"
MONDO:0002023	"MONDO:0018408"
MONDO:0002024	"MONDO:0015766"
MONDO:0002053	"HP:0001325"
MONDO:0002054	"MONDO:0007254"
MONDO:0002059	"MONDO:0021097"
MONDO:0002063		"MONDO:0000620"
MONDO:0002079	"MONDO:0019496"
MONDO:0002080	"MONDO:0019306"
MONDO:0002084	"MONDO:0005462"
MONDO:0002091	"MONDO:0015474"
MONDO:0002094	"MONDO:0006173"
MONDO:0002097	"MONDO:0006325"
MONDO:0002111	"MONDO:0006362"
