cls	xref
MONDO:0015623	"Orphanet:165958"
MONDO:0015623	"SCTID:764811001"
MONDO:0015623	"GARD:20066"
MONDO:0018846	"GARD:4272"
MONDO:0018846	"SCTID:59981001"
MONDO:0018846	"NCIT:C99009"
MONDO:0018846	"MESH:C536649"
MONDO:0018846	"Orphanet:49"
MONDO:0013523	"Orphanet:280576"
MONDO:0013523	"GARD:11008"
MONDO:0013523	"UMLS:C3151446"
MONDO:0013523	"DOID:0081334"
MONDO:0013523	"OMIM:614008"
MONDO:0003516	"DOID:5565"
MONDO:0003516	"UMLS:C1368898"
MONDO:0003516	"NCIT:C9013"
MONDO:0005303	"DOID:9974"
MONDO:0005303	"ICD9:304.6"
MONDO:0005303	"EFO:0003890"
MONDO:0005303	"ICD9:304"
MONDO:0005303	"ICD9:304.60"
MONDO:0005303	"ICD9:304.90"
MONDO:0005303	"NCIT:C3894"
MONDO:0005303	"SCTID:191816009"
MONDO:0100073	"EFO:0008555"
MONDO:0019835	"ICD9:279.49"
MONDO:0019835	"GARD:19281"
MONDO:0019835	"SCTID:237706000"
MONDO:0019835	"ICD9:253.8"
MONDO:0019835	"NCIT:C132055"
MONDO:0019835	"Orphanet:95506"
MONDO:0019835	"MESH:D000069281"
MONDO:0015506	"GARD:20003"
MONDO:0015506	"Orphanet:156532"
MONDO:0009214	"DOID:0111083"
MONDO:0009214	"GARD:15169"
MONDO:0009214	"OMIM:227646"
MONDO:0009214	"NCIT:C125706"
MONDO:0009214	"UMLS:C3160738"
MONDO:0043919	"MESH:D017564"
MONDO:0043919	"SCTID:84004001"
MONDO:0011565	"SCTID:237602007"
MONDO:0011565	"ICD9:277.7"
MONDO:0011565	"DOID:14221"
MONDO:0011565	"OMIM:605552"
MONDO:0011565	"MESH:D024821"
MONDO:0011565	"UMLS:C4552048"
MONDO:0020556	"Orphanet:99934"
MONDO:0020556	"ICD9:162.9"
MONDO:0020556	"NCIT:C45627"
MONDO:0020556	"GARD:19716"
MONDO:0020556	"SCTID:707672001"
MONDO:0020556	"UMLS:C1710500"
MONDO:0002114	"UMLS:C1335307"
MONDO:0002114	"NCIT:C5714"
MONDO:0002114	"DOID:1792"
MONDO:0001558	"ICD10CM:Q60.6"
MONDO:0001558	"DOID:12594"
MONDO:0001558	"NANDO:2200157"
MONDO:0001558	"UMLS:C0178426"
MONDO:0001558	"NCIT:C40435"
MONDO:0001558	"SCTID:41962002"
MONDO:0008017	"GARD:5427"
MONDO:0008017	"MESH:C536476"
MONDO:0008017	"OMIM:158310"
MONDO:0008017	"ICD9:478.79"
MONDO:0008017	"SCTID:403442005"
MONDO:0008017	"Orphanet:1839"
