x	p	y
MONDO:0018583	RO:0002573	MONDO:0021136
MONDO:0005996	RO:0004029	MONDO:0001357
MONDO:0007628	RO:0004020	http://identifiers.org/hgnc/8620
MONDO:0010193	RO:0004020	http://identifiers.org/hgnc/3527
MONDO:0004126	RO:0004027	UBERON:0002046
MONDO:0020245	RO:0004029	MONDO:0005150
MONDO:0009087	http://purl.obolibrary.org/obo/mondo#disease_has_major_feature	HP:0000365
MONDO:0016205	RO:0002573	MONDO:0021136
MONDO:0100079	http://purl.obolibrary.org/obo/mondo#disease_shares_features_of	MONDO:0011794
MONDO:0000428	RO:0002573	HP:0001450
MONDO:0010346	RO:0004020	http://identifiers.org/hgnc/886
MONDO:0014738	RO:0004020	http://identifiers.org/hgnc/6343
MONDO:0021250	RO:0004026	UBERON:0002372
MONDO:0010828	RO:0004020	http://identifiers.org/hgnc/15446
MONDO:0009416	RO:0004020	http://identifiers.org/hgnc/392
MONDO:0014925	RO:0004020	http://identifiers.org/hgnc/14124
MONDO:0007363	RO:0004020	http://identifiers.org/hgnc/3604
MONDO:0010817	RO:0004020	http://identifiers.org/hgnc/6298
MONDO:0014758	RO:0004020	http://identifiers.org/hgnc/3498
MONDO:0008280	RO:0004029	MONDO:0006365
MONDO:0002727	RO:0004026	UBERON:0001579
MONDO:0008399	http://purl.obolibrary.org/obo/mondo#predisposes_towards	MONDO:0019338
MONDO:0014456	RO:0004020	http://identifiers.org/hgnc/26926
MONDO:0008076	RO:0004020	http://identifiers.org/hgnc/7323
MONDO:0044625	RO:0004020	http://identifiers.org/hgnc/16940
MONDO:0005191	RO:0004029	MONDO:0024883
MONDO:0011017	RO:0004020	http://identifiers.org/hgnc/6207
MONDO:0019722	RO:0004026	UBERON:0000074
MONDO:0012433	RO:0004020	http://identifiers.org/hgnc/29021
MONDO:0011227	RO:0004020	http://identifiers.org/hgnc/4612
MONDO:0000987	RO:0004026	UBERON:0004781
MONDO:0014752	RO:0004020	http://identifiers.org/hgnc/29914
MONDO:0008720	RO:0004021	GO:0051458
MONDO:0044992	RO:0004026	UBERON:0003729
MONDO:0020738	RO:0004020	http://identifiers.org/hgnc/20778
MONDO:0017118	http://purl.obolibrary.org/obo/mondo#disease_has_major_feature	HP:0001317
MONDO:0017418	RO:0002573	MONDO:0021136
MONDO:0016733	RO:0002573	MONDO:0024491
MONDO:0013326	RO:0004020	http://identifiers.org/hgnc/10671
MONDO:0009114	RO:0004020	http://identifiers.org/hgnc/10856
MONDO:0014494	http://purl.obolibrary.org/obo/mondo#predisposes_towards	MONDO:0005083
MONDO:0005310	RO:0004026	UBERON:0002081
MONDO:0005981	RO:0004029	HP:0003470
MONDO:0011370	RO:0004020	http://identifiers.org/hgnc/9454
MONDO:0014047	RO:0004020	http://identifiers.org/hgnc/8975
MONDO:0009035	RO:0004020	http://identifiers.org/hgnc/4274
MONDO:0012700	RO:0004020	http://identifiers.org/hgnc/11027
MONDO:0013464	RO:0004020	http://identifiers.org/hgnc/1404
MONDO:0005377	RO:0004029	HP:0000093
MONDO:0011031	RO:0004020	http://identifiers.org/hgnc/3522
MONDO:0020285	http://purl.obolibrary.org/obo/mondo#disease_has_major_feature	HP:0001710
MONDO:0005663	RO:0004022	MONDO:0037747
MONDO:0006079	RO:0004030	CL:0000059
MONDO:0020458	RO:0004021	GO:0004000
MONDO:0007744	RO:0004020	http://identifiers.org/hgnc/1869
MONDO:0012157	RO:0004020	http://identifiers.org/hgnc/4241
MONDO:0011706	RO:0004020	http://identifiers.org/hgnc/30213
MONDO:0001422	RO:0004021	GO:0035932
MONDO:0011913	RO:0004020	http://identifiers.org/hgnc/9508
MONDO:0004868	RO:0004026	UBERON:0001173
MONDO:0005952	RO:0004029	HP:0000988
MONDO:0013623	RO:0004020	http://identifiers.org/hgnc/14388
MONDO:0020712	RO:0004020	http://identifiers.org/hgnc/11311
MONDO:0012504	RO:0004020	http://identifiers.org/hgnc/3690
MONDO:0002419	RO:0002573	HP:0025153
MONDO:0005306	RO:0004027	UBERON:0001468
MONDO:0013536	RO:0004020	http://identifiers.org/hgnc/5013
MONDO:0012136	RO:0004020	http://identifiers.org/hgnc/2330
MONDO:0001601	RO:0004028	NCBITaxon:36330
MONDO:0001666	RO:0004026	UBERON:0003957
MONDO:0011888	RO:0004020	http://identifiers.org/hgnc/17967
MONDO:0021242	RO:0004026	UBERON:0001832
MONDO:0014041	RO:0004020	http://identifiers.org/hgnc/3287
MONDO:0015264	RO:0004029	HP:0100699
MONDO:0011622	http://purl.obolibrary.org/obo/mondo#predisposes_towards	MONDO:0008171
MONDO:0014135	RO:0004020	http://identifiers.org/hgnc/1527
MONDO:0016507	RO:0002573	MONDO:0021136
MONDO:0009181	RO:0004020	http://identifiers.org/hgnc/9069
MONDO:0007931	RO:0004020	http://identifiers.org/hgnc/12703
MONDO:0019496	RO:0004029	HP:0002027
MONDO:0011812	RO:0004020	http://identifiers.org/hgnc/15924
MONDO:0023579	RO:0004029	HP:0000608
MONDO:0005358	RO:0004029	HP:0001873
MONDO:0001621	RO:0004029	HP:0001433
MONDO:0013930	RO:0004020	http://identifiers.org/hgnc/8859
MONDO:0005605	RO:0004030	CL:1001428
MONDO:0014653	RO:0004020	http://identifiers.org/hgnc/20041
MONDO:0014374	RO:0004020	http://identifiers.org/hgnc/17966
MONDO:0014159	RO:0004020	http://identifiers.org/hgnc/11276
MONDO:0006877	RO:0004027	UBERON:0000992
MONDO:0010319	RO:0004020	http://identifiers.org/hgnc/18305
MONDO:0009719	RO:0004020	http://identifiers.org/hgnc/9388
MONDO:0002545	RO:0004026	UBERON:0002240
MONDO:0014322	RO:0004020	http://identifiers.org/hgnc/20193
MONDO:0015913	RO:0002573	MONDO:0021136
MONDO:0013110	RO:0004020	http://identifiers.org/hgnc/3791
MONDO:0015220	http://purl.obolibrary.org/obo/mondo#disease_has_major_feature	MONDO:0020022
MONDO:0004235	RO:0004029	HP:0002027
MONDO:0004988	RO:0004026	UBERON:0001911
MONDO:0019340	RO:0004029	HP:0100324
MONDO:0033280	RO:0004020	http://identifiers.org/hgnc/29300
MONDO:0007669	RO:0004020	http://identifiers.org/hgnc/11630
MONDO:0001714	RO:0004028	NCBITaxon:53436
MONDO:0010431	RO:0004020	http://identifiers.org/hgnc/2567
MONDO:0001551	RO:0004026	UBERON:0000997
MONDO:0005505	RO:0004029	MONDO:0100035
MONDO:0013821	RO:0004020	http://identifiers.org/hgnc/11100
MONDO:0011640	RO:0004020	http://identifiers.org/hgnc/17582
MONDO:0009662	RO:0004021	GO:0004566
MONDO:0013769	RO:0004020	http://identifiers.org/hgnc/4174
MONDO:0020860	RO:0004026	UBERON:0000341
MONDO:0016187	RO:0004020	PR:000006427
MONDO:0008436	RO:0004020	http://identifiers.org/hgnc/1839
MONDO:0011417	RO:0002573	MONDO:0021136
MONDO:0019114	RO:0002573	MONDO:0021136
MONDO:0008476	RO:0004029	HP:0003307
MONDO:0014113	RO:0004020	http://identifiers.org/hgnc/6840
MONDO:0006500	RO:0004030	CL:0000071
MONDO:0002251	RO:0004027	UBERON:0002107
MONDO:0002280	RO:0004021	GO:0034101
MONDO:0009215	RO:0004020	http://identifiers.org/hgnc/3582
MONDO:0007086	RO:0004020	http://identifiers.org/hgnc/2204
MONDO:0010735	RO:0004029	HP:0003560
MONDO:0044991	RO:0004026	UBERON:0004908
MONDO:0011878	RO:0004020	http://identifiers.org/hgnc/6697
MONDO:0023554	RO:0002573	MONDO:0021141
MONDO:0014112	RO:0004020	http://identifiers.org/hgnc/6407
MONDO:0015508	RO:0002573	MONDO:0021136
MONDO:0015007	RO:0004020	http://identifiers.org/hgnc/29508
MONDO:0044970	RO:0004020	GO:0005739
MONDO:0005009	RO:0004029	HP:0002094
MONDO:0017201	RO:0002573	MONDO:0021136
MONDO:0018753	http://purl.obolibrary.org/obo/mondo#disease_has_major_feature	HP:0002047
MONDO:0014711	RO:0004020	http://identifiers.org/hgnc/4816
MONDO:0021060	RO:0004021	GO:0007265
MONDO:0005542	RO:0004022	MONDO:0005010
MONDO:0005786	RO:0004028	NCBITaxon:10404
MONDO:0014385	RO:0004020	http://identifiers.org/hgnc/10978
MONDO:0013427	RO:0004020	http://identifiers.org/hgnc/11362
MONDO:0008685	RO:0004020	http://identifiers.org/hgnc/9386
MONDO:0016826	RO:0004029	HP:0002156
MONDO:0011690	http://purl.obolibrary.org/obo/mondo#disease_shares_features_of	MONDO:0007542
MONDO:0014453	RO:0004020	http://identifiers.org/hgnc/8979
MONDO:0005823	RO:0002573	MONDO:0021136
MONDO:0017941	RO:0004028	NCBITaxon:37124
MONDO:0012584	RO:0004020	http://identifiers.org/hgnc/2336
MONDO:0014646	RO:0004020	http://identifiers.org/hgnc/854
MONDO:0001223	RO:0004026	UBERON:0001132
MONDO:0011868	RO:0004020	http://identifiers.org/hgnc/3431
MONDO:0014542	RO:0004020	http://identifiers.org/hgnc/28287
MONDO:0014567	RO:0004020	http://identifiers.org/hgnc/18062
MONDO:0030708	RO:0004028	NCBITaxon:5722
MONDO:0012128	RO:0004020	http://identifiers.org/hgnc/22962
MONDO:0014777	RO:0004020	http://identifiers.org/hgnc/26582
MONDO:0017395	RO:0004029	HP:0010783
MONDO:0003070	RO:0004026	UBERON:0009472
MONDO:0018975	RO:0004020	http://identifiers.org/hgnc/7765
MONDO:0043549	RO:0004022	MONDO:0021178
MONDO:0000344	RO:0004028	NCBITaxon:11029
MONDO:0011582	RO:0004020	http://identifiers.org/hgnc/16287
MONDO:0009368	RO:0004020	http://identifiers.org/hgnc/18374
MONDO:0009550	RO:0004020	http://identifiers.org/hgnc/2037
MONDO:0014820	RO:0004020	http://identifiers.org/hgnc/8140
MONDO:0020642	RO:0004029	HP:0000113
MONDO:0014640	RO:0004020	http://identifiers.org/hgnc/11280
MONDO:0012060	RO:0004020	http://identifiers.org/hgnc/3473
MONDO:0010430	RO:0004020	http://identifiers.org/hgnc/13128
MONDO:0018602	RO:0002573	MONDO:0021136
MONDO:0001867	RO:0004028	NCBITaxon:66225
MONDO:0021190	RO:0004021	GO:0006281
MONDO:0012565	RO:0004020	http://identifiers.org/hgnc/26144
MONDO:0000345	RO:0002451	NCBITaxon:41820
MONDO:0001000	RO:0004028	ENVO:02000100
MONDO:0013453	RO:0004020	http://identifiers.org/hgnc/2343
MONDO:0002647	RO:0004027	UBERON:0001737
MONDO:0032792	RO:0004020	http://identifiers.org/hgnc/8819
MONDO:0011860	RO:0004020	http://identifiers.org/hgnc/8607
MONDO:0003004	RO:0004022	MONDO:0004580
MONDO:0014332	RO:0004020	http://identifiers.org/hgnc/1377
MONDO:0006244	RO:0004029	NCIT:C68748
MONDO:0020667	RO:0004020	http://identifiers.org/hgnc/3689
MONDO:0010475	RO:0004020	http://identifiers.org/hgnc/5948
MONDO:0017713	RO:0004021	GO:0019395
MONDO:0009703	RO:0004020	http://identifiers.org/hgnc/24671
MONDO:0007734	RO:0004020	http://identifiers.org/hgnc/11776
MONDO:0011946	RO:0004020	http://identifiers.org/hgnc/24154
MONDO:0010031	RO:0004020	http://identifiers.org/hgnc/403
MONDO:0020722	http://purl.obolibrary.org/obo/mondo#predisposes_towards	MONDO:0008171
MONDO:0016466	RO:0004028	ENVO:02000106
MONDO:0007068	RO:0004021	GO:0070626
MONDO:0009863	RO:0004020	http://identifiers.org/hgnc/9689
MONDO:0001367	RO:0002573	PATO:0001863
MONDO:0015196	RO:0004026	UBERON:0006666
MONDO:0014241	http://purl.obolibrary.org/obo/mondo#predisposes_towards	MONDO:0004967
MONDO:0012143	RO:0004020	http://identifiers.org/hgnc/11005
MONDO:0020547	RO:0002573	PATO:0001863
MONDO:0021076	RO:0004026	UBERON:0000017
MONDO:0019524	RO:0002573	HP:0003593
MONDO:0008380	RO:0004020	http://identifiers.org/hgnc/9884
MONDO:0013519	RO:0004020	http://identifiers.org/hgnc/14377
MONDO:0008259	RO:0004020	http://identifiers.org/hgnc/27310
MONDO:0013179	RO:0004020	http://identifiers.org/hgnc/17494
MONDO:0002909	RO:0004029	HP:0003074
