mondo_id	xref_id	source_id	source_medgen_id	mapping_predicate
MONDO:0006058	MEDGEN:10221		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001567	MEDGEN:10222		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002331	MEDGEN:10223		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001701	MEDGEN:102256		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005736	MEDGEN:102258		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0000927	MEDGEN:102259		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0042233	MEDGEN:102260		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0030705	MEDGEN:102261		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004631	MEDGEN:102262		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004667	MEDGEN:102263		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021320	MEDGEN:102264		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004624	MEDGEN:102265		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004733	MEDGEN:102267		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021325	MEDGEN:102268		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002087	MEDGEN:102270		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005966	MEDGEN:102271		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001763	MEDGEN:102272		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001994	MEDGEN:102273		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001407	MEDGEN:102274		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002158	MEDGEN:102276		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001325	MEDGEN:102277		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001654	MEDGEN:102278		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005836	MEDGEN:102279		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001379	MEDGEN:102280		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0008627	MEDGEN:102281		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0003802	MEDGEN:102282		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021311	MEDGEN:102283		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0003249	MEDGEN:102284		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021496	MEDGEN:102294		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021520	MEDGEN:102295		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021523	MEDGEN:102296		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021459	MEDGEN:102297		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021521	MEDGEN:102298		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0000975	MEDGEN:102299		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0003452	MEDGEN:1023		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002565	MEDGEN:10230		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0000644	MEDGEN:102300		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0000643	MEDGEN:102301		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021472	MEDGEN:102302		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001398	MEDGEN:102303		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006107	MEDGEN:102306		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021541	MEDGEN:102307		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004641	MEDGEN:102308		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004671	MEDGEN:102309		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0024316	MEDGEN:102310		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001301	MEDGEN:102311		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006940	MEDGEN:102317		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0010269	MEDGEN:102319		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005224	MEDGEN:10232		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004583	MEDGEN:102320		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001455	MEDGEN:102321		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0010564	MEDGEN:102324		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001217	MEDGEN:102325		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002314	MEDGEN:102326		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001582	MEDGEN:102327		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004804	MEDGEN:102328		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001048	MEDGEN:102330		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004895	MEDGEN:102331		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0014624	MEDGEN:102332		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004900	MEDGEN:102334		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0044001	MEDGEN:102336		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002815	MEDGEN:102339		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001261	MEDGEN:102340		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001369	MEDGEN:102342		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004784	MEDGEN:102343		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005865	MEDGEN:102344		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004640	MEDGEN:102345		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0022293	MEDGEN:102349		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002380	MEDGEN:10235		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006337	MEDGEN:102350		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004679	MEDGEN:102351		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0041526	MEDGEN:102352		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002074	MEDGEN:102354		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0011385	MEDGEN:102357		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0023483	MEDGEN:102358		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0007303	MEDGEN:102359		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0003061	MEDGEN:10236		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006866	MEDGEN:102360		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0000577	MEDGEN:102361		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001538	MEDGEN:102372		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006770	MEDGEN:102385		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0016107	MEDGEN:10239		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0009902	MEDGEN:102408		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0015200	MEDGEN:102418		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005181	MEDGEN:102439		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0018800	MEDGEN:102469		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0019293	MEDGEN:102473		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006525	MEDGEN:102474		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0019290	MEDGEN:102477		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0024249	MEDGEN:102482		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0008061	MEDGEN:10257		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002411	MEDGEN:10262		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0008532	MEDGEN:10268		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005870	MEDGEN:10277		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021351	MEDGEN:10279		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005070	MEDGEN:10294		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0043472	MEDGEN:103		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005334	MEDGEN:10305		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006835	MEDGEN:10307		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005377	MEDGEN:10308		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0019790	MEDGEN:10320		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0019056	MEDGEN:10323		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0016295	MEDGEN:10326		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005379	MEDGEN:10334		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005875	MEDGEN:10339		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001982	MEDGEN:10348		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004588	MEDGEN:10349		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0017124	MEDGEN:10366		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002436	MEDGEN:10385		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006875	MEDGEN:10423		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004390	MEDGEN:10424		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021192	MEDGEN:10426		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002017	MEDGEN:10435		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0015991	MEDGEN:104491		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0008394	MEDGEN:104492		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0007893	MEDGEN:104494		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0018947	MEDGEN:104495		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0009022	MEDGEN:104498		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0017194	MEDGEN:104499		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0007875	MEDGEN:104500		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0016450	MEDGEN:104501		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005884	MEDGEN:10453		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001476	MEDGEN:1046		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006176	MEDGEN:104694		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0003197	MEDGEN:104695		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0016699	MEDGEN:104717		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0040674	MEDGEN:10472		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0003359	MEDGEN:104725		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0019328	MEDGEN:104729		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006300	MEDGEN:104731		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0016722	MEDGEN:104745		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0017387	MEDGEN:104753		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0010808	MEDGEN:104768		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0044875	MEDGEN:104771		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0019159	MEDGEN:104788		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0000743	MEDGEN:104797		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0043982	MEDGEN:104813		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004241	MEDGEN:10489		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0019367	MEDGEN:104891		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005986	MEDGEN:104897		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0003409	MEDGEN:1049		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006074	MEDGEN:104901		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0013280	MEDGEN:104903		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006853	MEDGEN:104904		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002119	MEDGEN:104906		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021045	MEDGEN:104908		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002926	MEDGEN:104909		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0009993	MEDGEN:104910		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006975	MEDGEN:104911		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0010768	MEDGEN:104912		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002599	MEDGEN:104913		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0020552	MEDGEN:104914		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006738	MEDGEN:104915		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006639	MEDGEN:104917		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002120	MEDGEN:104919		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002614	MEDGEN:10492		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0020799	MEDGEN:104921		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0019134	MEDGEN:104924		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006773	MEDGEN:104925		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006055	MEDGEN:104926		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002675	MEDGEN:104927		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0016748	MEDGEN:104929		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005382	MEDGEN:10493		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006680	MEDGEN:104930		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0017178	MEDGEN:10494		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005516	MEDGEN:10495		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005246	MEDGEN:10497		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0008159	MEDGEN:10498		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0043735	MEDGEN:10500		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0009807	MEDGEN:10501		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002933	MEDGEN:10502		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004795	MEDGEN:10505		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005975	MEDGEN:10506		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005349	MEDGEN:10508		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0009369	MEDGEN:105327		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0018221	MEDGEN:105328		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0018939	MEDGEN:105341		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006179	MEDGEN:105345		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002480	MEDGEN:105374		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0023682	MEDGEN:105375		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0016729	MEDGEN:105377		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006905	MEDGEN:105378		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0019461	MEDGEN:105396		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0011861	MEDGEN:105400		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006789	MEDGEN:105401		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0020584	MEDGEN:105411		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0009230	MEDGEN:105414		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001319	MEDGEN:105417		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002236	MEDGEN:105418		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0851100	MEDGEN:105419		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021464	MEDGEN:105420		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0024757	MEDGEN:105422		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002320	MEDGEN:105425		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005313	MEDGEN:105440		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002450	MEDGEN:105447		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0019000	MEDGEN:105457		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0000332	MEDGEN:105459		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0015595	MEDGEN:10547		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0018145	MEDGEN:105478		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001207	MEDGEN:105483		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0008846	MEDGEN:105489		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0024674	MEDGEN:10553		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021218	MEDGEN:105551		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001024	MEDGEN:105580		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0018063	MEDGEN:10559		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006884	MEDGEN:10561		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002003	MEDGEN:10565		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002363	MEDGEN:10566		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005550	MEDGEN:1057		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0000448	MEDGEN:10571		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006592	MEDGEN:10579		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002045	MEDGEN:1058		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021360	MEDGEN:10586		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005180	MEDGEN:10590		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001945	MEDGEN:10591		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006966	MEDGEN:10592		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005899	MEDGEN:10593		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005901	MEDGEN:10598		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001794	MEDGEN:10616		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0008214	MEDGEN:10617		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004717	MEDGEN:10618		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0018746	MEDGEN:10619		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0019082	MEDGEN:10620		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0008219	MEDGEN:10621		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002036	MEDGEN:10627		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0008231	MEDGEN:10629		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006989	MEDGEN:10652		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001370	MEDGEN:10653		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006900	MEDGEN:10656		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002635	MEDGEN:10658		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0020592	MEDGEN:10691		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0019669	MEDGEN:107448		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0007677	MEDGEN:107456		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0007900	MEDGEN:107463		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0007047	MEDGEN:107467		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005710	MEDGEN:107468		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0800322	MEDGEN:107472		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005479	MEDGEN:107485		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0018500	MEDGEN:107487		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0700048	MEDGEN:107497		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0010627	MEDGEN:107498		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0016120	MEDGEN:107510		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002529	MEDGEN:107512		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006746	MEDGEN:107513		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0019368	MEDGEN:107519		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021337	MEDGEN:107535		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0010742	MEDGEN:107540		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0007108	MEDGEN:107559		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0013433	MEDGEN:107565		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0009868	MEDGEN:107772		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0007104	MEDGEN:107775		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0011552	MEDGEN:107776		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0020369	MEDGEN:107777		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0020561	MEDGEN:107784		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0007576	MEDGEN:107792		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005916	MEDGEN:10780		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0012865	MEDGEN:107807		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005917	MEDGEN:10781		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006883	MEDGEN:107810		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0015075	MEDGEN:107811		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0012817	MEDGEN:107816		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0008672	MEDGEN:107817		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0016038	MEDGEN:107818		MONDO:MEDGEN	MONDO:equivalentTo
