mondo_id	xref_id	source_id	source_medgen_id	mapping_predicate
ID	A oboInOwl:hasDbXref	>A oboInOwl:source	>A oboInOwl:source	>A oboInOwl:source
MONDO:0021129	MEDGEN:10033		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005854	MEDGEN:10069		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0009642	MEDGEN:10077		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005855	MEDGEN:10081		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002274	MEDGEN:10088		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002035	MEDGEN:101033		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0007147	MEDGEN:101045		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0009790	MEDGEN:101046		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006686	MEDGEN:101068		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005742	MEDGEN:101072		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005223	MEDGEN:101100		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0007284	MEDGEN:101117		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005395	MEDGEN:10113		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001671	MEDGEN:10116		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001600	MEDGEN:10117		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0000925	MEDGEN:101178		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0012727	MEDGEN:10118		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021231	MEDGEN:101180		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002640	MEDGEN:101181		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0015454	MEDGEN:10119		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0009693	MEDGEN:10122		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005301	MEDGEN:10123		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005336	MEDGEN:10135		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0044903	MEDGEN:10146		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0019147	MEDGEN:10148		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005068	MEDGEN:10150		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0100468	MEDGEN:10158		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0044784	MEDGEN:10160		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002884	MEDGEN:10171		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006031	MEDGEN:101751		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005003	MEDGEN:101753		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006029	MEDGEN:101762		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0003067	MEDGEN:101763		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006721	MEDGEN:101771		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021540	MEDGEN:101774		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0060690	MEDGEN:101775		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002897	MEDGEN:101776		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002128	MEDGEN:101790		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002321	MEDGEN:101791		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006610	MEDGEN:101793		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0024644	MEDGEN:101801		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006769	MEDGEN:101809		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001429	MEDGEN:101813		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0009451	MEDGEN:101814		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006916	MEDGEN:101815		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0009672	MEDGEN:101816		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0023757	MEDGEN:101817		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0000481	MEDGEN:101818		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006797	MEDGEN:101819		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0003417	MEDGEN:101820		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0003543	MEDGEN:101823		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001535	MEDGEN:101824		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001281	MEDGEN:101825		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004897	MEDGEN:101826		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004753	MEDGEN:101828		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001099	MEDGEN:101829		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0020327	MEDGEN:101830		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0018373	MEDGEN:10200		MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005566	MEDGEN:10207		MONDO:MEDGEN	MONDO:equivalentTo
