mondo_id	xref_id	source_medgen	source_mondo
ID	A oboInOwl:hasDbXref	>A oboInOwl:source	>A oboInOwl:source
MONDO:0006515	UMLS:C0001339	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0015129	UMLS:C0001403	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002512	UMLS:C0001420	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0000261	UMLS:C0001427	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006640	UMLS:C0001622	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021227	UMLS:C0001624	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0018479	UMLS:C0001627	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0009692	UMLS:C0001815	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002267	UMLS:C0001883	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0008753	UMLS:C0002066	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0017795	UMLS:C0002448	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006021	UMLS:C0002963	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0003143	UMLS:C0002985	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006717	UMLS:C0002991	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005160	UMLS:C0003486	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0015304	UMLS:C0003708	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0015168	UMLS:C0003886	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0007416	UMLS:C0004698	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0015231	UMLS:C0004775	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005084	UMLS:C0004936	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005672	UMLS:C0005716	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0000728	UMLS:C0005745	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0015265	UMLS:C0006272	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006687	UMLS:C0006430	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006688	UMLS:C0006542	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002108	UMLS:C0007115	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0020804	UMLS:C0007117	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004957	UMLS:C0007130	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002928	UMLS:C0007140	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005692	UMLS:C0007361	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0000437	UMLS:C0007758	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0000751	UMLS:C0007855	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001280	UMLS:C0008526	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005706	UMLS:C0009186	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005554	UMLS:C0009326	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0024331	UMLS:C0009402	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0007405	UMLS:C0010273	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0007404	UMLS:C0010314	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021020	UMLS:C0010324	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005011	UMLS:C0010346	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0015474	UMLS:C0010418	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0015484	UMLS:C0010678	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002050	UMLS:C0011581	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002378	UMLS:C0011649	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004922	UMLS:C0011757	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005015	UMLS:C0011849	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005148	UMLS:C0011860	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0043555	UMLS:C0011992	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005729	UMLS:C0012102	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0008564	UMLS:C0012236	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0017762	UMLS:C0012714	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001243	UMLS:C0012739	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006733	UMLS:C0013238	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0044843	UMLS:C0013423	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001754	UMLS:C0013537	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0009162	UMLS:C0013903	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0008145	UMLS:C0014084	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0016698	UMLS:C0014474	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005115	UMLS:C0014556	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0043264	UMLS:C0014557	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0019759	UMLS:C0014588	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002885	UMLS:C0014752	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0008698	UMLS:C0014848	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001409	UMLS:C0014868	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0000337	UMLS:C0015231	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005508	UMLS:C0015306	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0020586	UMLS:C0015499	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0100428	UMLS:C0015708	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0008274	UMLS:C0016065	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0018695	UMLS:C0016627	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0003523	UMLS:C0017150	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004966	UMLS:C0017152	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005769	UMLS:C0017409	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0015564	UMLS:C0017531	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001268	UMLS:C0017572	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0018177	UMLS:C0017636	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0100313	UMLS:C0017668	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0009290	UMLS:C0017921	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0009291	UMLS:C0017922	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0009292	UMLS:C0017923	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005393	UMLS:C0018099	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0000745	UMLS:C0018790	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005267	UMLS:C0018799	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005252	UMLS:C0018801	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004431	UMLS:C0018924	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005570	UMLS:C0018939	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0044348	UMLS:C0019045	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0010602	UMLS:C0019069	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0020501	UMLS:C0019099	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0018081	UMLS:C0019101	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0018087	UMLS:C0019104	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0001505	UMLS:C0019187	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0019623	UMLS:C0019243	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005367	UMLS:C0019337	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0015288	UMLS:C0019357	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0018309	UMLS:C0019569	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0018310	UMLS:C0019621	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0009348	UMLS:C0019829	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005802	UMLS:C0020413	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005439	UMLS:C0020445	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021187	UMLS:C0020473	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0018473	UMLS:C0020479	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0007761	UMLS:C0020480	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005271	UMLS:C0020517	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0006846	UMLS:C0020540	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005486	UMLS:C0020608	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021094	UMLS:C0021051	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0021124	UMLS:C0021361	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0002803	UMLS:C0021847	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0010302	UMLS:C0022283	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0000948	UMLS:C0022575	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0007864	UMLS:C0022739	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0019260	UMLS:C0022797	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005823	UMLS:C0023240	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005125	UMLS:C0023346	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0010298	UMLS:C0023374	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0004948	UMLS:C0023434	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0019458	UMLS:C0023437	MONDO:MEDGEN	MONDO:equivalentTo
MONDO:0005402	UMLS:C0023448	MONDO:MEDGEN	MONDO:equivalentTo
