id	Label	Entity Type	Parent	Analog	Taxon
ID	LABEL	CLASS_TYPE	C %	C 'cross-species analog' some %	C 'in taxon' some %
MONDO:101069	AA amyloidosis, pig	equivalent	non-human animal disease	MONDO:0019439	NCBITaxon:9913
