Mondo ID (this ID will be obsoleted) 	Label	Mondo ID (this will be the. new ID)	Label (this will be the new label)	SeeAlso	Comment	Obsoletion candidate subset	obsoletion date	Notes
ID				AI rdfs:seeAlso	A rdfs:comment	AI oboInOwl:inSubset	A IAO:0006012	
								
								
								
								
								
								
								
