?source	?entity	?property	?xrefs
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0003730>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:6004|DOID:12965"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0003924>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:656|DOID:0050891"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0004379>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:7843|DOID:0050671"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0004398>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:7922|DOID:6175"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0004612>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:2570|DOID:8580"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0004950>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:5517|DOID:10538"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0004992>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0050687|DOID:0050686|DOID:162"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0005008>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0050913|DOID:0050861"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0005076>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:9893|DOID:824"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0005165>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0060084|DOID:0060085|DOID:0060072"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0005184>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:3498|DOID:3587"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0005211>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0050933|DOID:5744"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0005380>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0080008|DOID:10159"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0005484>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0050914|DOID:0050860"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0005575>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:5672|DOID:9256"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0005689>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:9505|DOID:1849"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0006280>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:495|DOID:5766"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0006451>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:4554|DOID:3284"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0006558>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0040098|DOID:14482"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0006639>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:3948|DOID:3959|DOID:660"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0006676>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:13725|DOID:0070313"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0006733>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:12895|DOID:10140"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0006906>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:9898|DOID:2702"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0006962>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:4839|DOID:4840"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0007100>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0050761|DOID:0050638"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0007256>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:686|DOID:684"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0007959>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0060104|DOID:0050902"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0008346>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:10328|DOID:12118"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0008758>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:1442|DOID:0080122"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0008798>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0080082|DOID:0050643"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0009054>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0070141|DOID:0070136"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0009151>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0060773|DOID:0080400"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0009669>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0060160|DOID:13137"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0009833>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0080023|DOID:0060479"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0009856>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0080201|DOID:0070312"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0010060>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0050556|DOID:0080126"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0010407>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0060829|DOID:0060811"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0010524>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0050554|DOID:0060064"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0010542>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0110461|DOID:0060561"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0010626>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0060022|DOID:6620"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0010958>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0111701|DOID:0111700"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0011225>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0090012|DOID:0060006"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0013280>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:5709|DOID:5363"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0014076>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0070020|DOID:0070022"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0016011>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0050665|DOID:0050667"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0016575>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0050144|DOID:9562"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0016706>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:3773|DOID:3774"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0018216>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0050880|DOID:0070076"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0018301>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:13949|DOID:1678"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0018523>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:7235|DOID:7735"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0018555>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:7455|DOID:0090070"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0019004>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:5176|DOID:2154"
"DOID"	<http://purl.obolibrary.org/obo/MONDO_0019046>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"DOID:0060786|DOID:0050987|DOID:10579"
