?property	?ct_annotations
<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	104479
<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	66247
<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	30661
<http://www.w3.org/2000/01/rdf-schema#subClassOf>	17552
<http://purl.obolibrary.org/obo/IAO_0000115>	15443
<http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym>	2214
<http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym>	847
