?c	?n
<http://purl.obolibrary.org/obo/UBERON_0000000>	"processual entity"
<http://purl.obolibrary.org/obo/UBERON_3011045>	"obsolete gasserian ganglion"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"anatomical entity"
