?c	?n
<http://purl.obolibrary.org/obo/BFO_0000015>	"process"@en
<http://purl.obolibrary.org/obo/BFO_0000015>	"process"
<http://purl.obolibrary.org/obo/PATO_0000001>	"quality"
<http://purl.obolibrary.org/obo/CARO_0030000>	"biological entity"
<http://purl.obolibrary.org/obo/CHEBI_50906>	"role"
<http://purl.obolibrary.org/obo/BFO_0000040>	"material entity"@en
<http://purl.obolibrary.org/obo/BFO_0000040>	"material entity"
