?c	?n
<http://purl.obolibrary.org/obo/GO_0008150>	"biological_process"
<http://purl.obolibrary.org/obo/IAO_0000078>	"curation status specification"@en
<http://purl.obolibrary.org/obo/GO_0003674>	"molecular_function"
