?c	?n
<http://purl.obolibrary.org/obo/BFO_0000023>	"role"@en
<http://purl.obolibrary.org/obo/BFO_0000001>	"entity"@en
<http://purl.obolibrary.org/obo/CHEBI_50906>	"role"
