?c	?n
<http://purl.obolibrary.org/obo/NCIT_C43431>	"Activity"
<http://purl.obolibrary.org/obo/BFO_0000023>	"role"@en
<http://purl.obolibrary.org/obo/BFO_0000001>	"entity"@en
<http://purl.obolibrary.org/obo/BFO_0000001>	"entity"
<http://purl.obolibrary.org/obo/CHEBI_36080>	"protein"
<http://purl.obolibrary.org/obo/NCIT_C20181>	"Conceptual Entity"
<http://purl.obolibrary.org/obo/CHEBI_50906>	"role"
