?c	?n
<http://purl.obolibrary.org/obo/SO_0000400>	"sequence_attribute"
<http://purl.obolibrary.org/obo/SO_0001260>	"sequence_collection"
<http://purl.obolibrary.org/obo/SO_0000110>	"sequence_feature"
