source	source_version	source_language	translation_language	subject_id	predicate_id	source_value	translation_value	translator	translation_precision	translation_status	translator_expertise
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010522	rdfs:label	frontonasal dysplasia, cattle	前頭鼻異形成, ウシ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010536	rdfs:label	megacolon, horse	巨大結腸症, ウマ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010545	rdfs:label	cystic fibrosis, sheep	嚢胞性線維症, ヒツジ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010564	rdfs:label	congenital adrenal hyperplasia, rabbit	先天性副腎過形成, ウサギ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010588	rdfs:label	familial goiter, cattle	家族性甲状腺腫, ウシ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010589	rdfs:label	familial goiter, goat	家族性甲状腺腫, ヤギ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010602	rdfs:label	congenital hypothyroidism, dog	先天性甲状腺機能低下症, イヌ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010603	rdfs:label	congenital hypothyroidism, domestic cat	先天性甲状腺機能低下症, イエネコ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010614	rdfs:label	congenital adrenal hyperplasia due to 11-beta hydroxylase deficiency, domestic cat	11β-水酸化酵素欠損による先天性副腎過形成, イエネコ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010627	rdfs:label	Chediak-Higashi syndrome, American mink	チェディアック・東症候群, アメリカミンク	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010629	rdfs:label	Chediak-Higashi syndrome, domestic cat	チェディアック・東症候群, イエネコ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010631	rdfs:label	Chediak-Higashi syndrome, cattle	チェディアック・東症候群, ウシ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010632	rdfs:label	factor VII deficiency, dog	第VII因子欠乏症, イヌ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010633	rdfs:label	factor VII deficiency, Asiatic elephant	第VII因子欠乏症, アジアゾウ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010636	rdfs:label	factor XI deficiency, dog	第XI因子欠乏症, イヌ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010637	rdfs:label	factor XI deficiency, domestic cat	第XI因子欠乏症, イエネコ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010638	rdfs:label	factor XI deficiency, cattle	第XI因子欠乏症, ウシ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010640	rdfs:label	factor XII deficiency, domestic cat	第XII因子欠乏症, イエネコ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010643	rdfs:label	hemophilia B, dog	血友病B, イヌ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010644	rdfs:label	hemophilia B, domestic cat	血友病B, イエネコ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010653	rdfs:label	polycythemia, dog	赤血球増加症, イヌ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010657	rdfs:label	prekallikrein deficiency, dog	プレカリクレイン欠乏症, イヌ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010666	rdfs:label	Scott Syndrome, dog	Scott症候群, イヌ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010668	rdfs:label	factor XIII deficiency, cattle	第XIII因子欠乏症, ウシ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010669	rdfs:label	myeloperoxidase deficiency, dog	ミエロペルオキシダーゼ欠損症, イヌ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
