icd	icd_label	icd_parent	icd_parent_label	verdict	nearest_score	nearest_mondo	nearest_label	other_neighbours	synonyms
ICD10CM:Q06.1	Hypoplasia and dysplasia of spinal cord	ICD10CM:Q06	Other congenital malformations of spinal cord	NO-CLOSE-MATCH					Atelomyelia; Hypoplasia and dysplasia of spinal cord; Myelatelia; Myelodysplasia of spinal cord
ICD10CM:Q07.00	Arnold-Chiari syndrome without spina bifida or hydrocephalus	ICD10CM:Q07.0	Arnold-Chiari syndrome	NO-CLOSE-MATCH					Arnold-Chiari syndrome without spina bifida or hydrocephalus
ICD10CM:Q07.01	Arnold-Chiari syndrome with spina bifida	ICD10CM:Q07.0	Arnold-Chiari syndrome	NO-CLOSE-MATCH					Arnold-Chiari syndrome with spina bifida
ICD10CM:Q07.02	Arnold-Chiari syndrome with hydrocephalus	ICD10CM:Q07.0	Arnold-Chiari syndrome	NO-CLOSE-MATCH					Arnold-Chiari syndrome with hydrocephalus
ICD10CM:Q07.03	Arnold-Chiari syndrome with spina bifida and hydrocephalus	ICD10CM:Q07.0	Arnold-Chiari syndrome	NO-CLOSE-MATCH					Arnold-Chiari syndrome with spina bifida and hydrocephalus
ICD10CM:Q11.3	Macrophthalmos	ICD10CM:Q11	Anophthalmos, microphthalmos and macrophthalmos	NO-CLOSE-MATCH					Macrophthalmos
ICD10CM:Q16.2	Absence of eustachian tube	ICD10CM:Q16	Congenital malformations of ear causing impairment of hearing	NO-CLOSE-MATCH					Absence of eustachian tube
ICD10CM:Q17.0	Accessory auricle	ICD10CM:Q17	Other congenital malformations of ear	NO-CLOSE-MATCH					Accessory auricle; Accessory tragus; Polyotia; Preauricular appendage or tag
ICD10CM:Q17.4	Misplaced ear	ICD10CM:Q17	Other congenital malformations of ear	NO-CLOSE-MATCH					Low-set ears; Misplaced ear
ICD10CM:Q18.1	Preauricular sinus and cyst	ICD10CM:Q18	Other congenital malformations of face and neck	NO-CLOSE-MATCH					Cervicoaural fistula; Fistula of auricle, congenital; Preauricular sinus and cyst
ICD10CM:Q18.3	Webbing of neck	ICD10CM:Q18	Other congenital malformations of face and neck	NO-CLOSE-MATCH					Pterygium colli; Webbing of neck
ICD10CM:Q18.6	Macrocheilia	ICD10CM:Q18	Other congenital malformations of face and neck	NO-CLOSE-MATCH					Hypertrophy of lip, congenital; Macrocheilia
ICD10CM:Q18.7	Microcheilia	ICD10CM:Q18	Other congenital malformations of face and neck	NO-CLOSE-MATCH					Microcheilia
ICD10CM:Q21.14	Superior sinus venosus atrial septal defect	ICD10CM:Q21.1	Atrial septal defect	NO-CLOSE-MATCH					Superior sinus venosus atrial septal defect; Superior vena cava type atrial septal defect
ICD10CM:Q21.15	Inferior sinus venosus atrial septal defect	ICD10CM:Q21.1	Atrial septal defect	NO-CLOSE-MATCH					Inferior sinus venosus atrial septal defect; Inferior vena cava type atrial septal defect
ICD10CM:Q23.82	Congenital mitral valve cleft leaflet	ICD10CM:Q23.8	Other congenital malformations of aortic and mitral valves	NO-CLOSE-MATCH					Cleft mitral valve leaflet at birth; Congenital mitral valve cleft leaflet
ICD10CM:Q25.41	Absence and aplasia of aorta	ICD10CM:Q25.4	Other congenital malformations of aorta	NO-CLOSE-MATCH					Absence and aplasia of aorta
ICD10CM:Q25.42	Hypoplasia of aorta	ICD10CM:Q25.4	Other congenital malformations of aorta	NO-CLOSE-MATCH					Hypoplasia of aorta
ICD10CM:Q25.43	Congenital aneurysm of aorta	ICD10CM:Q25.4	Other congenital malformations of aorta	NO-CLOSE-MATCH					Congenital aneurysm of aorta; Congenital aneurysm of aortic root; Congenital aneurysm of aortic sinus
ICD10CM:Q25.44	Congenital dilation of aorta	ICD10CM:Q25.4	Other congenital malformations of aorta	NO-CLOSE-MATCH					Congenital dilation of aorta
ICD10CM:Q25.46	Tortuous aortic arch	ICD10CM:Q25.4	Other congenital malformations of aorta	NO-CLOSE-MATCH					Persistent convolutions of aortic arch; Tortuous aortic arch
ICD10CM:Q25.48	Anomalous origin of subclavian artery	ICD10CM:Q25.4	Other congenital malformations of aorta	NO-CLOSE-MATCH					Anomalous origin of subclavian artery
ICD10CM:Q25.71	Coarctation of pulmonary artery	ICD10CM:Q25.7	Other congenital malformations of pulmonary artery	NO-CLOSE-MATCH					Coarctation of pulmonary artery
ICD10CM:Q26.5	Anomalous portal venous connection	ICD10CM:Q26	Congenital malformations of great veins	NO-CLOSE-MATCH					Anomalous portal venous connection
ICD10CM:Q26.6	Portal vein-hepatic artery fistula	ICD10CM:Q26	Congenital malformations of great veins	NO-CLOSE-MATCH					Portal vein-hepatic artery fistula
ICD10CM:Q27.0	Congenital absence and hypoplasia of umbilical artery	ICD10CM:Q27	Other congenital malformations of peripheral vascular system	NO-CLOSE-MATCH					Congenital absence and hypoplasia of umbilical artery; Single umbilical artery
ICD10CM:Q27.31	Arteriovenous malformation of vessel of upper limb	ICD10CM:Q27.3	Arteriovenous malformation (peripheral)	NO-CLOSE-MATCH					Arteriovenous malformation of vessel of upper limb
ICD10CM:Q27.32	Arteriovenous malformation of vessel of lower limb	ICD10CM:Q27.3	Arteriovenous malformation (peripheral)	NO-CLOSE-MATCH					Arteriovenous malformation of vessel of lower limb
ICD10CM:Q27.33	Arteriovenous malformation of digestive system vessel	ICD10CM:Q27.3	Arteriovenous malformation (peripheral)	NO-CLOSE-MATCH					Arteriovenous malformation of digestive system vessel
ICD10CM:Q27.34	Arteriovenous malformation of renal vessel	ICD10CM:Q27.3	Arteriovenous malformation (peripheral)	NO-CLOSE-MATCH					Arteriovenous malformation of renal vessel
ICD10CM:Q28.0	Arteriovenous malformation of precerebral vessels	ICD10CM:Q28	Other congenital malformations of circulatory system	NO-CLOSE-MATCH					Arteriovenous malformation of precerebral vessels; Congenital arteriovenous precerebral aneurysm (nonruptured); congenital arteriovenous precerebral aneurysm
ICD10CM:Q32.3	Congenital stenosis of bronchus	ICD10CM:Q32	Congenital malformations of trachea and bronchus	NO-CLOSE-MATCH					Congenital stenosis of bronchus
ICD10CM:Q33.1	Accessory lobe of lung	ICD10CM:Q33	Congenital malformations of lung	NO-CLOSE-MATCH					Accessory lobe of lung; Azygos lobe (fissured), lung
ICD10CM:Q33.5	Ectopic tissue in lung	ICD10CM:Q33	Congenital malformations of lung	NO-CLOSE-MATCH					Ectopic tissue in lung
ICD10CM:Q34.1	Congenital cyst of mediastinum	ICD10CM:Q34	Other congenital malformations of respiratory system	NO-CLOSE-MATCH					Congenital cyst of mediastinum
ICD10CM:Q39.3	Congenital stenosis and stricture of esophagus	ICD10CM:Q39	Congenital malformations of esophagus	NO-CLOSE-MATCH					Congenital stenosis and stricture of esophagus
ICD10CM:Q43.6	Congenital fistula of rectum and anus	ICD10CM:Q43	Other congenital malformations of intestine	NO-CLOSE-MATCH					Congenital fistula of rectum and anus
ICD10CM:Q44.3	Congenital stenosis and stricture of bile ducts	ICD10CM:Q44	Congenital malformations of gallbladder, bile ducts and liver	NO-CLOSE-MATCH					Congenital stenosis and stricture of bile ducts
ICD10CM:Q50.0	Congenital absence of ovary	ICD10CM:Q50	Congenital malformations of ovaries, fallopian tubes and broad ligaments	NO-CLOSE-MATCH					Congenital absence of ovary
ICD10CM:Q50.1	Developmental ovarian cyst	ICD10CM:Q50	Congenital malformations of ovaries, fallopian tubes and broad ligaments	NO-CLOSE-MATCH					Developmental ovarian cyst
ICD10CM:Q50.2	Congenital torsion of ovary	ICD10CM:Q50	Congenital malformations of ovaries, fallopian tubes and broad ligaments	NO-CLOSE-MATCH					Congenital torsion of ovary
ICD10CM:Q50.31	Accessory ovary	ICD10CM:Q50.3	Other congenital malformations of ovary	NO-CLOSE-MATCH					Accessory ovary
ICD10CM:Q50.32	Ovarian streak	ICD10CM:Q50.3	Other congenital malformations of ovary	NO-CLOSE-MATCH					46, XX with streak gonads; Ovarian streak
ICD10CM:Q51.10	Doubling of uterus with doubling of cervix and vagina without obstruction	ICD10CM:Q51.1	Doubling of uterus with doubling of cervix and vagina	NO-CLOSE-MATCH					Doubling of uterus with doubling of cervix and vagina NOS; Doubling of uterus with doubling of cervix and vagina without obstruction
ICD10CM:Q51.11	Doubling of uterus with doubling of cervix and vagina with obstruction	ICD10CM:Q51.1	Doubling of uterus with doubling of cervix and vagina	NO-CLOSE-MATCH					Doubling of uterus with doubling of cervix and vagina with obstruction
ICD10CM:Q51.6	Embryonic cyst of cervix	ICD10CM:Q51	Congenital malformations of uterus and cervix	NO-CLOSE-MATCH					Embryonic cyst of cervix
ICD10CM:Q51.7	Congenital fistulae between uterus and digestive and urinary tracts	ICD10CM:Q51	Congenital malformations of uterus and cervix	NO-CLOSE-MATCH					Congenital fistulae between uterus and digestive and urinary tracts
ICD10CM:Q52.5	Fusion of labia	ICD10CM:Q52	Other congenital malformations of female genitalia	NO-CLOSE-MATCH					Fusion of labia
ICD10CM:Q52.71	Congenital absence of vulva	ICD10CM:Q52.7	Other and unspecified congenital malformations of vulva	NO-CLOSE-MATCH					Congenital absence of vulva
ICD10CM:Q53.02	Ectopic testes, bilateral	ICD10CM:Q53.0	Ectopic testis	NO-CLOSE-MATCH					Ectopic testes, bilateral
ICD10CM:Q53.11	Abdominal testis, unilateral	ICD10CM:Q53.1	Undescended testicle, unilateral	NO-CLOSE-MATCH					Abdominal testis, unilateral
ICD10CM:Q53.111	Unilateral intraabdominal testis	ICD10CM:Q53.11	Abdominal testis, unilateral	NO-CLOSE-MATCH					Unilateral intraabdominal testis
ICD10CM:Q53.112	Unilateral inguinal testis	ICD10CM:Q53.11	Abdominal testis, unilateral	NO-CLOSE-MATCH					Unilateral inguinal testis
ICD10CM:Q53.12	Ectopic perineal testis, unilateral	ICD10CM:Q53.1	Undescended testicle, unilateral	NO-CLOSE-MATCH					Ectopic perineal testis, unilateral
ICD10CM:Q53.13	Unilateral high scrotal testis	ICD10CM:Q53.1	Undescended testicle, unilateral	NO-CLOSE-MATCH					Unilateral high scrotal testis
ICD10CM:Q53.21	Abdominal testis, bilateral	ICD10CM:Q53.2	Undescended testicle, bilateral	NO-CLOSE-MATCH					Abdominal testis, bilateral
