icd	icd_label	mondo	mondo_label	tier	matched_icd_form	matched_mondo_form	mondo_form	proposed	review_flag
ICD10CM:Q21.12	Patent foramen ovale	MONDO:0020439	patent foramen ovale	A	Patent foramen ovale	patent foramen ovale	name	skos:exactMatch	
ICD10CM:Q21.21	Partial atrioventricular septal defect	MONDO:0020437	atrial septal defect, ostium primum type	A	Partial atrioventricular septal defect	partial atrioventricular septal defect	EXACT	skos:exactMatch	
ICD10CM:Q21.23	Complete atrioventricular septal defect	MONDO:0015273	complete atrioventricular canal	A	Complete atrioventricular septal defect	complete atrioventricular septal defect	EXACT	skos:exactMatch	
ICD10CM:Q44.71	Alagille syndrome	MONDO:0007318	Alagille syndrome	A	Alagille syndrome	Alagille syndrome	name	skos:exactMatch	
ICD10CM:Q51.21	Complete doubling of uterus	MONDO:0015840	complete septate uterus	A	Complete septate uterus	complete septate uterus	name	skos:exactMatch	
ICD10CM:Q51.22	Partial doubling of uterus	MONDO:0015841	partial septate uterus	A	Partial septate uterus	partial septate uterus	name	skos:exactMatch	
ICD10CM:Q85.81	PTEN hamartoma tumor syndrome	MONDO:0017623	PTEN hamartoma tumor syndrome	A	PTEN hamartoma tumor syndrome	PTEN hamartoma tumor syndrome	name	skos:exactMatch	
ICD10CM:Q85.83	Von Hippel-Lindau syndrome	MONDO:0008667	von Hippel-Lindau disease	A	Von Hippel-Lindau syndrome	Von Hippel-Lindau syndrome	EXACT	skos:exactMatch	
ICD10CM:Q87.83	Bardet-Biedl syndrome	MONDO:0015229	Bardet-Biedl syndrome	A	Bardet-Biedl syndrome	Bardet-Biedl syndrome	name	skos:exactMatch	
ICD10CM:Q87.84	Laurence-Moon syndrome	MONDO:0009514	Laurence-Moon syndrome	A	Laurence-Moon syndrome	Laurence-Moon syndrome	name	skos:exactMatch	
ICD10CM:Q87.85	MED13L syndrome	MONDO:0014773	cardiac anomalies - developmental delay - facial dysmorphism syndrome	A	MED13L syndrome	MED13L syndrome	EXACT	skos:exactMatch	
ICD10CM:Q87.86	Kleefstra syndrome	MONDO:0012455	Kleefstra syndrome	A	Kleefstra syndrome	Kleefstra syndrome	name	skos:exactMatch	
ICD10CM:Q93.52	Phelan-McDermid syndrome	MONDO:0011652	Phelan-McDermid syndrome	A	Phelan-McDermid syndrome	Phelan-McDermid syndrome	name	skos:exactMatch	
ICD10CM:Q64.31	Congenital bladder neck obstruction	MONDO:0006679	bladder neck obstruction	A	Congenital bladder neck obstruction	bladder neck obstruction	name	skos:exactMatch	Mondo term may include acquired
ICD10CM:Q64.6	Congenital diverticulum of bladder	MONDO:0007197	bladder diverticulum	A	Congenital diverticulum of bladder	diverticulum of bladder	EXACT	skos:exactMatch	Mondo term may include acquired
ICD10CM:Q64.71	Congenital prolapse of urethra	MONDO:0001514	prolapse of urethra	A	Congenital prolapse of urethra	prolapse of urethra	name	skos:exactMatch	Mondo term may include acquired
ICD10CM:Q65.82	Congenital coxa vara	MONDO:0007391	coxa vara	A	Congenital coxa vara	coxa vara	name	skos:exactMatch	Mondo term may include acquired
ICD10CM:Q76.2	Congenital spondylolisthesis	MONDO:0008475	spondylolisthesis	A	Congenital spondylolisthesis	spondylolisthesis	name	skos:exactMatch	Mondo term may include acquired
ICD10CM:Q37	Cleft palate with cleft lip	MONDO:0016044	cleft lip/palate	B	Cleft palate with cleft lip	cleft lip/palate	name	skos:exactMatch	tier B: lossy match, verify
ICD10CM:Q51.810	Arcuate uterus	MONDO:0015838	cordiform uterus	B	Arcuatus uterus	uterus arcuatus	EXACT	skos:exactMatch	tier B: lossy match, verify
ICD10CM:Q61.2	Polycystic kidney, adult type	MONDO:0004691	autosomal dominant polycystic kidney disease	B	Polycystic kidney, autosomal dominant	autosomal dominant polycystic kidney disease	name	skos:exactMatch	tier B: lossy match, verify
ICD10CM:Q79.62	Hypermobile Ehlers-Danlos syndrome	MONDO:0007523	Ehlers-Danlos syndrome, hypermobility type	B	Hypermobile Ehlers-Danlos syndrome	Ehlers-Danlos syndrome, hypermobile type	EXACT	skos:exactMatch	tier B: lossy match, verify
ICD10CM:Q79.63	Vascular Ehlers-Danlos syndrome	MONDO:0017314	Ehlers-Danlos syndrome, vascular type	B	Vascular Ehlers-Danlos syndrome	Ehlers-Danlos syndrome, vascular type	name	skos:exactMatch	tier B: lossy match, verify
ICD10CM:Q34.0	Anomaly of pleura	MONDO:0002037	pleural disorder	B	Anomaly of pleura	disease of pleura	EXACT	skos:broadMatch	generic Mondo parent
