icd	icd_label	bucket	mondo	mondo_label	predicate	cardinality	lexical	verdict	rationale	qualifier
ICD10CM:Q00-Q07	Congenital malformations of the nervous system (Q00-Q07)	BLOCK	MONDO:0020022	central nervous system malformation	equivalentTo	1	no	DEMOTE->broadMatch	ICD code is BLOCK; cannot be an exact equivalent	"{source=""https://github.com/monarch-initiative/mondo/issues/4536"", source=""MONDO:equivalentTo"", source=""https://orcid.org/0000-0001-5208-3432"", source=""https://orcid.org/0000-0002-4142-7153""}"
ICD10CM:Q00-Q99	Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)	BLOCK	MONDO:0021147	disorder of development or morphogenesis	equivalentTo	1	no	DEMOTE->broadMatch	ICD code is BLOCK; cannot be an exact equivalent	"{source=""https://github.com/monarch-initiative/mondo/issues/4536"", source=""MONDO:equivalentTo"", source=""https://orcid.org/0000-0001-5208-3432"", source=""https://orcid.org/0000-0002-4142-7153""}"
ICD10CM:Q13.4	Other congenital corneal malformations	RESIDUAL	MONDO:0000733	cornea plana	equivalentTo	1	no	DEMOTE->broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""DOID:0060287"", source=""MONDO:equivalentTo"", source=""Orphanet:53691""}"
ICD10CM:Q23	Congenital malformations of aortic and mitral valves	CONTAINER	MONDO:0019817	congenital mitral valve insufficiency and/or stenosis	equivalentTo	1	no	DEMOTE->broadMatch	ICD code is CONTAINER; cannot be an exact equivalent	"{source=""MONDO:equivalentTo""}"
ICD10CM:Q35-Q37	Cleft lip and cleft palate (Q35-Q37)	BLOCK	MONDO:0016044	cleft lip/palate	equivalentTo	1	no	DEMOTE->broadMatch	ICD code is BLOCK; cannot be an exact equivalent	"{source=""https://github.com/monarch-initiative/mondo/issues/4536"", source=""MONDO:equivalentTo"", source=""https://orcid.org/0000-0001-5208-3432"", source=""https://orcid.org/0000-0002-4142-7153""}"
ICD10CM:Q42.3	Congenital absence, atresia and stenosis of anus without fistula	CONTAINER	MONDO:0001046	imperforate anus	equivalentTo	1	no	DEMOTE->broadMatch	ICD code is CONTAINER; cannot be an exact equivalent	"{source=""DOID:10488"", source=""https://orcid.org/0009-0001-6494-4831"", source=""MONDO:equivalentTo"", source=""https://orcid.org/0000-0002-5002-8648""}"
ICD10CM:Q60-Q64	Congenital malformations of the urinary system (Q60-Q64)	BLOCK	MONDO:0019356	urogenital tract malformation	equivalentTo	1	no	DEMOTE->broadMatch	ICD code is BLOCK; cannot be an exact equivalent	"{source=""https://github.com/monarch-initiative/mondo/issues/4536"", source=""MONDO:equivalentTo"", source=""https://orcid.org/0000-0001-5208-3432"", source=""https://orcid.org/0000-0002-4142-7153""}"
ICD10CM:Q90-Q99	Chromosomal abnormalities, not elsewhere classified (Q90-Q99)	BLOCK	MONDO:0019040	chromosomal disorder	equivalentTo	1	no	DEMOTE->broadMatch	ICD code is BLOCK; cannot be an exact equivalent	"{source=""https://github.com/monarch-initiative/mondo/issues/4536"", source=""MONDO:equivalentTo"", source=""https://orcid.org/0000-0001-5208-3432"", source=""https://orcid.org/0000-0002-4142-7153""}"
ICD10CM:Q01.8	Encephalocele of other sites	DISEASE	MONDO:0016057	isolated encephalocele	orphanet-btnt	5	no	KEEP-as-broadMatch	5 Mondo terms share this code; Mondo is narrower	"{source=""Orphanet:199647/specific"", source=""Orphanet:199647/btnt"", source=""Orphanet:199647""}"
ICD10CM:Q01.8	Encephalocele of other sites	DISEASE	MONDO:0017078	cephalocele	provenance-only:orphanet	5	no	KEEP-as-broadMatch	5 Mondo terms share this code; Mondo is narrower	"{source=""Orphanet:268817""}"
ICD10CM:Q01.8	Encephalocele of other sites	DISEASE	MONDO:0017079	meningoencephalocele	provenance-only:orphanet	5	no	KEEP-as-broadMatch	5 Mondo terms share this code; Mondo is narrower	"{source=""Orphanet:268820/inclusion"", source=""Orphanet:268820""}"
ICD10CM:Q01.8	Encephalocele of other sites	DISEASE	MONDO:0017081	parietal encephalocele	provenance-only:orphanet	5	no	KEEP-as-broadMatch	5 Mondo terms share this code; Mondo is narrower	"{source=""Orphanet:268826""}"
ICD10CM:Q01.8	Encephalocele of other sites	DISEASE	MONDO:0017082	basal encephalocele	provenance-only:orphanet	5	no	KEEP-as-broadMatch	5 Mondo terms share this code; Mondo is narrower	"{source=""Orphanet:268829""}"
ICD10CM:Q01.9	Encephalocele, unspecified	RESIDUAL	MONDO:0016057	isolated encephalocele	orphanet-btnt	3	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:199647/specific"", source=""Orphanet:199647/btnt"", source=""Orphanet:199647""}"
ICD10CM:Q01.9	Encephalocele, unspecified	RESIDUAL	MONDO:0017078	cephalocele	provenance-only:orphanet	3	syn-match	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:268817""}"
ICD10CM:Q01.9	Encephalocele, unspecified	RESIDUAL	MONDO:0017079	meningoencephalocele	provenance-only:orphanet	3	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:268820/inclusion"", source=""Orphanet:268820""}"
ICD10CM:Q03.0	Malformations of aqueduct of Sylvius	DISEASE	MONDO:0010611	X-linked hydrocephalus with stenosis of the aqueduct of Sylvius	provenance-only:orphanet	2	no	KEEP-as-broadMatch	2 Mondo terms share this code; Mondo is narrower	"{source=""Orphanet:2182/inclusion"", source=""Orphanet:2182""}"
ICD10CM:Q03.0	Malformations of aqueduct of Sylvius	DISEASE	MONDO:0016349	congenital hydrocephalus	orphanet-btnt	2	no	KEEP-as-broadMatch	2 Mondo terms share this code; Mondo is narrower	"{source=""Orphanet:2185/specific"", source=""Orphanet:2185/btnt"", source=""Orphanet:2185""}"
ICD10CM:Q03.1	Atresia of foramina of Magendie and Luschka	DISEASE	MONDO:0007401	craniosynostosis-Dandy-Walker malformation-hydrocephalus syndrome	provenance-only:orphanet	7	no	KEEP-as-broadMatch	7 Mondo terms share this code; Mondo is narrower	"{source=""Orphanet:1538""}"
ICD10CM:Q03.1	Atresia of foramina of Magendie and Luschka	DISEASE	MONDO:0009072	Dandy-Walker syndrome	provenance-only:orphanet	7	no	KEEP-as-broadMatch	7 Mondo terms share this code; Mondo is narrower	"{source=""Orphanet:217/inclusion"", source=""DOID:2785"", source=""Orphanet:217""}"
ICD10CM:Q03.1	Atresia of foramina of Magendie and Luschka	DISEASE	MONDO:0016349	congenital hydrocephalus	orphanet-btnt	7	no	KEEP-as-broadMatch	7 Mondo terms share this code; Mondo is narrower	"{source=""Orphanet:2185/specific"", source=""Orphanet:2185/btnt"", source=""Orphanet:2185""}"
ICD10CM:Q03.1	Atresia of foramina of Magendie and Luschka	DISEASE	MONDO:0017110	isolated Dandy-Walker malformation with hydrocephalus	provenance-only:orphanet	7	no	KEEP-as-broadMatch	7 Mondo terms share this code; Mondo is narrower	"{source=""Orphanet:269212""}"
ICD10CM:Q03.1	Atresia of foramina of Magendie and Luschka	DISEASE	MONDO:0017111	isolated Dandy-Walker malformation without hydrocephalus	provenance-only:orphanet	7	no	KEEP-as-broadMatch	7 Mondo terms share this code; Mondo is narrower	"{source=""Orphanet:269215""}"
ICD10CM:Q03.1	Atresia of foramina of Magendie and Luschka	DISEASE	MONDO:0017117	congenital non-communicating hydrocephalus	orphanet-btnt	7	no	KEEP-as-broadMatch	7 Mondo terms share this code; Mondo is narrower	"{source=""Orphanet:269510"", source=""Orphanet:269510/btnt"", source=""Orphanet:269510/specific""}"
ICD10CM:Q03.1	Atresia of foramina of Magendie and Luschka	DISEASE	MONDO:0020351	Blake pouch cyst	provenance-only:orphanet	7	no	KEEP-as-broadMatch	7 Mondo terms share this code; Mondo is narrower	"{source=""Orphanet:98922""}"
ICD10CM:Q03.8	Other congenital hydrocephalus	RESIDUAL	MONDO:0016349	congenital hydrocephalus	orphanet-btnt	3	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:2185/specific"", source=""Orphanet:2185/btnt"", source=""Orphanet:2185""}"
ICD10CM:Q03.8	Other congenital hydrocephalus	RESIDUAL	MONDO:0017116	congenital communicating hydrocephalus	provenance-only:orphanet	3	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:269505""}"
ICD10CM:Q03.8	Other congenital hydrocephalus	RESIDUAL	MONDO:0017117	congenital non-communicating hydrocephalus	orphanet-btnt	3	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:269510"", source=""Orphanet:269510/btnt"", source=""Orphanet:269510/specific""}"
ICD10CM:Q03.9	Congenital hydrocephalus, unspecified	RESIDUAL	MONDO:0016349	congenital hydrocephalus	orphanet-btnt	1	match	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:2185/specific"", source=""Orphanet:2185/btnt"", source=""Orphanet:2185""}"
ICD10CM:Q04.0	Congenital malformations of corpus callosum	CONTAINER	MONDO:0008708	acrocallosal syndrome	provenance-only:orphanet	3	no	KEEP-as-broadMatch	ICD code is CONTAINER; cannot be an exact equivalent	"{source=""Orphanet:36""}"
ICD10CM:Q04.0	Congenital malformations of corpus callosum	CONTAINER	MONDO:0010568	Aicardi syndrome	provenance-only:orphanet	3	no	KEEP-as-broadMatch	ICD code is CONTAINER; cannot be an exact equivalent	"{source=""Orphanet:50""}"
ICD10CM:Q04.0	Congenital malformations of corpus callosum	CONTAINER	MONDO:0018725	corpus callosum agenesis-macrocephaly-hypertelorism syndrome	provenance-only:orphanet	3	no	KEEP-as-broadMatch	ICD code is CONTAINER; cannot be an exact equivalent	"{source=""Orphanet:459074""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0000087	polymicrogyria	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:35981/inclusion"", source=""Orphanet:35981""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:899""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0008811	XK aprosencephaly	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:3469""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0008939	isolated cerebellar hypoplasia/agenesis	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:1398""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0009042	craniotelencephalic dysplasia	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:1528""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0009166	pontocerebellar hypoplasia type 4	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:166063""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0009480	Joubert syndrome with oculorenal defect	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:2318""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0009532	Miller-Dieker lissencephaly syndrome	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""DOID:0060469"", source=""Orphanet:531/inclusion"", source=""Orphanet:531""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0009627	Galloway-Mowat syndrome	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:2065""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0009760	Norman-Roberts syndrome	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:89844"", source=""DOID:0060902""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0010176	orofaciodigital syndrome type 6	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:2754""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0010239	lissencephaly type 1 due to doublecortin gene mutation	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:2148""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0010268	X-linked lissencephaly with abnormal genitalia	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:452""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0010337	X-linked intellectual disability-cerebellar hypoplasia syndrome	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:137831""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0010417	syndromic X-linked intellectual disability Najm type	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:163937"", source=""DOID:0060807""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0010612	hydrocephaly-cerebellar agenesis syndrome	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:1397""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0011004	lissencephaly type 3-metacarpal bone dysplasia syndrome	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:86822""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0011062	aprosencephaly cerebellar dysgenesis	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:1126""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0011738	bilateral frontoparietal polymicrogyria	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:101070""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0011830	lissencephaly due to LIS1 mutation	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:95232""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0011948	pontocerebellar hypoplasia type 3	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:97249""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0012308	Joubert syndrome with renal defect	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:220497""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0012399	complex cortical dysplasia with other brain malformations 7	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:300573"", source=""DOID:0090132""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0012438	pontocerebellar hypoplasia type 5	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:166068""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0012462	autosomal recessive frontotemporal pachygyria	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:329329""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0012683	pontocerebellar hypoplasia type 6	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:166073""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0012703	lissencephaly due to TUBA1A mutation	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:171680""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0012986	bilateral parasagittal parieto-occipital polymicrogyria	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:208441""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0013351	infantile cerebral and cerebellar atrophy with postnatal progressive microcephaly	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:402364""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0013438	pontocerebellar hypoplasia type 2D	provenance-only:doid	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""DOID:0060270""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0013541	complex cortical dysplasia with other brain malformations 1	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""DOID:0090137"", source=""Orphanet:300570""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0013583	occipital pachygyria and polymicrogyria	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:280640""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0013907	bilateral generalized polymicrogyria	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:208447""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0013990	pontocerebellar hypoplasia type 8	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""DOID:0060277"", source=""Orphanet:324569""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0013993	pontocerebellar hypoplasia type 7	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""DOID:0060276"", source=""Orphanet:284339""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0014077	cobblestone lissencephaly without muscular or ocular involvement	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:352682""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0014349	pontocerebellar hypoplasia type 10	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:411493""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0014351	pontocerebellar hypoplasia type 9	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:369920"", source=""DOID:0060278""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0014688	short-rib thoracic dysplasia 14 with polydactyly	provenance-only:doid	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""DOID:0110096""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0015034	lissencephaly with cerebellar hypoplasia type A	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:100011""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0015035	lissencephaly with cerebellar hypoplasia type B	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:100012""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0015036	lissencephaly with cerebellar hypoplasia type C	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:100013""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0015037	lissencephaly with cerebellar hypoplasia type D	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:100014""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0015038	lissencephaly with cerebellar hypoplasia type E	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:100015""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0015039	lissencephaly with cerebellar hypoplasia type F	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:100016""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0015099	unilateral hemispheric polymicrogyria	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:101071""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0015146	classic lissencephaly	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:102009/inclusion"", source=""Orphanet:102009""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0015148	lissencephaly type 3	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:102011/inclusion"", source=""Orphanet:102011""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0015204	microlissencephaly	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:1083/inclusion"", source=""Orphanet:1083""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0015205	isolated lissencephaly type 1 without known genetic defects	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:1084""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0015745	microcephaly-polymicrogyria-corpus callosum agenesis syndrome	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:171703""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0016053	isolated cerebellar vermis hypoplasia	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:199630""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0016162	bilateral frontal polymicrogyria	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:208444""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0016344	hydranencephaly	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:2177"", source=""DOID:4626"", source=""Orphanet:2177/inclusion""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0016364	Joubert syndrome with ocular defect	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:220493""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0016392	cerebellar hypoplasia-tapetoretinal degeneration syndrome	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:2246""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0016396	pontocerebellar hypoplasia type 1	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:2254""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0016759	pontocerebellar hypoplasia type 2	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:2524""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0017091	bilateral polymicrogyria	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:268940""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0017092	unilateral polymicrogyria	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:268943""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0017093	unilateral focal polymicrogyria	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:268947""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0017107	isolated cerebellar vermis agenesis	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:269203""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0017108	isolated total cerebellar vermis agenesis	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:269206""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0017109	isolated partial cerebellar vermis agenesis	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:269209""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0017112	isolated unilateral hemispheric cerebellar hypoplasia	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:269218""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0017113	isolated bilateral hemispheric cerebellar hypoplasia	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:269221""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0018342	Joubert syndrome with Jeune asphyxiating thoracic dystrophy	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:397715""}"
ICD10CM:Q04.3	Other reduction deformities of brain	RESIDUAL	MONDO:0018430	partial corpus callosum agenesis-cerebellar vermis hypoplasia with posterior fossa cysts syndrome	provenance-only:orphanet	80	no	KEEP-as-broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""Orphanet:401959""}"
