icd	icd_label	depth	n_children	bucket	ambiguous_conjunction	n_existing_xrefs	existing_predicates	existing_mondo	match_tier	match_mondo	match_mondo_label	match_via	match_icd_form	n_match_cands	hp_hit
ICD10CM:Q00	Anencephaly and similar malformations	3	3	CONTAINER		0			-					0	
ICD10CM:Q00-Q07	Congenital malformations of the nervous system (Q00-Q07)	2	8	BLOCK		1	equivalentTo	MONDO:0020022	B	MONDO:0002320	congenital nervous system disorder	name	Congenital malformations of the nervous system (Q00-Q07)	2	
ICD10CM:Q00-Q99	Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)	1	11	BLOCK		1	equivalentTo	MONDO:0021147	-					0	
ICD10CM:Q00.0	Anencephaly	4	0	DISEASE		1	equivalentTo	MONDO:0000819	A	MONDO:0000819	anencephaly	name	Anencephaly	1	HP:0002323
ICD10CM:Q00.1	Craniorachischisis	4	0	DISEASE		1	equivalentTo	MONDO:0018969	A	MONDO:0018969	craniorachischisis	name	Craniorachischisis	1	HP:0030770
ICD10CM:Q00.2	Iniencephaly	4	0	DISEASE		1	equivalentTo	MONDO:0018968	A	MONDO:0018968	iniencephaly	name	Iniencephaly	1	HP:0034205
ICD10CM:Q01	Encephalocele	3	5	DISEASE		1	equivalentTo	MONDO:0017078	A	MONDO:0017078	encephalocele	EXACT	Encephalocele	1	HP:0002084
ICD10CM:Q01.0	Frontal encephalocele	4	0	DISEASE		1	equivalentTo	MONDO:0016020	A	MONDO:0016020	frontal encephalocele	name	Frontal encephalocele	1	HP:0007330
ICD10CM:Q01.1	Nasofrontal encephalocele	4	0	PHENOTYPE		4	orphanet-btnt;orphanet-specific;provenance-only:orphanet	MONDO:0015394;MONDO:0016057;MONDO:0017078;MONDO:0017079	-					0	HP:0011818
ICD10CM:Q01.2	Occipital encephalocele	4	0	DISEASE		1	equivalentTo	MONDO:0017080	A	MONDO:0017080	occipital encephalocele	name	Occipital encephalocele	1	HP:0002085
ICD10CM:Q01.8	Encephalocele of other sites	4	0	DISEASE		5	orphanet-btnt;provenance-only:orphanet	MONDO:0016057;MONDO:0017078;MONDO:0017079;MONDO:0017081;MONDO:0017082	-					0	
ICD10CM:Q01.9	Encephalocele, unspecified	4	0	RESIDUAL		3	orphanet-btnt;provenance-only:orphanet	MONDO:0016057;MONDO:0017078;MONDO:0017079	A	MONDO:0017078	encephalocele	EXACT	Encephalocele, unspecified	1	HP:0002084
ICD10CM:Q02	Microcephaly	3	0	DISEASE		1	equivalentTo	MONDO:0001149	A	MONDO:0001149	microcephaly	name	Microcephaly	1	HP:0000252;HP:0011451
ICD10CM:Q03	Congenital hydrocephalus	3	4	DISEASE		1	equivalentTo	MONDO:0016349	A	MONDO:0001150	hydrocephalus	name	Congenital hydrocephalus	2	HP:0000238
ICD10CM:Q03.0	Malformations of aqueduct of Sylvius	4	0	DISEASE		2	orphanet-btnt;provenance-only:orphanet	MONDO:0010611;MONDO:0016349	-					0	
ICD10CM:Q03.1	Atresia of foramina of Magendie and Luschka	4	0	DISEASE		7	orphanet-btnt;provenance-only:orphanet	MONDO:0007401;MONDO:0009072;MONDO:0016349;MONDO:0017110;MONDO:0017111	A	MONDO:0009072	Dandy-Walker syndrome	name	Dandy-Walker syndrome	1	
ICD10CM:Q03.8	Other congenital hydrocephalus	4	0	RESIDUAL		3	orphanet-btnt;provenance-only:orphanet	MONDO:0016349;MONDO:0017116;MONDO:0017117	B	MONDO:0001150	hydrocephalus	name	Other congenital hydrocephalus	2	
ICD10CM:Q03.9	Congenital hydrocephalus, unspecified	4	0	RESIDUAL		1	orphanet-btnt	MONDO:0016349	A	MONDO:0001150	hydrocephalus	name	Congenital hydrocephalus, unspecified	2	HP:0000238
ICD10CM:Q04	Other congenital malformations of brain	3	9	RESIDUAL		0			B	MONDO:0005560	brain disorder	name	Other congenital malformations of brain	1	
ICD10CM:Q04.0	Congenital malformations of corpus callosum	4	0	CONTAINER		4	narrowerThanSource;provenance-only:orphanet	MONDO:0008708;MONDO:0010568;MONDO:0018725	A	MONDO:0009022	agenesis of corpus callosum	EXACT	Agenesis of corpus callosum	1	
