icd	icd_label	bucket	hp_equivalent	currently_xreffed
ICD10CM:Q00-Q07	Congenital malformations of the nervous system (Q00-Q07)	BLOCK		YES
ICD10CM:Q00-Q99	Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)	BLOCK		YES
ICD10CM:Q10-Q18	Congenital malformations of eye, ear, face and neck (Q10-Q18)	BLOCK		YES
ICD10CM:Q20-Q28	Congenital malformations of the circulatory system (Q20-Q28)	BLOCK		YES
ICD10CM:Q30-Q34	Congenital malformations of the respiratory system (Q30-Q34)	BLOCK		YES
ICD10CM:Q35-Q37	Cleft lip and cleft palate (Q35-Q37)	BLOCK		YES
ICD10CM:Q38-Q45	Other congenital malformations of the digestive system (Q38-Q45)	BLOCK		YES
ICD10CM:Q50-Q56	Congenital malformations of genital organs (Q50-Q56)	BLOCK		YES
ICD10CM:Q60-Q64	Congenital malformations of the urinary system (Q60-Q64)	BLOCK		YES
ICD10CM:Q65-Q79	Congenital malformations and deformations of the musculoskeletal system (Q65-Q79)	BLOCK		YES
ICD10CM:Q80-Q89	Other congenital malformations (Q80-Q89)	BLOCK		YES
ICD10CM:Q90-Q99	Chromosomal abnormalities, not elsewhere classified (Q90-Q99)	BLOCK		YES
ICD10CM:Q00	Anencephaly and similar malformations	CONTAINER		
ICD10CM:Q04.0	Congenital malformations of corpus callosum	CONTAINER		YES
ICD10CM:Q10	Congenital malformations of eyelid, lacrimal apparatus and orbit	CONTAINER		
ICD10CM:Q10.7	Congenital malformation of orbit	CONTAINER		
ICD10CM:Q11	Anophthalmos, microphthalmos and macrophthalmos	CONTAINER		
ICD10CM:Q12	Congenital lens malformations	CONTAINER		
ICD10CM:Q13	Congenital malformations of anterior segment of eye	CONTAINER		
ICD10CM:Q14	Congenital malformations of posterior segment of eye	CONTAINER		
ICD10CM:Q14.0	Congenital malformation of vitreous humor	CONTAINER		YES
ICD10CM:Q14.1	Congenital malformation of retina	CONTAINER		YES
ICD10CM:Q14.2	Congenital malformation of optic disc	CONTAINER		YES
ICD10CM:Q14.3	Congenital malformation of choroid	CONTAINER		
ICD10CM:Q16	Congenital malformations of ear causing impairment of hearing	CONTAINER		
ICD10CM:Q16.1	Congenital absence, atresia and stricture of auditory canal (external)	CONTAINER		YES
ICD10CM:Q16.3	Congenital malformation of ear ossicles	CONTAINER		YES
ICD10CM:Q16.5	Congenital malformation of inner ear	CONTAINER		YES
ICD10CM:Q18.0	Sinus, fistula and cyst of branchial cleft	CONTAINER		YES
ICD10CM:Q20	Congenital malformations of cardiac chambers and connections	CONTAINER		
ICD10CM:Q21	Congenital malformations of cardiac septa	CONTAINER		YES
ICD10CM:Q22	Congenital malformations of pulmonary and tricuspid valves	CONTAINER		
ICD10CM:Q23	Congenital malformations of aortic and mitral valves	CONTAINER		YES
ICD10CM:Q25	Congenital malformations of great arteries	CONTAINER		
ICD10CM:Q26	Congenital malformations of great veins	CONTAINER		
ICD10CM:Q30	Congenital malformations of nose	CONTAINER		
ICD10CM:Q30.2	Fissured, notched and cleft nose	CONTAINER		YES
ICD10CM:Q31	Congenital malformations of larynx	CONTAINER		
ICD10CM:Q32	Congenital malformations of trachea and bronchus	CONTAINER		
ICD10CM:Q33	Congenital malformations of lung	CONTAINER		
ICD10CM:Q38.0	Congenital malformations of lips, not elsewhere classified	CONTAINER		YES
ICD10CM:Q38.4	Congenital malformations of salivary glands and ducts	CONTAINER		YES
ICD10CM:Q38.5	Congenital malformations of palate, not elsewhere classified	CONTAINER		
ICD10CM:Q39	Congenital malformations of esophagus	CONTAINER		
ICD10CM:Q41	Congenital absence, atresia and stenosis of small intestine	CONTAINER		
ICD10CM:Q41.0	Congenital absence, atresia and stenosis of duodenum	CONTAINER		YES
ICD10CM:Q41.1	Congenital absence, atresia and stenosis of jejunum	CONTAINER		YES
ICD10CM:Q41.2	Congenital absence, atresia and stenosis of ileum	CONTAINER		YES
ICD10CM:Q42	Congenital absence, atresia and stenosis of large intestine	CONTAINER		
ICD10CM:Q42.0	Congenital absence, atresia and stenosis of rectum with fistula	CONTAINER		YES
ICD10CM:Q42.1	Congenital absence, atresia and stenosis of rectum without fistula	CONTAINER		YES
ICD10CM:Q42.2	Congenital absence, atresia and stenosis of anus with fistula	CONTAINER		YES
ICD10CM:Q42.3	Congenital absence, atresia and stenosis of anus without fistula	CONTAINER		YES
ICD10CM:Q42.8	Congenital absence, atresia and stenosis of other parts of large intestine	CONTAINER		
ICD10CM:Q43.3	Congenital malformations of intestinal fixation	CONTAINER		YES
ICD10CM:Q44	Congenital malformations of gallbladder, bile ducts and liver	CONTAINER		
ICD10CM:Q44.0	Agenesis, aplasia and hypoplasia of gallbladder	CONTAINER		YES
ICD10CM:Q45.0	Agenesis, aplasia and hypoplasia of pancreas	CONTAINER		YES
ICD10CM:Q50	Congenital malformations of ovaries, fallopian tubes and broad ligaments	CONTAINER		
ICD10CM:Q51	Congenital malformations of uterus and cervix	CONTAINER		
ICD10CM:Q52.6	Congenital malformation of clitoris	CONTAINER		
ICD10CM:Q56.0	Hermaphroditism, not elsewhere classified	CONTAINER		YES
ICD10CM:Q56.1	Male pseudohermaphroditism, not elsewhere classified	CONTAINER	HP:0000037	YES
ICD10CM:Q56.2	Female pseudohermaphroditism, not elsewhere classified	CONTAINER	HP:0010458	YES
ICD10CM:Q63.1	Lobulated, fused and horseshoe kidney	CONTAINER		
ICD10CM:Q65	Congenital deformities of hip	CONTAINER		
ICD10CM:Q66	Congenital deformities of feet	CONTAINER		
ICD10CM:Q67	Congenital musculoskeletal deformities of head, face, spine and chest	CONTAINER		
ICD10CM:Q67.5	Congenital deformity of spine	CONTAINER		
ICD10CM:Q68.0	Congenital deformity of sternocleidomastoid muscle	CONTAINER		
ICD10CM:Q68.1	Congenital deformity of finger(s) and hand	CONTAINER		YES
ICD10CM:Q68.2	Congenital deformity of knee	CONTAINER		YES
ICD10CM:Q74.1	Congenital malformation of knee	CONTAINER		YES
ICD10CM:Q76	Congenital malformations of spine and bony thorax	CONTAINER		
ICD10CM:Q76.428	Congenital lordosis, sacral and sacrococcygeal region	CONTAINER		
ICD10CM:Q76.7	Congenital malformation of sternum	CONTAINER		YES
ICD10CM:Q79	Congenital malformations of musculoskeletal system, not elsewhere classified	CONTAINER		
ICD10CM:Q83	Congenital malformations of breast	CONTAINER		
ICD10CM:Q84.1	Congenital morphological disturbances of hair, not elsewhere classified	CONTAINER		YES
ICD10CM:Q85	Phakomatoses, not elsewhere classified	CONTAINER		
ICD10CM:Q86	Congenital malformation syndromes due to known exogenous causes, not elsewhere classified	CONTAINER		
ICD10CM:Q87.0	Congenital malformation syndromes predominantly affecting facial appearance	CONTAINER		YES
ICD10CM:Q87.1	Congenital malformation syndromes predominantly associated with short stature	CONTAINER		YES
ICD10CM:Q87.2	Congenital malformation syndromes predominantly involving limbs	CONTAINER		YES
ICD10CM:Q87.3	Congenital malformation syndromes involving early overgrowth	CONTAINER		YES
ICD10CM:Q89.0	Congenital absence and malformations of spleen	CONTAINER		YES
ICD10CM:Q89.09	Congenital malformations of spleen	CONTAINER		
