?prefix	?numberOfClasses
"ENVO"	14
"MESH"	7864
"ECTO"	19
"ONCOTREE"	556
"MFOEM"	1
"SO"	4
"MedDRA"	1
"NBO"	5
"MEDGEN"	2
"DC"	153
"PO"	1
"PR"	19
"DOID"	8992
"HP"	512
"SCTID"	9008
"OGMS"	1
"ICD10"	1112
"CL"	82
"NCBITaxon"	511
"ICD9"	1884
"Wikidata"	2
"GARD"	5826
"CHEBI"	39
"OBI"	1
"COHD"	1592
"MONDO"	23523
"NCIT"	6799
"http"	1
"KEGG"	37
"MF"	4
"OMIM"	8342
"UBERON"	698
"OMIMPS"	425
""	32483
"FOODON"	17
"GO"	367
"MFOMD"	6
"OBA"	1
"DO"	1
"PATO"	13
"UMLS"	1
