?cls	?replCls	?consCls
<http://purl.obolibrary.org/obo/DO_DOID%3A14457>	<http://purl.obolibrary.org/obo/MONDO_0025389>	
<http://purl.obolibrary.org/obo/MONDO_0000002>	"MONDO:0009299"	
<http://purl.obolibrary.org/obo/MONDO_0000003>		
<http://purl.obolibrary.org/obo/MONDO_0000006>		
<http://purl.obolibrary.org/obo/MONDO_0000007>		
<http://purl.obolibrary.org/obo/MONDO_0000008>		
<http://purl.obolibrary.org/obo/MONDO_0000010>	"MONDO:0008926"	
<http://purl.obolibrary.org/obo/MONDO_0000011>		
<http://purl.obolibrary.org/obo/MONDO_0000012>		
<http://purl.obolibrary.org/obo/MONDO_0000013>	"MONDO:0008982"	
<http://purl.obolibrary.org/obo/MONDO_0000016>	"MONDO:0005010"	
<http://purl.obolibrary.org/obo/MONDO_0000017>	"MONDO:0011791"	
<http://purl.obolibrary.org/obo/MONDO_0000018>	"MONDO:0016107"	
<http://purl.obolibrary.org/obo/MONDO_0000019>	"MONDO:0019287"	
<http://purl.obolibrary.org/obo/MONDO_0000020>	"MONDO:0017319"	
<http://purl.obolibrary.org/obo/MONDO_0000021>	"MONDO:0018770"	
<http://purl.obolibrary.org/obo/MONDO_0000025>	"MONDO:0018768"	
<http://purl.obolibrary.org/obo/MONDO_0000026>	"MONDO:0001083"	
<http://purl.obolibrary.org/obo/MONDO_0000027>		
<http://purl.obolibrary.org/obo/MONDO_0000028>	"MONDO:0013229"	
<http://purl.obolibrary.org/obo/MONDO_0000029>		
<http://purl.obolibrary.org/obo/MONDO_0000031>	"MONDO:0013209"	
<http://purl.obolibrary.org/obo/MONDO_0000033>	"MONDO:0016643"	
<http://purl.obolibrary.org/obo/MONDO_0000034>		
<http://purl.obolibrary.org/obo/MONDO_0000035>		
<http://purl.obolibrary.org/obo/MONDO_0000036>		
<http://purl.obolibrary.org/obo/MONDO_0000037>		
<http://purl.obolibrary.org/obo/MONDO_0000038>		
<http://purl.obolibrary.org/obo/MONDO_0000039>		
<http://purl.obolibrary.org/obo/MONDO_0000040>	"MONDO:0016543"	
<http://purl.obolibrary.org/obo/MONDO_0000041>	"MONDO:0016596"	
<http://purl.obolibrary.org/obo/MONDO_0000042>		
<http://purl.obolibrary.org/obo/MONDO_0000043>	"MONDO:0018100"	
<http://purl.obolibrary.org/obo/MONDO_0000046>		
<http://purl.obolibrary.org/obo/MONDO_0000047>	"MONDO:0003947"	
<http://purl.obolibrary.org/obo/MONDO_0000048>	"MONDO:0001341"	
<http://purl.obolibrary.org/obo/MONDO_0000051>		
<http://purl.obolibrary.org/obo/MONDO_0000052>		
<http://purl.obolibrary.org/obo/MONDO_0000053>		
<http://purl.obolibrary.org/obo/MONDO_0000054>		"MONDO:0020242"
<http://purl.obolibrary.org/obo/MONDO_0000055>	"MONDO:0004985"	
<http://purl.obolibrary.org/obo/MONDO_0000056>	"MONDO:0016584"	
<http://purl.obolibrary.org/obo/MONDO_0000057>		
<http://purl.obolibrary.org/obo/MONDO_0000058>		"MONDO:0024462"
<http://purl.obolibrary.org/obo/MONDO_0000059>	"MONDO:0016826"	
<http://purl.obolibrary.org/obo/MONDO_0000061>	"MONDO:0016660"	
<http://purl.obolibrary.org/obo/MONDO_0000063>	"MONDO:0020480"	
<http://purl.obolibrary.org/obo/MONDO_0000064>	"MONDO:0016073"	
<http://purl.obolibrary.org/obo/MONDO_0000067>	"MONDO:0018158"	
<http://purl.obolibrary.org/obo/MONDO_0000068>	"MONDO:0019248"	
<http://purl.obolibrary.org/obo/MONDO_0000069>	"MONDO:0017169"	
<http://purl.obolibrary.org/obo/MONDO_0000071>	"MONDO:0018943"	"OMIMPS:601419"
<http://purl.obolibrary.org/obo/MONDO_0000072>		
<http://purl.obolibrary.org/obo/MONDO_0000073>	"MONDO:0019284"	
<http://purl.obolibrary.org/obo/MONDO_0000074>	"MONDO:0018307"	
<http://purl.obolibrary.org/obo/MONDO_0000076>		"MONDO:0015364"
<http://purl.obolibrary.org/obo/MONDO_0000077>	"MONDO:0005712"	
<http://purl.obolibrary.org/obo/MONDO_0000080>	"MONDO:0010704"	
<http://purl.obolibrary.org/obo/MONDO_0000081>	"MONDO:0009299"	
<http://purl.obolibrary.org/obo/MONDO_0000083>	"MONDO:0018306"	
<http://purl.obolibrary.org/obo/MONDO_0000084>	"MONDO:0015999"	
<http://purl.obolibrary.org/obo/MONDO_0000085>		"OMIMPS:613038"
<http://purl.obolibrary.org/obo/MONDO_0000086>	"MONDO:0017425"	
<http://purl.obolibrary.org/obo/MONDO_0000089>	"MONDO:0005562"	
