defined_class	defined_class_label	infectious_disease	infectious_disease_label	vector	vector_label
http://purl.obolibrary.org/obo/MONDO_0020731	arbovirus infection	http://purl.obolibrary.org/obo/MONDO_0005108	viral infectious disease	http://purl.obolibrary.org/obo/NCBITaxon_6943	Amblyomma americanum
http://purl.obolibrary.org/obo/MONDO_0001620	louse-borne relapsing fever	http://purl.obolibrary.org/obo/MONDO_0019633	relapsing fever	http://purl.obolibrary.org/obo/NCBITaxon_121225	Pediculus humanus
http://purl.obolibrary.org/obo/MONDO_0020601	mosquito-borne viral encephalitis	http://purl.obolibrary.org/obo/MONDO_0006009	viral encephalitis	http://purl.obolibrary.org/obo/NCBITaxon_7157	Culicidae
http://purl.obolibrary.org/obo/MONDO_0006941	rat-bite fever	http://purl.obolibrary.org/obo/MONDO_0005113	bacterial infectious disease	http://purl.obolibrary.org/obo/NCBITaxon_10114	Rattus
http://purl.obolibrary.org/obo/MONDO_0001621	tick-borne relapsing fever	http://purl.obolibrary.org/obo/MONDO_0019633	relapsing fever	http://purl.obolibrary.org/obo/NCBITaxon_6944	Ixodes
