defined_class	defined_class_label	disease	disease_label	process	process_label
http://purl.obolibrary.org/obo/MONDO_0005937	REM sleep behavior disorder	http://purl.obolibrary.org/obo/MONDO_0003406	sleep-wake disorder	http://purl.obolibrary.org/obo/GO_0042747	circadian sleep/wake cycle, REM sleep
http://purl.obolibrary.org/obo/MONDO_0001531	blood coagulation disease	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/GO_0007596	blood coagulation
http://purl.obolibrary.org/obo/MONDO_0000833	bone remodeling disease	http://purl.obolibrary.org/obo/MONDO_0005381	bone disease	http://purl.obolibrary.org/obo/GO_0046849	bone remodeling
http://purl.obolibrary.org/obo/MONDO_0005557	calcium metabolic disease	http://purl.obolibrary.org/obo/MONDO_0005066	metabolic disease	http://purl.obolibrary.org/obo/GO_0055074	calcium ion homeostasis
http://purl.obolibrary.org/obo/MONDO_0045024	cancer or benign tumor	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/GO_0008283	cell population proliferation
http://purl.obolibrary.org/obo/MONDO_0020779	cartilage development disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/GO_0051216	cartilage development
http://purl.obolibrary.org/obo/MONDO_0019165	central precocious puberty	http://purl.obolibrary.org/obo/MONDO_0000088	precocious puberty	http://purl.obolibrary.org/obo/GO_0032274	gonadotropin secretion
http://purl.obolibrary.org/obo/MONDO_0002039	cognitive disorder	http://purl.obolibrary.org/obo/MONDO_0002025	psychiatric disorder	http://purl.obolibrary.org/obo/MF_0000008	cognitive process
http://purl.obolibrary.org/obo/MONDO_0002182	communication disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/NBO_0000612	
http://purl.obolibrary.org/obo/MONDO_0024630	defective phagocytic cell chemotaxis	http://purl.obolibrary.org/obo/MONDO_0024627	phagocytic cell dysfunction	http://purl.obolibrary.org/obo/GO_0006935	chemotaxis
http://purl.obolibrary.org/obo/MONDO_0024626	defective phagocytic cell engulfment	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/GO_0006911	phagocytosis, engulfment
http://purl.obolibrary.org/obo/MONDO_0024632	defective phagocytic cell opsonization	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/GO_0008228	opsonization
http://purl.obolibrary.org/obo/MONDO_0002562	demyelinating disease	http://purl.obolibrary.org/obo/MONDO_0005559	neurodegenerative disease	http://purl.obolibrary.org/obo/GO_0043217	myelin maintenance
http://purl.obolibrary.org/obo/MONDO_0044976	disease of catalytic activity	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/GO_0003824	catalytic activity
http://purl.obolibrary.org/obo/MONDO_0044977	disease of receptor activity	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/GO_0038023	signaling receptor activity
http://purl.obolibrary.org/obo/MONDO_0044980	disease of signal transduction	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/GO_0007165	signal transduction
http://purl.obolibrary.org/obo/MONDO_0044975	disease of transporter activity	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/GO_0005215	transporter activity
http://purl.obolibrary.org/obo/MONDO_0041261	disorder of acid-base balance	http://purl.obolibrary.org/obo/MONDO_0005066	metabolic disease	http://purl.obolibrary.org/obo/GO_0006885	regulation of pH
http://purl.obolibrary.org/obo/MONDO_0021147	disorder of development or morphogenesis	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/GO_0032502	developmental process
http://purl.obolibrary.org/obo/MONDO_0017352	disorder of glutamine metabolism	http://purl.obolibrary.org/obo/MONDO_0019189	inborn disorder of amino acid and other organic acid metabolism	http://purl.obolibrary.org/obo/GO_0006541	glutamine metabolic process
http://purl.obolibrary.org/obo/MONDO_0001185	dissociative amnesia	http://purl.obolibrary.org/obo/MONDO_0001160	dissociative disorder	http://purl.obolibrary.org/obo/GO_0007613	memory
http://purl.obolibrary.org/obo/MONDO_0018234	dysostosis	http://purl.obolibrary.org/obo/MONDO_0005497	bone development disease	http://purl.obolibrary.org/obo/GO_0001503	ossification
http://purl.obolibrary.org/obo/MONDO_0005362	erectile dysfunction	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/GO_0043084	penile erection
http://purl.obolibrary.org/obo/MONDO_0002908	glucose metabolism disease	http://purl.obolibrary.org/obo/MONDO_0005066	metabolic disease	http://purl.obolibrary.org/obo/GO_0006006	glucose metabolic process
http://purl.obolibrary.org/obo/MONDO_0021945	hearing disorder	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder	http://purl.obolibrary.org/obo/GO_0007605	sensory perception of sound
http://purl.obolibrary.org/obo/MONDO_0000992	heart conduction disease	http://purl.obolibrary.org/obo/MONDO_0005267	heart disease	http://purl.obolibrary.org/obo/GO_0061337	cardiac conduction
http://purl.obolibrary.org/obo/MONDO_0003947	hyper-IgM syndrome	http://purl.obolibrary.org/obo/MONDO_0003778	primary immunodeficiency disease	http://purl.obolibrary.org/obo/GO_0023035	CD40 signaling pathway
http://purl.obolibrary.org/obo/MONDO_0018042	immunodeficiency syndrome with abnormal pigmentation	http://purl.obolibrary.org/obo/MONDO_0021094	immunodeficiency disease	http://purl.obolibrary.org/obo/GO_0043473	pigmentation
http://purl.obolibrary.org/obo/MONDO_0019189	inborn disorder of amino acid and other organic acid metabolism	http://purl.obolibrary.org/obo/MONDO_0019052	inborn errors of metabolism	http://purl.obolibrary.org/obo/GO_0006082	organic acid metabolic process
