defined_class	defined_class_label	substance_dependence	substance_dependence_label	stimulus	stimulus_label
http://purl.obolibrary.org/obo/MONDO_0005186	cocaine dependence	http://purl.obolibrary.org/obo/MONDO_0005303	drug dependence	http://purl.obolibrary.org/obo/CHEBI_27958	cocaine
http://purl.obolibrary.org/obo/MONDO_0007079	alcohol dependence	http://purl.obolibrary.org/obo/MONDO_0004938	substance dependence	http://purl.obolibrary.org/obo/CHEBI_30879	alcohol
http://purl.obolibrary.org/obo/MONDO_0005303	drug dependence	http://purl.obolibrary.org/obo/MONDO_0004938	substance dependence	http://purl.obolibrary.org/obo/CHEBI_23888	drug


