defined_class	defined_class_label	stimulus	stimulus_label
http://purl.obolibrary.org/obo/MONDO_0003969	amphetamine abuse	http://purl.obolibrary.org/obo/CHEBI_2679	amphetamine
http://purl.obolibrary.org/obo/MONDO_0004599	barbiturate abuse	http://purl.obolibrary.org/obo/CHEBI_29745	barbiturate
http://purl.obolibrary.org/obo/MONDO_0004456	cocaine abuse	http://purl.obolibrary.org/obo/CHEBI_27958	cocaine
http://purl.obolibrary.org/obo/MONDO_0005912	phencyclidine abuse	http://purl.obolibrary.org/obo/CHEBI_8058	phencyclidine
