defined_class	defined_class_label	chromosome	chromosome_label
http://purl.obolibrary.org/obo/MONDO_0019891	monosomy 22	http://purl.obolibrary.org/obo/CHR_9606-chr22	chromosome 22 (Human)
http://purl.obolibrary.org/obo/MONDO_0020466	monosomy X	http://purl.obolibrary.org/obo/CHR_9606-chrX	chromosome X (Human)
http://purl.obolibrary.org/obo/MONDO_0700035	monosomy chromosome 8	http://purl.obolibrary.org/obo/CHR_9606-chr8	chromosome 8 (Human)
