defined_class	defined_class_label	v0	v0_label
http://purl.obolibrary.org/obo/MONDO_0000531	bronchus mucoepidermoid carcinoma	http://purl.obolibrary.org/obo/UBERON_0002185	bronchus
http://purl.obolibrary.org/obo/MONDO_0003091	cutaneous mucoepidermoid carcinoma	http://purl.obolibrary.org/obo/UBERON_0000014	zone of skin
http://purl.obolibrary.org/obo/MONDO_0003089	extrahepatic bile duct mucoepidermoid carcinoma	http://purl.obolibrary.org/obo/UBERON_0003703	extrahepatic bile duct
http://purl.obolibrary.org/obo/MONDO_0006213	floor of mouth mucoepidermoid carcinoma	http://purl.obolibrary.org/obo/UBERON_0003679	mouth floor
http://purl.obolibrary.org/obo/MONDO_0003092	lacrimal gland mucoepidermoid carcinoma	http://purl.obolibrary.org/obo/UBERON_0001817	lacrimal gland
http://purl.obolibrary.org/obo/MONDO_0003095	laryngeal mucoepidermoid carcinoma	http://purl.obolibrary.org/obo/UBERON_0001737	larynx
http://purl.obolibrary.org/obo/MONDO_0006286	major salivary gland mucoepidermoid carcinoma	http://purl.obolibrary.org/obo/UBERON_0001829	major salivary gland
http://purl.obolibrary.org/obo/MONDO_0003087	mucoepidermoid breast carcinoma	http://purl.obolibrary.org/obo/UBERON_0000310	breast
http://purl.obolibrary.org/obo/MONDO_0021280	mucoepidermoid carcinoma of parotid gland	http://purl.obolibrary.org/obo/UBERON_0001831	parotid gland
http://purl.obolibrary.org/obo/MONDO_0021279	mucoepidermoid carcinoma of submandibular gland	http://purl.obolibrary.org/obo/UBERON_0001736	submandibular gland
http://purl.obolibrary.org/obo/MONDO_0003093	mucoepidermoid esophageal carcinoma	http://purl.obolibrary.org/obo/UBERON_0001043	esophagus
http://purl.obolibrary.org/obo/MONDO_0044964	oral cavity mucoepidermoid carcinoma	http://purl.obolibrary.org/obo/UBERON_0000167	oral cavity
http://purl.obolibrary.org/obo/MONDO_0044956	paranasal sinus mucoepidermoid carcinoma	http://purl.obolibrary.org/obo/UBERON_0001825	paranasal sinus
http://purl.obolibrary.org/obo/MONDO_0005616	pulmonary mucoepidermoid carcinoma	http://purl.obolibrary.org/obo/UBERON_0002048	lung
http://purl.obolibrary.org/obo/MONDO_0021009	salivary gland mucoepidermoid carcinoma	http://purl.obolibrary.org/obo/UBERON_0001044	saliva-secreting gland
http://purl.obolibrary.org/obo/MONDO_0003086	thymic mucoepidermoid carcinoma	http://purl.obolibrary.org/obo/UBERON_0002370	thymus
http://purl.obolibrary.org/obo/MONDO_0006463	thyroid gland mucoepidermoid carcinoma	http://purl.obolibrary.org/obo/UBERON_0002046	thyroid gland
http://purl.obolibrary.org/obo/MONDO_0000534	trachea mucoepidermoid carcinoma	http://purl.obolibrary.org/obo/UBERON_0003126	trachea
