defined_class	defined_class_label	disease	disease_label
http://purl.obolibrary.org/obo/MONDO_0017263	inherited ichthyosis syndromic form	http://purl.obolibrary.org/obo/MONDO_0015947	inherited ichthyosis
http://purl.obolibrary.org/obo/MONDO_0016463	syndromic agammaglobulinemia	http://purl.obolibrary.org/obo/MONDO_0015977	agammaglobulinemia
http://purl.obolibrary.org/obo/MONDO_0002254	syndromic disease	http://purl.obolibrary.org/obo/MONDO_0700096	human disease or disorder
http://purl.obolibrary.org/obo/MONDO_0015905	syndromic dyslipidemia	http://purl.obolibrary.org/obo/MONDO_0002525	inherited lipid metabolism disorder
http://purl.obolibrary.org/obo/MONDO_0016565	syndromic genetic obesity	http://purl.obolibrary.org/obo/MONDO_0019182	inherited obesity
http://purl.obolibrary.org/obo/MONDO_0015778	syndromic hypothyroidism	http://purl.obolibrary.org/obo/MONDO_0005420	hypothyroidism
http://purl.obolibrary.org/obo/MONDO_0020240	syndromic retinitis pigmentosa	http://purl.obolibrary.org/obo/MONDO_0019200	retinitis pigmentosa
