defined_class	defined_class_label	structure	structure_label
http://purl.obolibrary.org/obo/MONDO_0015157	human herpesvirus 8-related tumor	http://purl.obolibrary.org/obo/MONDO_0005187	human herpesvirus 8 infection
http://purl.obolibrary.org/obo/MONDO_0017341	virus associated tumor	http://purl.obolibrary.org/obo/MONDO_0005108	viral infectious disease
