defined_class	defined_class_label	v0	v0_label
http://purl.obolibrary.org/obo/MONDO_0002997	anterior cranial fossa meningioma	http://purl.obolibrary.org/obo/UBERON_0003720	anterior cranial fossa
http://purl.obolibrary.org/obo/MONDO_0000642	brain meningioma	http://purl.obolibrary.org/obo/UBERON_0000955	brain
http://purl.obolibrary.org/obo/MONDO_0002996	cavernous sinus meningioma	http://purl.obolibrary.org/obo/UBERON_0003712	cavernous sinus
http://purl.obolibrary.org/obo/MONDO_0003860	cerebellopontine angle meningioma	http://purl.obolibrary.org/obo/UBERON_0014908	cerebellopontine angle
http://purl.obolibrary.org/obo/MONDO_0004422	cerebral falx meningioma	http://purl.obolibrary.org/obo/UBERON_0006059	falx cerebri
http://purl.obolibrary.org/obo/MONDO_0003772	cerebral meningioma	http://purl.obolibrary.org/obo/UBERON_0001893	telencephalon
http://purl.obolibrary.org/obo/MONDO_0003053	choroid plexus meningioma	http://purl.obolibrary.org/obo/UBERON_0001886	choroid plexus
http://purl.obolibrary.org/obo/MONDO_0003908	clivus meningioma	http://purl.obolibrary.org/obo/UBERON_0004108	clivus of occipital bone
http://purl.obolibrary.org/obo/MONDO_0004108	diaphragma sellae meningioma	http://purl.obolibrary.org/obo/UBERON_0035416	diaphragma sellae
http://purl.obolibrary.org/obo/MONDO_0003109	foramen magnum meningioma	http://purl.obolibrary.org/obo/UBERON_0003687	foramen magnum
http://purl.obolibrary.org/obo/MONDO_0004313	gasserian ganglion meningioma	http://purl.obolibrary.org/obo/UBERON_3011045	gasserian ganglion
http://purl.obolibrary.org/obo/MONDO_0003722	internal auditory canal meningioma	http://purl.obolibrary.org/obo/UBERON_0011859	internal acoustic meatus
http://purl.obolibrary.org/obo/MONDO_0002772	intraventricular meningioma	http://purl.obolibrary.org/obo/UBERON_0004086	brain ventricle
http://purl.obolibrary.org/obo/MONDO_0003771	jugular foramen meningioma	http://purl.obolibrary.org/obo/UBERON_0005456	jugular foramen
http://purl.obolibrary.org/obo/MONDO_0003775	lateral ventricle meningioma	http://purl.obolibrary.org/obo/UBERON_0002285	telencephalic ventricle
http://purl.obolibrary.org/obo/MONDO_0003638	lung meningioma	http://purl.obolibrary.org/obo/UBERON_0002048	lung
http://purl.obolibrary.org/obo/MONDO_0003121	middle cranial fossa meningioma	http://purl.obolibrary.org/obo/UBERON_0003722	middle cranial fossa
http://purl.obolibrary.org/obo/MONDO_0004446	olfactory groove meningioma	http://purl.obolibrary.org/obo/UBERON_0002772	olfactory sulcus
http://purl.obolibrary.org/obo/MONDO_0024648	optic tract meningioma	http://purl.obolibrary.org/obo/UBERON_0001908	optic tract
http://purl.obolibrary.org/obo/MONDO_0004440	pineal region meningioma	http://purl.obolibrary.org/obo/UBERON_0001905	pineal body
http://purl.obolibrary.org/obo/MONDO_0004447	pituitary stalk meningioma	http://purl.obolibrary.org/obo/UBERON_0002434	pituitary stalk
http://purl.obolibrary.org/obo/MONDO_0002919	posterior cranial fossa meningioma	http://purl.obolibrary.org/obo/UBERON_0008788	posterior cranial fossa
http://purl.obolibrary.org/obo/MONDO_0004429	skin meningioma	http://purl.obolibrary.org/obo/UBERON_0000014	zone of skin
http://purl.obolibrary.org/obo/MONDO_0002998	skull base meningioma	http://purl.obolibrary.org/obo/UBERON_0002517	basicranium
http://purl.obolibrary.org/obo/MONDO_0001275	spinal meningioma	http://purl.obolibrary.org/obo/UBERON_0002240	spinal cord
http://purl.obolibrary.org/obo/MONDO_0004312	suprasellar meningioma	http://purl.obolibrary.org/obo/UBERON_0003689	sella turcica
