defined_class	defined_class_label	location	location_label
http://purl.obolibrary.org/obo/MONDO_0003555	Bartholin gland adenosquamous carcinoma	http://purl.obolibrary.org/obo/UBERON_0000460	major vestibular gland
http://purl.obolibrary.org/obo/MONDO_0003549	adenosquamous bile duct carcinoma	http://purl.obolibrary.org/obo/UBERON_0002394	bile duct
http://purl.obolibrary.org/obo/MONDO_0003548	adenosquamous breast carcinoma	http://purl.obolibrary.org/obo/UBERON_0000310	breast
http://purl.obolibrary.org/obo/MONDO_0003554	adenosquamous colon carcinoma	http://purl.obolibrary.org/obo/UBERON_0001155	colon
http://purl.obolibrary.org/obo/MONDO_0004973	adenosquamous lung carcinoma	http://purl.obolibrary.org/obo/UBERON_0002048	lung
http://purl.obolibrary.org/obo/MONDO_0003558	adenosquamous prostate carcinoma	http://purl.obolibrary.org/obo/UBERON_0002367	prostate gland
http://purl.obolibrary.org/obo/MONDO_0003553	ampulla of vater adenosquamous carcinoma	http://purl.obolibrary.org/obo/UBERON_0004913	hepatopancreatic ampulla
http://purl.obolibrary.org/obo/MONDO_0006157	colorectal adenosquamous carcinoma	http://purl.obolibrary.org/obo/UBERON_0012652	colorectum
http://purl.obolibrary.org/obo/MONDO_0003556	endometrial adenosquamous carcinoma	http://purl.obolibrary.org/obo/UBERON_0001295	endometrium
http://purl.obolibrary.org/obo/MONDO_0003550	esophageal adenosquamous carcinoma	http://purl.obolibrary.org/obo/UBERON_0001043	esophagus
http://purl.obolibrary.org/obo/MONDO_0006202	extrahepatic bile duct adenosquamous carcinoma	http://purl.obolibrary.org/obo/UBERON_0003703	extrahepatic bile duct
http://purl.obolibrary.org/obo/MONDO_0006217	gallbladder adenosquamous carcinoma	http://purl.obolibrary.org/obo/UBERON_0002110	gall bladder
http://purl.obolibrary.org/obo/MONDO_0006034	gastric adenosquamous carcinoma	http://purl.obolibrary.org/obo/UBERON_0000945	stomach
http://purl.obolibrary.org/obo/MONDO_0100132	intrahepatic bile duct adenosquamous carcinoma	http://purl.obolibrary.org/obo/UBERON_0003704	intrahepatic bile duct
http://purl.obolibrary.org/obo/MONDO_0056815	liver adenosquamous carcinoma	http://purl.obolibrary.org/obo/UBERON_0002107	liver
http://purl.obolibrary.org/obo/MONDO_0005614	pancreatic adenosquamous carcinoma	http://purl.obolibrary.org/obo/UBERON_0001264	pancreas
http://purl.obolibrary.org/obo/MONDO_0056817	rectal adenosquamous carcinoma	http://purl.obolibrary.org/obo/UBERON_0001052	rectum
http://purl.obolibrary.org/obo/MONDO_0006401	salivary gland adenosquamous carcinoma	http://purl.obolibrary.org/obo/UBERON_0001044	saliva-secreting gland
http://purl.obolibrary.org/obo/MONDO_0056818	skin adenosquamous carcinoma	http://purl.obolibrary.org/obo/UBERON_0000014	zone of skin
http://purl.obolibrary.org/obo/MONDO_0003551	thymic adenosquamous carcinoma	http://purl.obolibrary.org/obo/UBERON_0002370	thymus
