defined_class	defined_class_label	disease	disease_label
http://purl.obolibrary.org/obo/MONDO_0005579	epilepsy, idiopathic generalized	http://purl.obolibrary.org/obo/MONDO_0005027	epilepsy
http://purl.obolibrary.org/obo/MONDO_0015344	idiopathic acute transverse myelitis	http://purl.obolibrary.org/obo/MONDO_0015342	acute transverse myelitis
http://purl.obolibrary.org/obo/MONDO_0100054	idiopathic anaphylaxis	http://purl.obolibrary.org/obo/MONDO_0100053	anaphylaxis
http://purl.obolibrary.org/obo/MONDO_0017256	idiopathic anterior uveitis	http://purl.obolibrary.org/obo/MONDO_0006651	anterior uveitis
http://purl.obolibrary.org/obo/MONDO_0005110	idiopathic cardiomyopathy	http://purl.obolibrary.org/obo/MONDO_0004994	cardiomyopathy
http://purl.obolibrary.org/obo/MONDO_0015713	idiopathic central precocious puberty	http://purl.obolibrary.org/obo/MONDO_0019165	central precocious puberty
http://purl.obolibrary.org/obo/MONDO_0001182	idiopathic corneal edema	http://purl.obolibrary.org/obo/MONDO_0006712	corneal edema
http://purl.obolibrary.org/obo/MONDO_0700007	idiopathic disease	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder
http://purl.obolibrary.org/obo/MONDO_0011895	idiopathic hypereosinophilic syndrome	http://purl.obolibrary.org/obo/MONDO_0015691	hypereosinophilic syndrome
http://purl.obolibrary.org/obo/MONDO_0018044	idiopathic hypersomnia	http://purl.obolibrary.org/obo/MONDO_0005466	hypersomnia
http://purl.obolibrary.org/obo/MONDO_0019554	idiopathic localized lipodystrophy	http://purl.obolibrary.org/obo/MONDO_0019194	localized lipodystrophy
http://purl.obolibrary.org/obo/MONDO_0100051	idiopathic mast cell activation syndrome	http://purl.obolibrary.org/obo/MONDO_0100004	mast cell activation syndrome
http://purl.obolibrary.org/obo/MONDO_0018170	idiopathic nephrotic syndrome	http://purl.obolibrary.org/obo/MONDO_0005377	nephrotic syndrome
http://purl.obolibrary.org/obo/MONDO_0017258	idiopathic panuveitis	http://purl.obolibrary.org/obo/MONDO_0017255	panuveitis
http://purl.obolibrary.org/obo/MONDO_0000726	idiopathic scoliosis	http://purl.obolibrary.org/obo/MONDO_0005392	scoliosis
http://purl.obolibrary.org/obo/MONDO_0020510	idiopathic syringomyelia	http://purl.obolibrary.org/obo/MONDO_0020508	primary syringomyelia
http://purl.obolibrary.org/obo/MONDO_0044211	idiopathic urticaria	http://purl.obolibrary.org/obo/MONDO_0005492	urticaria
