iri	iri label	process	process label
MONDO:0019214	carbohydrate metabolic disorder	GO:0005975	carbohydrate metabolic process
MONDO:0019218	disorder of bile acid synthesis	GO:0006699	bile acid biosynthetic process
MONDO:0019242	disorder of branched-chain amino acid metabolism	GO:0009081	branched-chain amino acid metabolic process
MONDO:0019243	disorder of energy metabolism	GO:0006091	generation of precursor metabolites and energy
MONDO:0019224	disorder of gamma-aminobutyric acid metabolism	GO:0009448	gamma-aminobutyric acid metabolic process
MONDO:0019228	disorder of histidine metabolism	GO:0006547	histidine metabolic process
MONDO:0019236	disorder of purine metabolism	GO:0006144	purine nucleobase metabolic process
MONDO:0019237	disorder of pyridoxine metabolism	GO:0008614	pyridoxine metabolic process
MONDO:0019238	disorder of pyrimidine metabolism	GO:0006206	pyrimidine nucleobase metabolic process
MONDO:0021130	disorder of sphingolipid biosynthesis	GO:0030148	sphingolipid biosynthetic process
MONDO:0019225	gluconeogenesis disorder	GO:0006094	gluconeogenesis
MONDO:0019226	glucose transport disorder	GO:0015758	glucose transport
MONDO:0019245	lipid storage disorder	GO:0019915	lipid storage
MONDO:0018121	mitochondrial DNA maintenance syndrome	GO:0000002	mitochondrial genome maintenance
MONDO:0016789	pyruvate metabolism disorder	GO:0006090	pyruvate metabolic process
MONDO:0019240	sterol biosynthesis disorder	GO:0016126	sterol biosynthetic process
MONDO:0019256	sterol metabolism disorder	GO:0016125	sterol metabolic process
MONDO:0016790	tricarboxylic acid cycle disorder	GO:0006099	tricarboxylic acid cycle
MONDO:0000155	triglyceride storage disease	GO:0030730	sequestering of triglyceride
