iri,iri label,disease,disease label
MONDO:0004784,allergic asthma,MONDO:0004979,asthma
MONDO:0006525,allergic contact dermatitis,MONDO:0005480,contact dermatitis
MONDO:0005271,allergic disease,MONDO:0005046,immune system disease
MONDO:0000771,allergic respiratory disease,MONDO:0005087,respiratory system disease
MONDO:0011786,allergic rhinitis,MONDO:0003014,rhinitis
MONDO:0006526,allergic urticaria,MONDO:0005492,urticaria
MONDO:0005642,atopic conjunctivitis,MONDO:0003799,conjunctivitis (disease)
MONDO:0004980,atopic eczema,MONDO:0002406,dermatitis
