iri	iri label	disease	disease label
MONDO:0018557	rare genetic autonomic nervous system disorder	MONDO:0001292	autonomic nervous system disease
MONDO:0015958	rare genetic bone disease	MONDO:0005381	bone disease
MONDO:0020029	rare genetic cardiac disease	MONDO:0005267	heart disease
MONDO:0015967	rare genetic diabetes mellitus	MONDO:0005015	diabetes mellitus (disease)
MONDO:0018331	rare genetic dystonia	MONDO:0003441	dystonia (disease)
MONDO:0015513	rare genetic endocrine disease	MONDO:0005151	endocrine system disease
MONDO:0015955	rare genetic epilepsy	MONDO:0005027	epilepsy
MONDO:0015107	rare genetic eye disease	MONDO:0005328	eye disease
MONDO:0015507	rare genetic hepatic disease	MONDO:0005154	liver disease
MONDO:0015984	rare genetic immune disease	MONDO:0005046	immune system disease
MONDO:0015982	rare genetic intellectual disability	MONDO:0001071	intellectual disability
MONDO:0018404	rare genetic male infertility	MONDO:0005372	male infertility
MONDO:0015957	rare genetic movement disorder	MONDO:0005395	movement disorder
MONDO:0019117	rare genetic neurological disorder	MONDO:0005071	nervous system disease
MONDO:0020030	rare genetic renal disease	MONDO:0002118	urinary system disease
MONDO:0015510	rare genetic respiratory disease	MONDO:0005087	respiratory system disease
MONDO:0019043	rare genetic skin disease	MONDO:0005093	skin disease
MONDO:0015983	rare genetic syndromic intellectual disability	MONDO:0000508	syndromic intellectual disability
MONDO:0015969	rare genetic thyroid disease	MONDO:0003240	thyroid gland disease
MONDO:0016517	rare genetic vascular disease	MONDO:0005385	vascular disease
MONDO:0019052	rare inborn errors of metabolism	MONDO:0005066	metabolic disease
