iri,iri label,process,process label
MONDO:0017740,disorder of protein N-glycosylation,GO:0006487,protein N-linked glycosylation
MONDO:0017741,disorder of protein O-glycosylation,GO:0006493,protein O-linked glycosylation
MONDO:0002145,sex differentiation disease,GO:0007548,sex differentiation
