iri,iri label,disease,disease label
http://purl.obolibrary.org/obo/MONDO_0000428,Y-linked disease,http://purl.obolibrary.org/obo/MONDO_0000001,disease or disorder
http://purl.obolibrary.org/obo/MONDO_0010761,retinitis pigmentosa Y-linked,http://purl.obolibrary.org/obo/MONDO_0019200,retinitis pigmentosa
