# curie_map:
#   BFO: http://purl.obolibrary.org/obo/BFO_
#   CSP: http://purl.obolibrary.org/obo/mondo/mappings/unknown_prefix/CSP/
#   DECIPHER: http://purl.obolibrary.org/obo/mondo/mappings/unknown_prefix/DECIPHER/
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   GARD: https://rarediseases.info.nih.gov/diseases/
#   GTR: http://purl.obolibrary.org/obo/mondo/mappings/unknown_prefix/GTR/
#   HGNC: http://identifiers.org/hgnc/
#   HP: http://purl.obolibrary.org/obo/HP_
#   ICD10CM: http://purl.bioontology.org/ontology/ICD10CM/
#   ICD10WHO: https://icd.who.int/browse10/2019/en#/
#   ICD9: http://purl.obolibrary.org/obo/mondo/mappings/unknown_prefix/ICD9/
#   ICD9CM: http://purl.obolibrary.org/obo/mondo/mappings/unknown_prefix/ICD9CM/
#   ICDO: http://purl.obolibrary.org/obo/mondo/mappings/unknown_prefix/ICDO/
#   IDO: http://purl.obolibrary.org/obo/IDO_
#   MEDGEN: http://identifiers.org/medgen/
#   MFOMD: http://purl.obolibrary.org/obo/MFOMD_
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   MPATH: http://purl.obolibrary.org/obo/MPATH_
#   MTH: http://purl.obolibrary.org/obo/mondo/mappings/unknown_prefix/MTH/
#   MedDRA: http://identifiers.org/meddra/
#   NANDO: 'https://identifiers.org/NANDO:'
#   NCIT: http://purl.obolibrary.org/obo/NCIT_
#   NDFRT: http://purl.obolibrary.org/obo/mondo/mappings/unknown_prefix/NDFRT/
#   NORD: 'https://bioregistry.io/nord:'
#   OBI: http://purl.obolibrary.org/obo/OBI_
#   OGMS: http://purl.obolibrary.org/obo/OGMS_
#   OMIA: http://purl.obolibrary.org/obo/mondo/mappings/unknown_prefix/OMIA/
#   OMIM: https://omim.org/entry/
#   OMIMPS: https://omim.org/phenotypicSeries/PS
#   OMO: http://purl.obolibrary.org/obo/OMO_
#   ONCOTREE: http://purl.obolibrary.org/obo/mondo/mappings/unknown_prefix/ONCOTREE/
#   Orphanet: http://www.orpha.net/ORDO/Orphanet_
#   PMID: http://purl.obolibrary.org/obo/mondo/mappings/unknown_prefix/PMID/
#   RO: http://purl.obolibrary.org/obo/RO_
#   SCDO: http://purl.obolibrary.org/obo/SCDO_
#   SCTID: http://snomed.info/id/
#   UMLS: http://linkedlifedata.com/resource/umls/id/
#   Wikipedia: http://purl.obolibrary.org/obo/mondo/mappings/unknown_prefix/Wikipedia/
#   birnlex: http://uri.neuinfo.org/nif/nifstd/birnlex_
#   icd11.foundation: http://id.who.int/icd/entity/
#   mesh: http://identifiers.org/mesh/
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: http://purl.obolibrary.org/obo/mondo/mappings/mondo.sssom.tsv
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification
MONDO:0000001	disease	skos:exactMatch	DOID:4	disease	semapv:UnspecifiedMatching
MONDO:0000001	disease	skos:exactMatch	MEDGEN:4347		semapv:UnspecifiedMatching
MONDO:0000001	disease	skos:exactMatch	NCIT:C2991	Disease or Disorder	semapv:UnspecifiedMatching
MONDO:0000001	disease	skos:exactMatch	Orphanet:377788	disease	semapv:UnspecifiedMatching
MONDO:0000001	disease	skos:exactMatch	SCTID:64572001		semapv:UnspecifiedMatching
MONDO:0000001	disease	skos:exactMatch	UMLS:C0012634		semapv:UnspecifiedMatching
MONDO:0000001	disease	skos:exactMatch	mesh:D004194		semapv:UnspecifiedMatching
MONDO:0000004	adrenocortical insufficiency	skos:exactMatch	DOID:10493	adrenal cortical hypofunction	semapv:UnspecifiedMatching
MONDO:0000004	adrenocortical insufficiency	skos:exactMatch	EFO:0009491		semapv:UnspecifiedMatching
MONDO:0000004	adrenocortical insufficiency	skos:exactMatch	MEDGEN:589758		semapv:UnspecifiedMatching
MONDO:0000004	adrenocortical insufficiency	skos:exactMatch	NCIT:C26691	Adrenocortical Insufficiency	semapv:UnspecifiedMatching
MONDO:0000004	adrenocortical insufficiency	skos:exactMatch	SCTID:386584007		semapv:UnspecifiedMatching
MONDO:0000004	adrenocortical insufficiency	skos:exactMatch	UMLS:C0405580		semapv:UnspecifiedMatching
MONDO:0000004	adrenocortical insufficiency	skos:exactMatch	icd11.foundation:733056203	Adrenocortical insufficiency	semapv:UnspecifiedMatching
MONDO:0000004	adrenocortical insufficiency	skos:exactMatch	mesh:D000309		semapv:UnspecifiedMatching
MONDO:0000005	alopecia, isolated	skos:exactMatch	OMIMPS:203655	Alopecia, isolated	semapv:UnspecifiedMatching
MONDO:0000009	inherited bleeding disorder, platelet-type	skos:exactMatch	DOID:2218	blood platelet disease	semapv:UnspecifiedMatching
MONDO:0000009	inherited bleeding disorder, platelet-type	skos:exactMatch	MEDGEN:610		semapv:UnspecifiedMatching
MONDO:0000009	inherited bleeding disorder, platelet-type	skos:exactMatch	OMIMPS:231200	Bleeding disorder, platelet-type	semapv:UnspecifiedMatching
MONDO:0000009	inherited bleeding disorder, platelet-type	skos:exactMatch	UMLS:C0005818		semapv:UnspecifiedMatching
MONDO:0000015	classic complement early component deficiency	skos:exactMatch	MEDGEN:226929		semapv:UnspecifiedMatching
MONDO:0000015	classic complement early component deficiency	skos:exactMatch	SCTID:363009005		semapv:UnspecifiedMatching
MONDO:0000015	classic complement early component deficiency	skos:exactMatch	UMLS:C1285186		semapv:UnspecifiedMatching
MONDO:0000022	nocturnal enuresis	skos:exactMatch	MEDGEN:124355		semapv:UnspecifiedMatching
MONDO:0000022	nocturnal enuresis	skos:exactMatch	NCIT:C118172	Nocturnal Enuresis	semapv:UnspecifiedMatching
MONDO:0000022	nocturnal enuresis	skos:exactMatch	UMLS:C0270327		semapv:UnspecifiedMatching
MONDO:0000022	nocturnal enuresis	skos:exactMatch	icd11.foundation:1048673005	Nocturnal enuresis	semapv:UnspecifiedMatching
MONDO:0000022	nocturnal enuresis	skos:exactMatch	mesh:D053206		semapv:UnspecifiedMatching
MONDO:0000023	infantile liver failure	skos:exactMatch	DOID:0080716	infantile liver failure syndrome	semapv:UnspecifiedMatching
MONDO:0000023	infantile liver failure	skos:exactMatch	MEDGEN:1813021		semapv:UnspecifiedMatching
MONDO:0000023	infantile liver failure	skos:exactMatch	OMIMPS:615438	Infantile liver failure syndrome	semapv:UnspecifiedMatching
MONDO:0000023	infantile liver failure	skos:exactMatch	Orphanet:464724	Fever-associated acute infantile liver failure syndrome	semapv:UnspecifiedMatching
MONDO:0000023	infantile liver failure	skos:exactMatch	UMLS:C5681094		semapv:UnspecifiedMatching
MONDO:0000030	familial sleep-related hypermotor epilepsy	skos:exactMatch	DOID:0060681	autosomal dominant nocturnal frontal lobe epilepsy	semapv:UnspecifiedMatching
MONDO:0000030	familial sleep-related hypermotor epilepsy	skos:exactMatch	MEDGEN:777188		semapv:UnspecifiedMatching
MONDO:0000030	familial sleep-related hypermotor epilepsy	skos:exactMatch	OMIMPS:600513	Epilepsy, nocturnal frontal lobe	semapv:UnspecifiedMatching
MONDO:0000030	familial sleep-related hypermotor epilepsy	skos:exactMatch	Orphanet:98784	Sleep-related hypermotor epilepsy	semapv:UnspecifiedMatching
MONDO:0000030	familial sleep-related hypermotor epilepsy	skos:exactMatch	SCTID:698021005		semapv:UnspecifiedMatching
MONDO:0000030	familial sleep-related hypermotor epilepsy	skos:exactMatch	UMLS:C3696898		semapv:UnspecifiedMatching
MONDO:0000030	familial sleep-related hypermotor epilepsy	skos:exactMatch	icd11.foundation:1004734747	Autosomal dominant nocturnal frontal lobe epilepsy	semapv:UnspecifiedMatching
MONDO:0000030	familial sleep-related hypermotor epilepsy	skos:exactMatch	mesh:C579932		semapv:UnspecifiedMatching
MONDO:0000032	febrile seizures, familial	skos:exactMatch	DOID:0111297	familial febrile seizures	semapv:UnspecifiedMatching
