#curie_map:
#  HP: http://purl.obolibrary.org/obo/HP_
#  NCIT: http://purl.obolibrary.org/obo/NCIT_
#  oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#mapping_date: '2021-05-21'
subject_id	predicate_id	object_id	match_type
HP:0007378	oboInOwl:hasDbXref	NCIT:C3262	HumanCurated
HP:0010622	oboInOwl:hasDbXref	NCIT:C3262	HumanCurated
HP:0010762	oboInOwl:hasDbXref	NCIT:C2947	HumanCurated
HP:0002664	oboInOwl:hasDbXref	NCIT:C3262	HumanCurated
HP:0012780	oboInOwl:hasDbXref	NCIT:C3262	HumanCurated
HP:0000421	oboInOwl:hasDbXref	NCIT:C26766	HumanCurated
HP:0100799	oboInOwl:hasDbXref	NCIT:C3262	HumanCurated
HP:0100526	oboInOwl:hasDbXref	NCIT:C3262	HumanCurated
HP:0100606	oboInOwl:hasDbXref	NCIT:C3262	HumanCurated
HP:0006753	oboInOwl:hasDbXref	NCIT:C3262	HumanCurated
