#curie_map:
#  DOID: http://purl.obolibrary.org/obo/DOID_
#  MONDO: http://purl.obolibrary.org/obo/MONDO_
#  oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_date: '2021-05-20'
#subject_source: http://purl.obolibrary.org/obo/mondo.owl
subject_id	predicate_id	object_id	match_type
MONDO:0002974	oboInOwl:hasDbXref	DOID:4362	HumanCurated
MONDO:0000310	oboInOwl:hasDbXref	DOID:0050308	HumanCurated
MONDO:0002975	oboInOwl:hasDbXref	DOID:4364	HumanCurated
MONDO:0002976	oboInOwl:hasDbXref	DOID:4370	HumanCurated
MONDO:0002977	oboInOwl:hasDbXref	DOID:438	HumanCurated
MONDO:0000315	oboInOwl:hasDbXref	DOID:0050339	HumanCurated
MONDO:0002970	oboInOwl:hasDbXref	DOID:4353	HumanCurated
MONDO:0002971	oboInOwl:hasDbXref	DOID:4359	HumanCurated
MONDO:0000314	oboInOwl:hasDbXref	DOID:0050338	HumanCurated
MONDO:0000313	oboInOwl:hasDbXref	DOID:0050336	HumanCurated
MONDO:0002972	oboInOwl:hasDbXref	DOID:436	HumanCurated
MONDO:0002973	oboInOwl:hasDbXref	DOID:4360	HumanCurated
MONDO:0012301	oboInOwl:hasDbXref	DOID:0080120	HumanCurated
MONDO:0014961	oboInOwl:hasDbXref	DOID:0070184	HumanCurated
MONDO:0000308	oboInOwl:hasDbXref	DOID:0050292	HumanCurated
MONDO:0000307	oboInOwl:hasDbXref	DOID:0050291	HumanCurated
MONDO:0000306	oboInOwl:hasDbXref	DOID:0050290	HumanCurated
MONDO:0002967	oboInOwl:hasDbXref	DOID:4337	HumanCurated
MONDO:0002968	oboInOwl:hasDbXref	DOID:4347	HumanCurated
MONDO:0002969	oboInOwl:hasDbXref	DOID:4352	HumanCurated
MONDO:0000309	oboInOwl:hasDbXref	DOID:0050304	HumanCurated
MONDO:0000321	oboInOwl:hasDbXref	DOID:0050383	HumanCurated
MONDO:0000320	oboInOwl:hasDbXref	DOID:0050382	HumanCurated
MONDO:0002987	oboInOwl:hasDbXref	DOID:4406	HumanCurated
MONDO:0002988	oboInOwl:hasDbXref	DOID:4413	HumanCurated
MONDO:0002981	oboInOwl:hasDbXref	DOID:4388	HumanCurated
MONDO:0002982	oboInOwl:hasDbXref	DOID:4389	HumanCurated
MONDO:0002984	oboInOwl:hasDbXref	DOID:4394	HumanCurated
MONDO:0014949	oboInOwl:hasDbXref	DOID:0080425	HumanCurated
MONDO:0014947	oboInOwl:hasDbXref	DOID:0080456	HumanCurated
MONDO:0000316	oboInOwl:hasDbXref	DOID:0050340	HumanCurated
MONDO:0002978	oboInOwl:hasDbXref	DOID:4384	HumanCurated
MONDO:0002979	oboInOwl:hasDbXref	DOID:4385	HumanCurated
MONDO:0002952	oboInOwl:hasDbXref	DOID:4295	HumanCurated
MONDO:0002953	oboInOwl:hasDbXref	DOID:4299	HumanCurated
MONDO:0002954	oboInOwl:hasDbXref	DOID:4300	HumanCurated
MONDO:0002955	oboInOwl:hasDbXref	DOID:4301	HumanCurated
MONDO:0002950	oboInOwl:hasDbXref	DOID:4293	HumanCurated
MONDO:0002951	oboInOwl:hasDbXref	DOID:4294	HumanCurated
MONDO:0014935	oboInOwl:hasDbXref	DOID:0111787	HumanCurated
