id	subject	predicate	object	relation	knowledge_source
urn:uuid:40467882-75bf-4f0b-aa53-76722c27aa8e	MONDO:0013949	biolink:subclass_of	MONDO:0100267	rdfs:subClassOf	mondo-rare.json
urn:uuid:6f91b540-2ac3-4e96-bc71-410ce124dc90	MONDO:0013950	biolink:subclass_of	MONDO:0100267	rdfs:subClassOf	mondo-rare.json
urn:uuid:bd85f743-ced7-45ce-ace2-980136039020	MONDO:0013951	biolink:subclass_of	MONDO:0100270	rdfs:subClassOf	mondo-rare.json
urn:uuid:4a543ae3-e996-4f7a-8257-2c2750abdaf2	MONDO:0013952	biolink:subclass_of	MONDO:0100268	rdfs:subClassOf	mondo-rare.json
urn:uuid:1900a8e4-bdba-482a-8511-98b2bb1ad986	MONDO:0013953	biolink:subclass_of	MONDO:0003778	rdfs:subClassOf	mondo-rare.json
urn:uuid:00520c2d-c74e-47b1-aca1-ef7c082823de	MONDO:0013953	biolink:subclass_of	MONDO:0003847	rdfs:subClassOf	mondo-rare.json
urn:uuid:f2d12e8e-5824-4042-8f8a-e139da38c76c	MONDO:0013954	biolink:subclass_of	MONDO:0019146	rdfs:subClassOf	mondo-rare.json
urn:uuid:f1310f04-b7eb-4a98-94d3-6302c5426836	MONDO:0013955	biolink:subclass_of	MONDO:0019146	rdfs:subClassOf	mondo-rare.json
urn:uuid:672afe52-f5f8-42b3-b04e-00b5f800618c	MONDO:0013956	biolink:subclass_of	MONDO:0019146	rdfs:subClassOf	mondo-rare.json
urn:uuid:4e1dee4c-c46d-4f3e-b3da-232d548200a4	MONDO:0013957	biolink:subclass_of	MONDO:0019146	rdfs:subClassOf	mondo-rare.json
urn:uuid:14ac2a7a-955c-4133-a92e-66674199b497	MONDO:0013959	biolink:subclass_of	MONDO:0018995	rdfs:subClassOf	mondo-rare.json
urn:uuid:001e954f-3962-44d1-9ead-76913ff6d04a	MONDO:0013960	biolink:subclass_of	MONDO:0007263	rdfs:subClassOf	mondo-rare.json
urn:uuid:f0ea8db1-51f9-4777-b74e-d1c0dade4adc	MONDO:0013960	biolink:subclass_of	MONDO:0100547	rdfs:subClassOf	mondo-rare.json
urn:uuid:50c7fcae-9747-4d04-b2dd-0080f304d437	MONDO:0013961	biolink:subclass_of	MONDO:0018800	rdfs:subClassOf	mondo-rare.json
urn:uuid:b868fd49-3052-4458-8e94-e11558c064a8	MONDO:0013962	biolink:subclass_of	MONDO:0015150	rdfs:subClassOf	mondo-rare.json
urn:uuid:18d8eaa3-f58c-4f6b-b05a-ba23a4471e42	MONDO:0013963	biolink:subclass_of	MONDO:0019588	rdfs:subClassOf	mondo-rare.json
urn:uuid:0836b22f-c1e5-475e-bf5e-16196535cd0d	MONDO:0013964	biolink:subclass_of	MONDO:0015253	rdfs:subClassOf	mondo-rare.json
urn:uuid:19a1f673-c105-4c28-8fe5-f08fdb7f167f	MONDO:0013965	biolink:subclass_of	MONDO:0017436	rdfs:subClassOf	mondo-rare.json
urn:uuid:28b9835b-0f40-4a58-a3e0-58a10b2689c9	MONDO:0013966	biolink:subclass_of	MONDO:0017990	rdfs:subClassOf	mondo-rare.json
urn:uuid:68ebec4e-7824-44c3-a611-41eaa3b1fc96	MONDO:0013967	biolink:subclass_of	MONDO:0100279	rdfs:subClassOf	mondo-rare.json
urn:uuid:941a35d5-c8d9-4853-b2a3-156439e0a5b3	MONDO:0013968	biolink:subclass_of	MONDO:0005500	rdfs:subClassOf	mondo-rare.json
urn:uuid:293c3264-0771-45d0-8a55-30a37f75d8d2	MONDO:0013968	biolink:subclass_of	MONDO:0016333	rdfs:subClassOf	mondo-rare.json
urn:uuid:7588a67a-6dcd-4efe-8b45-6f37ec8dc795	MONDO:0013968	biolink:subclass_of	MONDO:0017740	rdfs:subClassOf	mondo-rare.json
urn:uuid:e71ade3c-3c29-4255-969f-ab1c924f4448	MONDO:0013968	biolink:related_to	http://identifiers.org/hgnc/8905	RO:0004003	mondo-rare.json
urn:uuid:6f16d619-59b1-4e44-9d99-c8f491891933	MONDO:0013969	biolink:subclass_of	MONDO:0000732	rdfs:subClassOf	mondo-rare.json
urn:uuid:304507af-509d-45da-a289-a2cffb06dc4c	MONDO:0013970	biolink:subclass_of	MONDO:0006025	rdfs:subClassOf	mondo-rare.json
urn:uuid:f4877e2b-bbc6-46db-a4fa-10f0db6c09cd	MONDO:0013970	biolink:subclass_of	MONDO:0019242	rdfs:subClassOf	mondo-rare.json
urn:uuid:d929aa87-f05f-4581-8515-51c0dc1b5c92	MONDO:0013971	biolink:subclass_of	MONDO:0000732	rdfs:subClassOf	mondo-rare.json
urn:uuid:2bdb756b-ac94-4fe5-b132-365c72177b58	MONDO:0013971	biolink:subclass_of	MONDO:0019046	rdfs:subClassOf	mondo-rare.json
urn:uuid:91a864e7-984b-45e6-9ab7-57aed1b8b16e	MONDO:0013972	biolink:subclass_of	MONDO:0017312	rdfs:subClassOf	mondo-rare.json
urn:uuid:1e243f4f-4d6b-4360-a423-d7f0871fb155	MONDO:0013973	biolink:subclass_of	MONDO:0019287	rdfs:subClassOf	mondo-rare.json
urn:uuid:4d3da809-d48c-497c-ab0e-4d2ff4708a01	MONDO:0013974	biolink:subclass_of	MONDO:0019071	rdfs:subClassOf	mondo-rare.json
urn:uuid:a08f885b-0a4c-4d9f-b3f8-5ab60eaa3928	MONDO:0013975	biolink:subclass_of	MONDO:0019071	rdfs:subClassOf	mondo-rare.json
urn:uuid:b50f2582-57b1-408b-851b-41d95979a114	MONDO:0013976	biolink:subclass_of	MONDO:0019071	rdfs:subClassOf	mondo-rare.json
urn:uuid:739d87b5-31c8-4de1-b6e4-236862311072	MONDO:0013977	biolink:subclass_of	MONDO:0000732	rdfs:subClassOf	mondo-rare.json
urn:uuid:46563cf5-cb78-4e2f-a8e5-748fbd7ce95d	MONDO:0013978	biolink:subclass_of	MONDO:0019588	rdfs:subClassOf	mondo-rare.json
urn:uuid:7af6c55a-34f8-418d-866a-36413d90139e	MONDO:0013979	biolink:subclass_of	MONDO:0016575	rdfs:subClassOf	mondo-rare.json
urn:uuid:bd73f70f-187a-41bc-b1be-f87d3f339809	MONDO:0013979	biolink:related_to	http://identifiers.org/hgnc/16725	RO:0004003	mondo-rare.json
urn:uuid:c861d624-924b-4b9b-a9fc-53b828d48751	MONDO:0013980	biolink:subclass_of	MONDO:0019332	rdfs:subClassOf	mondo-rare.json
urn:uuid:1f8f5780-52bc-4b56-bed0-717c4fe8da85	MONDO:0013981	biolink:subclass_of	MONDO:0005395	rdfs:subClassOf	mondo-rare.json
urn:uuid:df2fc644-9100-4ad2-ac29-eb6dbfdb74b8	MONDO:0013981	biolink:subclass_of	MONDO:0100545	rdfs:subClassOf	mondo-rare.json
urn:uuid:a1f6d9fe-1320-43c5-90d2-ca9332ef2caa	MONDO:0013982	biolink:subclass_of	MONDO:0015884	rdfs:subClassOf	mondo-rare.json
urn:uuid:afcf5928-0d0a-447a-a04f-5799ab7de154	MONDO:0013983	biolink:subclass_of	MONDO:0016619	rdfs:subClassOf	mondo-rare.json
urn:uuid:3acf7260-aa30-444c-9af3-4e92f98a8e22	MONDO:0013984	biolink:subclass_of	MONDO:0019588	rdfs:subClassOf	mondo-rare.json
urn:uuid:6df98d2f-d8bc-4c09-8071-17a7a3824101	MONDO:0013985	biolink:subclass_of	MONDO:0019588	rdfs:subClassOf	mondo-rare.json
urn:uuid:827eb6b9-04f4-459f-a669-840eedef36c7	MONDO:0013986	biolink:subclass_of	MONDO:0000732	rdfs:subClassOf	mondo-rare.json
urn:uuid:deb0328e-3fe0-4f65-bb78-f7fbf842aa45	MONDO:0013987	biolink:subclass_of	MONDO:0000732	rdfs:subClassOf	mondo-rare.json
urn:uuid:2e9bd1f1-5eec-4ba6-8f2d-7eb91cac26a2	MONDO:0013989	biolink:subclass_of	MONDO:0100062	rdfs:subClassOf	mondo-rare.json
urn:uuid:0551a454-9478-41ef-b20a-c86a0507c29f	MONDO:0013990	biolink:subclass_of	MONDO:0020135	rdfs:subClassOf	mondo-rare.json
urn:uuid:d77e844c-ddcc-46bc-8419-2e09ac85582d	MONDO:0013991	biolink:subclass_of	MONDO:0015770	rdfs:subClassOf	mondo-rare.json
urn:uuid:32cb3bb4-1af6-4e04-b9da-f350e55d9b74	MONDO:0013991	biolink:subclass_of	MONDO:0019182	rdfs:subClassOf	mondo-rare.json
urn:uuid:104b5af3-cb56-4391-89a6-d7302dd1c014	MONDO:0013992	biolink:subclass_of	MONDO:0015770	rdfs:subClassOf	mondo-rare.json
urn:uuid:d7a21e05-fc9f-4293-8402-645a2e33053f	MONDO:0013992	biolink:subclass_of	MONDO:0019182	rdfs:subClassOf	mondo-rare.json
urn:uuid:23da26b8-349f-409b-9687-fe382d29b4c2	MONDO:0013993	biolink:subclass_of	MONDO:0020135	rdfs:subClassOf	mondo-rare.json
urn:uuid:1eb2ba1c-6694-4f7c-9692-cdf6bbb7ecd7	MONDO:0013994	biolink:subclass_of	MONDO:0016364	rdfs:subClassOf	mondo-rare.json
urn:uuid:75cc1c57-28da-4a1e-bb5d-c44ebbb0f70e	MONDO:0013994	biolink:subclass_of	MONDO:0018772	rdfs:subClassOf	mondo-rare.json
urn:uuid:8cb2404b-8071-4dd4-876b-ca2e6bf898af	MONDO:0013994	biolink:related_to	http://identifiers.org/hgnc/37234	RO:0004003	mondo-rare.json
urn:uuid:df2dfea3-d7e9-4ae5-80eb-7efee8dbc28a	MONDO:0013995	biolink:subclass_of	MONDO:0017290	rdfs:subClassOf	mondo-rare.json
urn:uuid:eee87646-f4af-4536-8c4d-301a104a36ed	MONDO:0013995	biolink:subclass_of	MONDO:0100429	rdfs:subClassOf	mondo-rare.json
urn:uuid:e35c77f6-faa9-44e7-a5f1-9e2e70bec211	MONDO:0013996	biolink:subclass_of	MONDO:0009203	rdfs:subClassOf	mondo-rare.json
urn:uuid:22c78cff-4ca9-4508-8018-d8235f5fdfa6	MONDO:0013997	biolink:subclass_of	MONDO:0018363	rdfs:subClassOf	mondo-rare.json
urn:uuid:05d3b4b2-2869-478c-805d-f70451b9e44d	MONDO:0013998	biolink:subclass_of	MONDO:0019012	rdfs:subClassOf	mondo-rare.json
urn:uuid:d266f8eb-75df-40e7-a632-9866b24bcb5a	MONDO:0013999	biolink:subclass_of	MONDO:0003847	rdfs:subClassOf	mondo-rare.json
urn:uuid:e8555d04-d541-445c-a0f7-dc26cfb5f7e9	MONDO:0013999	biolink:subclass_of	MONDO:0020249	rdfs:subClassOf	mondo-rare.json
urn:uuid:8233b8c3-9440-4499-97c9-7f91b62cc6e6	MONDO:0014000	biolink:subclass_of	MONDO:0000119	rdfs:subClassOf	mondo-rare.json
urn:uuid:a409bbcb-29bd-471e-bd57-a5693356c897	MONDO:0014000	biolink:subclass_of	MONDO:0019512	rdfs:subClassOf	mondo-rare.json
urn:uuid:0af97898-50c2-4fd2-8a02-92f4c642bdee	MONDO:0014000	biolink:subclass_of	MONDO:0100547	rdfs:subClassOf	mondo-rare.json
urn:uuid:c45e561f-4a93-46fe-9e54-71ced05def60	MONDO:0014001	biolink:subclass_of	MONDO:0010168	rdfs:subClassOf	mondo-rare.json
urn:uuid:d6c92a8b-64a4-41a6-9e91-ee7ac34170ef	MONDO:0014002	biolink:subclass_of	MONDO:0000030	rdfs:subClassOf	mondo-rare.json
urn:uuid:4b4d655a-c6d6-4cec-8671-5d2efb1b2ef3	MONDO:0014002	biolink:subclass_of	MONDO:0020300	rdfs:subClassOf	mondo-rare.json
urn:uuid:5823908a-1032-499f-a119-d6fcd19c86b7	MONDO:0014003	biolink:subclass_of	MONDO:0018097	rdfs:subClassOf	mondo-rare.json
urn:uuid:f5645f14-b4e1-45f3-a750-bffa11169f95	MONDO:0014003	biolink:subclass_of	MONDO:0100062	rdfs:subClassOf	mondo-rare.json
urn:uuid:e2640e86-c51a-4f10-84b3-53220bc9e4c9	MONDO:0014004	biolink:subclass_of	MONDO:0008947	rdfs:subClassOf	mondo-rare.json
urn:uuid:19b36632-7167-48f6-a444-d6a930fdf1ac	MONDO:0014004	biolink:subclass_of	MONDO:0700007	rdfs:subClassOf	mondo-rare.json
urn:uuid:5318fe1f-df98-4383-927a-9fae66d8159f	MONDO:0014004	biolink:related_to	http://identifiers.org/hgnc/8804	RO:0004003	mondo-rare.json
