id	category	name	description	xref	provided_by	synonym	broad_synonyms	deprecated	exact_synonyms	iri	narrow_synonyms	related_synonyms	same_as	subsets
http://identifiers.org/hgnc/10004	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10004				
http://identifiers.org/hgnc/10006	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10006				
http://identifiers.org/hgnc/10009	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10009				
http://identifiers.org/hgnc/10012	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10012				
http://identifiers.org/hgnc/10013	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10013				
http://identifiers.org/hgnc/10019	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10019				
http://identifiers.org/hgnc/10023	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10023				
http://identifiers.org/hgnc/10024	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10024				
http://identifiers.org/hgnc/10031	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10031				
http://identifiers.org/hgnc/10050	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10050				
http://identifiers.org/hgnc/10057	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10057				
http://identifiers.org/hgnc/10061	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10061				
http://identifiers.org/hgnc/10074	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10074				
http://identifiers.org/hgnc/1012	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/1012				
http://identifiers.org/hgnc/1014	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/1014				
http://identifiers.org/hgnc/10152	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10152				
http://identifiers.org/hgnc/10193	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10193				
http://identifiers.org/hgnc/1020	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/1020				
http://identifiers.org/hgnc/10212	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10212				
http://identifiers.org/hgnc/10249	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10249				
http://identifiers.org/hgnc/10250	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10250				
http://identifiers.org/hgnc/10254	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10254				
http://identifiers.org/hgnc/10257	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10257				
http://identifiers.org/hgnc/10258	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10258				
http://identifiers.org/hgnc/10259	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10259				
http://identifiers.org/hgnc/10260	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10260				
http://identifiers.org/hgnc/10263	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10263				
http://identifiers.org/hgnc/10274	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10274				
http://identifiers.org/hgnc/10288	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10288				
http://identifiers.org/hgnc/10289	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10289				
http://identifiers.org/hgnc/10294	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10294				
http://identifiers.org/hgnc/10295	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10295				
http://identifiers.org/hgnc/10297	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10297				
http://identifiers.org/hgnc/10298	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10298				
http://identifiers.org/hgnc/103	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/103				
http://identifiers.org/hgnc/10301	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10301				
http://identifiers.org/hgnc/10303	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10303				
http://identifiers.org/hgnc/10306	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10306				
http://identifiers.org/hgnc/10307	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10307				
http://identifiers.org/hgnc/10313	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10313				
http://identifiers.org/hgnc/10327	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10327				
http://identifiers.org/hgnc/10345	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10345				
http://identifiers.org/hgnc/10351	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10351				
http://identifiers.org/hgnc/10360	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10360				
http://identifiers.org/hgnc/1037	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/1037				
http://identifiers.org/hgnc/10379	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10379				
http://identifiers.org/hgnc/10383	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10383				
http://identifiers.org/hgnc/10387	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10387				
http://identifiers.org/hgnc/10397	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10397				
http://identifiers.org/hgnc/1040	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/1040				
http://identifiers.org/hgnc/10402	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10402				
http://identifiers.org/hgnc/1041	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/1041				
http://identifiers.org/hgnc/10410	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10410				
http://identifiers.org/hgnc/10411	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10411				
http://identifiers.org/hgnc/10414	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10414				
http://identifiers.org/hgnc/10418	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10418				
http://identifiers.org/hgnc/10419	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10419				
http://identifiers.org/hgnc/10432	biolink:OntologyClass				mondo-clingen.json					http://identifiers.org/hgnc/10432				
